"package","version","source"
"clusterProfiler","4.14.6","detected_import_in_released_scripts"
"dplyr","1.2.0","detected_import_in_released_scripts"
"ggplot2","4.0.2","detected_import_in_released_scripts"
"jsonlite","2.0.0","detected_import_in_released_scripts"
"Matrix","1.7.3","detected_import_in_released_scripts"
"metafor","4.8.0","detected_import_in_released_scripts"
"msigdbr","25.1.1","detected_import_in_released_scripts"
"org.Hs.eg.db","3.20.0","detected_import_in_released_scripts"
"readxl","1.4.5","detected_import_in_released_scripts"
"Seurat","5.2.1","detected_import_in_released_scripts"
"spacexr","2.2.1","detected_import_in_released_scripts"
"stringr","1.6.0","detected_import_in_released_scripts"
"tidyr","1.3.2","detected_import_in_released_scripts"
