release_path,line,match,status
scripts\python\preprocessing.py,49,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\organize_visium.py,28,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\run_qc_pipeline.py,31,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\Signature_Weights_prep.py,44,"BASE_DIR       = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\R\ora_bulk_DEGs.R,34,"input_file <- ""C:/Users/luchu/Documents/MSc/Master Thesis/Code/RNA-seq/tt_PEO4-SNAI1-2R_Analysis.xlsx""",needs_config_parameterization
scripts\R\ora_bulk_DEGs.R,35,"output_dir <- ""D:/HGSOC_Spatial_Atlas/05_analysis_ready/bulk_ora""",needs_config_parameterization
scripts\R\ora_bulk_DEGs.R,325,"input_file <- ""D:/HGSOC_Spatial_Atlas/05_analysis_ready/bulk_ora/ora_bulk_degs_all.csv""",needs_config_parameterization
scripts\R\ora_bulk_DEGs.R,326,"output_dir <- ""D:/HGSOC_Spatial_Atlas/05_analysis_ready/bulk_ora""",needs_config_parameterization
scripts\R\ora_heatmaps.R,26,"ora_file  <- ""D:/HGSOC_Spatial_Atlas/05_analysis_ready/bulk_ora/ora_bulk_degs_all.csv""",needs_config_parameterization
scripts\R\ora_heatmaps.R,27,"xlsx_file <- ""C:/Users/luchu/Documents/MSc/Master Thesis/Code/RNA-seq/tt_PEO4-SNAI1-2R_Analysis.xlsx""",needs_config_parameterization
scripts\R\ora_heatmaps.R,28,"sig_file  <- ""D:/HGSOC_Spatial_Atlas/05_analysis_ready/Signature/snai1_acetylation_signature_short.csv""",needs_config_parameterization
scripts\R\ora_heatmaps.R,29,"output_dir <- ""D:/HGSOC_Spatial_Atlas/05_analysis_ready/bulk_ora""",needs_config_parameterization
scripts\python\enrichmap_scoring.py,42,"BASE_DIR           = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\signature_robustness_audit.py,86,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\hallmark_correlation_analysis.py,17,D:/HGSOC_Spatial_Atlas/05_analysis_ready/visium/<dataset>/<sample>/<sample>.h5ad,needs_config_parameterization
scripts\python\hallmark_correlation_analysis.py,18,D:/HGSOC_Spatial_Atlas/03_metadata/clinical_annotations/clinical annotations.xlsx,needs_config_parameterization
scripts\python\hallmark_correlation_analysis.py,21,D:/HGSOC_Spatial_Atlas/05_analysis_ready/S2a_Hallmark_Correlation/,needs_config_parameterization
scripts\python\hallmark_correlation_analysis.py,40,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\tumor_only_hallmark_analysis.py,27,D:\HGSOC_Spatial_Atlas\05_analysis_ready\S2b_Tumor_Only_Hallmark_Correlation\,needs_config_parameterization
scripts\python\tumor_only_hallmark_analysis.py,49,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\celltype_composition_colocalization.py,11,D:/HGSOC_Spatial_Atlas/05_analysis_ready/cross_sample/compiled/,needs_config_parameterization
scripts\python\celltype_composition_colocalization.py,12,D:/HGSOC_Spatial_Atlas/03_metadata/clinical_annotations/clinical annotations.xlsx,needs_config_parameterization
scripts\python\celltype_composition_colocalization.py,15,D:/HGSOC_Spatial_Atlas/05_analysis_ready/S2b_CellType_Composition_Correlation/,needs_config_parameterization
scripts\python\celltype_composition_colocalization.py,32,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\ilr_composition_analysis.py,12,D:/HGSOC_Spatial_Atlas/05_analysis_ready/,needs_config_parameterization
scripts\python\ilr_composition_analysis.py,34,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\plot_s2b_ilr_predictability_figures.py,22,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready""",needs_config_parameterization
scripts\python\plot_s2b_ilr_predictability_figures.py,26,"Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\build_s2b_step4_threshold_diagnostics.py,35,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\plot_s2b_step4_ilr_group_positions.py,22,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready""",needs_config_parameterization
scripts\python\plot_s2b_step4_hallmark_group_positions.py,21,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready""",needs_config_parameterization
scripts\python\spatial_signature_analysis.py,64,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spagcn_matched_malignancy_domain_analysis.py,26,"VISIUM_DIR = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\visium"")",needs_config_parameterization
scripts\python\spagcn_matched_malignancy_domain_analysis.py,28,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\cross_sample\spagcn_k5_domain_annotations""",needs_config_parameterization
scripts\python\spagcn_matched_malignancy_domain_analysis.py,31,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\cross_sample\spagcn_k5_matched_malignancy""",needs_config_parameterization
scripts\python\plot_sign_figs.py,37,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\R\run_rctd_and_cside.r,38,"input_base  <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_inputs""",needs_config_parameterization
scripts\R\run_rctd_and_cside.r,39,"output_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs""",needs_config_parameterization
scripts\R\run_rctd_and_cside.r,40,"ref_path    <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/GSE184880_annotated.rds""",needs_config_parameterization
scripts\R\run_rctd_and_cside.r,326,"output_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs""",needs_config_parameterization
scripts\R\run_rctd_and_cside.r,349,"output_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs""",needs_config_parameterization
scripts\R\run_rctd_and_cside.r,399,"output_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs""",needs_config_parameterization
scripts\R\run_rctd_and_cside.r,425,"df <- read.csv(""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs/all_samples_2cov_all_results.csv"")",needs_config_parameterization
scripts\python\build_cside_section25_assets.py,18,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\build_cside_report_ready_outputs.py,21,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S2e_CSIDE_CellTypeSpecific_DE_Audit"")",needs_config_parameterization
scripts\python\build_cside_report_ready_outputs.py,34,"SIGNATURE = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\Signature\snai1_acetylation_signature_full.csv"")",needs_config_parameterization
scripts\python\cside_per_gene_direction_sign_test.py,25,"DEFAULT_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S2e_CSIDE_CellTypeSpecific_DE_Audit"")",needs_config_parameterization
scripts\python\cside_setlevel_reproducibility_permutation.py,29,"DEFAULT_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S2e_CSIDE_CellTypeSpecific_DE_Audit"")",needs_config_parameterization
scripts\python\cside_audit_sensitivity.py,32,"DATA_ROOT = Path(""D:/HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\cside_audit_sensitivity.py,33,"REPO_ROOT = Path(""C:/Users/luchu/Documents/MSc/Master Thesis/Code/HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\cside_audit_sensitivity.py,837,"input_meta_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_inputs_qc_sensitivity""",needs_config_parameterization
scripts\python\cside_audit_sensitivity.py,838,"original_rctd_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs""",needs_config_parameterization
scripts\python\cside_audit_sensitivity.py,839,"output_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs_qc_sensitivity""",needs_config_parameterization
scripts\python\cside_model1_source_integrity_audit.py,32,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\cside_model1_vs_model2_compact_audit.py,23,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\cside_model1_vs_model2_deep_gene_audit.py,30,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\R\run_cside_qc_sensitivity.r,6,"input_meta_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_inputs_qc_sensitivity""",needs_config_parameterization
scripts\R\run_cside_qc_sensitivity.r,7,"original_rctd_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs""",needs_config_parameterization
scripts\R\run_cside_qc_sensitivity.r,8,"output_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs_qc_sensitivity""",needs_config_parameterization
scripts\python\s3_tumor_cnmf_pipeline.py,53,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\s3_tumor_cnmf_pipeline.py,81,"DOC_PATH = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas\00_documentation\cNMF_postK_strategy_and_rationale.md"")",needs_config_parameterization
scripts\python\s3_tumor_cnmf_pipeline.py,88,"CNMF_PYTHON = Path(r""C:\Users\luchu\anaconda3\envs\cnmf_env\python.exe"")",needs_config_parameterization
scripts\python\s3_tumor_cnmf_pipeline.py,89,"CNMF_SCRIPT = Path(r""C:\Users\luchu\anaconda3\envs\cnmf_env\Lib\site-packages\cnmf\cnmf.py"")",needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,27,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,85,"r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas""",needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,2637,- D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\S3_cNMF_Tumor_Programs\\jaccard_raw_matrices\\inspection_exports_average\\variantB_nonjunk_manual_cut_v2\\recurrence_specificity_diagnostics\\MP_signatures_locked_long.csv,needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,2638,- D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\S3_cNMF_Tumor_Programs\\jaccard_raw_matrices\\inspection_exports_average\\variantB_nonjunk_manual_cut_v2\\recurrence_specificity_diagnostics\\MP_signatures_locked_by_group.xlsx,needs_config_parameterization
