group,final_label,label,coarse,position,program_id,top_recurrent_genes
MP1,angiogenic/vascular,angiogenic-vascular,A,4,denisenko_2022__SP7__K9__P9,COL4A1;VWF;ESM1;PDGFRB;COL4A2;IGFBP7;PLVAP;A2M;SPARC;RGS5;ESAM;ENG;CDH5;PECAM1;CLEC14A
MP1,angiogenic/vascular,angiogenic-vascular,A,5,yamamoto_2025__Pt2-2__K7__P4,COL4A1;VWF;ESM1;PDGFRB;COL4A2;IGFBP7;PLVAP;A2M;SPARC;RGS5;ESAM;ENG;CDH5;PECAM1;CLEC14A
MP1,angiogenic/vascular,angiogenic-vascular,A,6,yamamoto_2025__Pt1-4__K9__P9,COL4A1;VWF;ESM1;PDGFRB;COL4A2;IGFBP7;PLVAP;A2M;SPARC;RGS5;ESAM;ENG;CDH5;PECAM1;CLEC14A
MP1,angiogenic/vascular,angiogenic-vascular,A,7,yamamoto_2025__Pt1-2__K6__P6,COL4A1;VWF;ESM1;PDGFRB;COL4A2;IGFBP7;PLVAP;A2M;SPARC;RGS5;ESAM;ENG;CDH5;PECAM1;CLEC14A
MP1,angiogenic/vascular,angiogenic-vascular,A,8,ju_2024__CPS_OV5LtOV4__K8__P8,COL4A1;VWF;ESM1;PDGFRB;COL4A2;IGFBP7;PLVAP;A2M;SPARC;RGS5;ESAM;ENG;CDH5;PECAM1;CLEC14A
MP1,angiogenic/vascular,angiogenic-vascular,A,9,ju_2024__CPS_OV19_LtOV1__K10__P8,COL4A1;VWF;ESM1;PDGFRB;COL4A2;IGFBP7;PLVAP;A2M;SPARC;RGS5;ESAM;ENG;CDH5;PECAM1;CLEC14A
MP1,angiogenic/vascular,angiogenic-vascular,A,10,ju_2024__CPS_OV1RtOV3__K9__P8,COL4A1;VWF;ESM1;PDGFRB;COL4A2;IGFBP7;PLVAP;A2M;SPARC;RGS5;ESAM;ENG;CDH5;PECAM1;CLEC14A
MP2,iCAF-stress,iCAF-stress,A,12,ju_2024__CPS_OV24RTOV4__K5__P5,CCN1;COL1A1;FN1;C3;FOSB;DUSP1;FOS;NNMT;PTGIS;SERPINE1;THBS2;NBL1;RARRES2;COL8A1;BGN
MP2,iCAF-stress,iCAF-stress,A,13,ju_2024__CPS_OV34RtOV1__K5__P5,CCN1;COL1A1;FN1;C3;FOSB;DUSP1;FOS;NNMT;PTGIS;SERPINE1;THBS2;NBL1;RARRES2;COL8A1;BGN
MP2,iCAF-stress,iCAF-stress,A,14,yamamoto_2025__Pt2-1__K5__P3,CCN1;COL1A1;FN1;C3;FOSB;DUSP1;FOS;NNMT;PTGIS;SERPINE1;THBS2;NBL1;RARRES2;COL8A1;BGN
MP2,iCAF-stress,iCAF-stress,A,15,yamamoto_2025__Pt1-3__K7__P7,CCN1;COL1A1;FN1;C3;FOSB;DUSP1;FOS;NNMT;PTGIS;SERPINE1;THBS2;NBL1;RARRES2;COL8A1;BGN
MP3,complement-CAF,complement-CAF,A,16,yamamoto_2025__Pt2-4__K5__P2,COL6A2;DCN;C7;EMILIN1;AEBP1;ENG;SPARC;IGFBP4;COL1A2;IGFBP7;COL1A1;ISLR;COL3A1;C1S;NBL1
MP3,complement-CAF,complement-CAF,A,17,denisenko_2022__SP7__K9__P4,COL6A2;DCN;C7;EMILIN1;AEBP1;ENG;SPARC;IGFBP4;COL1A2;IGFBP7;COL1A1;ISLR;COL3A1;C1S;NBL1
MP3,complement-CAF,complement-CAF,A,18,denisenko_2022__SP3__K7__P2,COL6A2;DCN;C7;EMILIN1;AEBP1;ENG;SPARC;IGFBP4;COL1A2;IGFBP7;COL1A1;ISLR;COL3A1;C1S;NBL1
MP3,complement-CAF,complement-CAF,A,19,denisenko_2022__SP4__K6__P3,COL6A2;DCN;C7;EMILIN1;AEBP1;ENG;SPARC;IGFBP4;COL1A2;IGFBP7;COL1A1;ISLR;COL3A1;C1S;NBL1
MP3,complement-CAF,complement-CAF,A,20,ju_2024__CPS_OV20RtOV4__K5__P5,COL6A2;DCN;C7;EMILIN1;AEBP1;ENG;SPARC;IGFBP4;COL1A2;IGFBP7;COL1A1;ISLR;COL3A1;C1S;NBL1
MP3,complement-CAF,complement-CAF,A,21,ju_2024__CPS_OV24RTOV4__K5__P4,COL6A2;DCN;C7;EMILIN1;AEBP1;ENG;SPARC;IGFBP4;COL1A2;IGFBP7;COL1A1;ISLR;COL3A1;C1S;NBL1
MP4,activated-myCAF,activated-myCAF,A,24,ju_2024__CPS_OV34RtOV1__K5__P3,COL3A1;COL1A2;COL1A1;SPARC;COL5A2;COL5A1;LUM;POSTN;FN1;MMP2;DCN;CTHRC1;THBS2;AEBP1;VCAN
MP4,activated-myCAF,activated-myCAF,A,25,denisenko_2022__SP7__K9__P7,COL3A1;COL1A2;COL1A1;SPARC;COL5A2;COL5A1;LUM;POSTN;FN1;MMP2;DCN;CTHRC1;THBS2;AEBP1;VCAN
MP4,activated-myCAF,activated-myCAF,A,26,yamamoto_2025__Pt1-1__K6__P4,COL3A1;COL1A2;COL1A1;SPARC;COL5A2;COL5A1;LUM;POSTN;FN1;MMP2;DCN;CTHRC1;THBS2;AEBP1;VCAN
MP4,activated-myCAF,activated-myCAF,A,27,ju_2024__CPS_OV71_1__K4__P3,COL3A1;COL1A2;COL1A1;SPARC;COL5A2;COL5A1;LUM;POSTN;FN1;MMP2;DCN;CTHRC1;THBS2;AEBP1;VCAN
MP4,activated-myCAF,activated-myCAF,A,28,yamamoto_2025__Pt1-3__K7__P5,COL3A1;COL1A2;COL1A1;SPARC;COL5A2;COL5A1;LUM;POSTN;FN1;MMP2;DCN;CTHRC1;THBS2;AEBP1;VCAN
MP4,activated-myCAF,activated-myCAF,A,29,denisenko_2022__SP2__K5__P1,COL3A1;COL1A2;COL1A1;SPARC;COL5A2;COL5A1;LUM;POSTN;FN1;MMP2;DCN;CTHRC1;THBS2;AEBP1;VCAN
MP4,activated-myCAF,activated-myCAF,A,30,denisenko_2022__SP5__K5__P2,COL3A1;COL1A2;COL1A1;SPARC;COL5A2;COL5A1;LUM;POSTN;FN1;MMP2;DCN;CTHRC1;THBS2;AEBP1;VCAN
MP4,activated-myCAF,activated-myCAF,A,31,ju_2024__CPS_OV5LtOV4__K8__P7,COL3A1;COL1A2;COL1A1;SPARC;COL5A2;COL5A1;LUM;POSTN;FN1;MMP2;DCN;CTHRC1;THBS2;AEBP1;VCAN
