level,group,final_label,set_type,library,term_id,term,overlap_k,signature_size_n,term_size_K,universe_N,fold_enrichment,pvalue,overlap_genes,n_overlap_specific,n_overlap_shared,frac_overlap_specific,mean_overlap_specificity_delta,padj,driven_by_shared_only
final_mp,MP1,angiogenic/vascular,strict,GO_BP,GO:0001944,vasculature development,24,47,751,27377,18.614839788083973,2.044057294616555e-25,COL4A1;ESM1;PDGFRB;COL4A2;IGFBP7;SPARC;ENG;CDH5;PECAM1;CLEC14A;MCAM;ADGRF5;CD93;HSPG2;CD34;THY1;FLT1;COL18A1;ANGPT2;RAMP2;TMEM204;PLXDC1;GJA4;KDR,19,5,0.7916666666666666,0.45955433455433453,2.544851331797611e-22,False
final_mp,MP1,angiogenic/vascular,strict,GO_BP,GO:0001568,blood vessel development,23,47,721,27377,18.581491427391036,2.965420387485693e-24,COL4A1;ESM1;PDGFRB;COL4A2;IGFBP7;SPARC;ENG;CDH5;PECAM1;CLEC14A;MCAM;ADGRF5;CD93;HSPG2;CD34;THY1;FLT1;COL18A1;ANGPT2;RAMP2;PLXDC1;GJA4;KDR,18,5,0.782608695652174,0.4609014174231566,1.845974191209844e-21,False
final_mp,MP1,angiogenic/vascular,strict,GO_BP,GO:0072359,circulatory system development,25,47,1126,27377,12.932712293564114,1.0869869811113305e-22,COL4A1;ESM1;PDGFRB;COL4A2;IGFBP7;SPARC;ENG;CDH5;PECAM1;CLEC14A;MCAM;ADGRF5;CD93;HSPG2;CD34;THY1;FLT1;COL18A1;ANGPT2;ID3;RAMP2;TMEM204;PLXDC1;GJA4;KDR,19,6,0.76,0.4449816849816849,4.5109959716120217e-20,False
final_mp,MP1,angiogenic/vascular,strict,GO_BP,GO:0048514,blood vessel morphogenesis,21,47,629,27377,19.447180597368334,1.9948069903134674e-22,COL4A1;ESM1;PDGFRB;COL4A2;IGFBP7;SPARC;ENG;CDH5;CLEC14A;MCAM;ADGRF5;CD93;HSPG2;CD34;THY1;FLT1;COL18A1;ANGPT2;RAMP2;PLXDC1;KDR,16,5,0.7619047619047619,0.4435723007151579,6.208836757350668e-20,False
final_mp,MP1,angiogenic/vascular,strict,GO_BP,GO:0001525,angiogenesis,20,47,540,27377,21.573680063041767,3.340846499092172e-22,COL4A1;ESM1;PDGFRB;COL4A2;IGFBP7;SPARC;ENG;CDH5;CLEC14A;MCAM;CD93;HSPG2;CD34;THY1;FLT1;COL18A1;ANGPT2;RAMP2;PLXDC1;KDR,15,5,0.75,0.4300366300366301,8.318707782739508e-20,False
final_mp,MP1,angiogenic/vascular,strict,GO_BP,GO:0048856,anatomical structure development,40,47,5813,27377,4.008184150711355,1.355399491179819e-20,COL4A1;ESM1;PDGFRB;COL4A2;IGFBP7;A2M;SPARC;ENG;CDH5;PECAM1;CLEC14A;MCAM;CD248;LAMB1;LAMA4;ADGRF5;IGFBP3;CD93;ITGA1;NID1;HSPG2;CD34;VIM;THY1;ADAMTS4;FLT1;COL5A3;COL18A1;MGP;ANGPT2;ID3;RAMP2;PCDH12;TMEM204;PLXDC1;GJA4;BGN;KDR;COL6A3;FSTL1,29,10,0.725,0.3970467032967033,2.8124539441981246e-18,False
final_mp,MP1,angiogenic/vascular,strict,GO_BP,GO:0032502,developmental process,41,47,6324,27377,3.7764174303901386,1.7120073115243498e-20,COL4A1;ESM1;PDGFRB;COL4A2;IGFBP7;PLVAP;A2M;SPARC;ENG;CDH5;PECAM1;CLEC14A;MCAM;CD248;LAMB1;LAMA4;ADGRF5;IGFBP3;CD93;ITGA1;NID1;HSPG2;CD34;VIM;THY1;ADAMTS4;FLT1;COL5A3;COL18A1;MGP;ANGPT2;ID3;RAMP2;PCDH12;TMEM204;PLXDC1;GJA4;BGN;KDR;COL6A3;FSTL1,30,10,0.7317073170731707,0.40639238809970507,3.0449272897825933e-18,False
final_mp,MP1,angiogenic/vascular,strict,GO_BP,GO:0048731,system development,35,47,3974,27377,5.130127745237662,3.4740872144739397e-20,COL4A1;ESM1;PDGFRB;COL4A2;IGFBP7;A2M;SPARC;ENG;CDH5;PECAM1;CLEC14A;MCAM;CD248;LAMB1;ADGRF5;CD93;ITGA1;NID1;HSPG2;CD34;VIM;THY1;ADAMTS4;FLT1;COL18A1;MGP;ANGPT2;ID3;RAMP2;PCDH12;TMEM204;PLXDC1;GJA4;BGN;KDR,26,8,0.7428571428571429,0.42090528519099946,5.406548227525069e-18,False
final_mp,MP1,angiogenic/vascular,strict,GO_BP,GO:0035239,tube morphogenesis,21,47,865,27377,14.14136022629443,1.414436587543907e-19,COL4A1;ESM1;PDGFRB;COL4A2;IGFBP7;SPARC;ENG;CDH5;CLEC14A;MCAM;ADGRF5;CD93;HSPG2;CD34;THY1;FLT1;COL18A1;ANGPT2;RAMP2;PLXDC1;KDR,16,5,0.7619047619047619,0.4435723007151579,1.956637279435738e-17,False
final_mp,MP1,angiogenic/vascular,strict,GO_BP,GO:0007275,multicellular organism development,36,47,4613,27377,4.545765666871146,3.163780479246225e-19,COL4A1;ESM1;PDGFRB;COL4A2;IGFBP7;A2M;SPARC;ENG;CDH5;PECAM1;CLEC14A;MCAM;CD248;LAMB1;LAMA4;ADGRF5;CD93;ITGA1;NID1;HSPG2;CD34;VIM;THY1;ADAMTS4;FLT1;COL18A1;MGP;ANGPT2;ID3;RAMP2;PCDH12;TMEM204;PLXDC1;GJA4;BGN;KDR,27,8,0.75,0.4269179894179894,3.93890669666155e-17,False
