subcluster_id,label,coarse,position,program_id
MP1,angiogenic-vascular,A,4,denisenko_2022__SP7__K9__P9
MP1,angiogenic-vascular,A,5,yamamoto_2025__Pt2-2__K7__P4
MP1,angiogenic-vascular,A,6,yamamoto_2025__Pt1-4__K9__P9
MP1,angiogenic-vascular,A,7,yamamoto_2025__Pt1-2__K6__P6
MP1,angiogenic-vascular,A,8,ju_2024__CPS_OV5LtOV4__K8__P8
MP1,angiogenic-vascular,A,9,ju_2024__CPS_OV19_LtOV1__K10__P8
MP1,angiogenic-vascular,A,10,ju_2024__CPS_OV1RtOV3__K9__P8
MP2,iCAF-stress,A,12,ju_2024__CPS_OV24RTOV4__K5__P5
MP2,iCAF-stress,A,13,ju_2024__CPS_OV34RtOV1__K5__P5
MP2,iCAF-stress,A,14,yamamoto_2025__Pt2-1__K5__P3
MP2,iCAF-stress,A,15,yamamoto_2025__Pt1-3__K7__P7
MP3,complement-CAF,A,16,yamamoto_2025__Pt2-4__K5__P2
MP3,complement-CAF,A,17,denisenko_2022__SP7__K9__P4
MP3,complement-CAF,A,18,denisenko_2022__SP3__K7__P2
MP3,complement-CAF,A,19,denisenko_2022__SP4__K6__P3
MP3,complement-CAF,A,20,ju_2024__CPS_OV20RtOV4__K5__P5
MP3,complement-CAF,A,21,ju_2024__CPS_OV24RTOV4__K5__P4
MP4,activated-myCAF,A,24,ju_2024__CPS_OV34RtOV1__K5__P3
MP4,activated-myCAF,A,25,denisenko_2022__SP7__K9__P7
MP4,activated-myCAF,A,26,yamamoto_2025__Pt1-1__K6__P4
MP4,activated-myCAF,A,27,ju_2024__CPS_OV71_1__K4__P3
MP4,activated-myCAF,A,28,yamamoto_2025__Pt1-3__K7__P5
MP4,activated-myCAF,A,29,denisenko_2022__SP2__K5__P1
MP4,activated-myCAF,A,30,denisenko_2022__SP5__K5__P2
MP4,activated-myCAF,A,31,ju_2024__CPS_OV5LtOV4__K8__P7
MP4,activated-myCAF,A,32,yamamoto_2025__Pt2-3__K5__P2
MP4,activated-myCAF,A,33,yamamoto_2025__Pt2-2__K7__P7
MP4,activated-myCAF,A,34,ju_2024__CPS_OV1RtOV3__K9__P7
MP4,activated-myCAF,A,35,yamamoto_2025__Pt1-4__K9__P6
MP4,activated-myCAF,A,36,ju_2024__CPS_OV19_LtOV1__K10__P9
MP5,IFN-TLS-immune,B,2,ju_2024__CPS_OV20RtOV4__K5__P3
MP5,IFN-TLS-immune,B,3,yamamoto_2025__Pt1-1__K6__P2
MP5,IFN-TLS-immune,B,4,ju_2024__CPS_OV24RTOV4__K5__P3
MP5,IFN-TLS-immune,B,5,yamamoto_2025__Pt1-2__K6__P3
MP5,IFN-TLS-immune,B,6,yamamoto_2025__Pt2-1__K5__P5
MP5,IFN-TLS-immune,B,7,ju_2024__CPS_OV19_LtOV1__K10__P7
MP5,IFN-TLS-immune,B,8,ju_2024__CPS_OV5LtOV4__K8__P6
MP5,IFN-TLS-immune,B,9,denisenko_2022__SP6__K5__P5
MP5,IFN-TLS-immune,B,10,yamamoto_2025__Pt1-4__K9__P8
MP5,IFN-TLS-immune,B,11,yamamoto_2025__Pt2-2__K7__P5
MP6,APC-TAM-myeloid,B,14,denisenko_2022__SP5__K5__P1
MP6,APC-TAM-myeloid,B,15,denisenko_2022__SP7__K9__P5
MP6,APC-TAM-myeloid,B,16,yamamoto_2025__Pt1-3__K7__P4
MP6,APC-TAM-myeloid,B,17,ju_2024__CPS_OV5LtOV4__K8__P5
MP6,APC-TAM-myeloid,B,18,yamamoto_2025__Pt2-3__K5__P3
MP6,APC-TAM-myeloid,B,19,ju_2024__CPS_OV19_LtOV1__K10__P5
MP6,APC-TAM-myeloid,B,20,denisenko_2022__SP2__K5__P4
MP6,APC-TAM-myeloid,B,21,denisenko_2022__SP6__K5__P3
MP6,APC-TAM-myeloid,B,22,ju_2024__CPS_OV1RtOV3__K9__P2
MP6,APC-TAM-myeloid,B,23,ju_2024__CPS_OV34RtOV1__K5__P4
MP6,APC-TAM-myeloid,B,24,yamamoto_2025__Pt1-1__K6__P5
MP6,APC-TAM-myeloid,B,25,yamamoto_2025__Pt1-2__K6__P4
MP7,malignant-hypoxia,C,10,yamamoto_2025__Pt1-2__K6__P5
MP7,malignant-hypoxia,C,11,yamamoto_2025__Pt2-3__K5__P4
MP7,malignant-hypoxia,C,12,ju_2024__CPS_OV1RtOV3__K9__P6
MP7,malignant-hypoxia,C,13,yamamoto_2025__Pt1-4__K9__P7
MP7,malignant-hypoxia,C,14,yamamoto_2025__Pt2-4__K5__P5
MP7,malignant-hypoxia,C,15,ju_2024__CPS_OV5LtOV4__K8__P4
MP7,malignant-hypoxia,C,16,yamamoto_2025__Pt2-2__K7__P6
MP8,malignant-acute-phase-secretory,C,18,denisenko_2022__SP7__K9__P6
MP8,malignant-acute-phase-secretory,C,19,denisenko_2022__SP4__K6__P6
MP8,malignant-acute-phase-secretory,C,20,ju_2024__CPS_OV71_1__K4__P2
MP8,malignant-acute-phase-secretory,C,21,ju_2024__CPS_OV1RtOV3__K9__P9
MP8,malignant-acute-phase-secretory,C,22,denisenko_2022__SP5__K5__P3
MP8,malignant-acute-phase-secretory,C,23,ju_2024__CPS_OV5LtOV4__K8__P3
