"gene","n_samples","z_combined","mean_z","mean_logfc","sd_z","n_positive","n_negative","consistency","p_combined"
"AEBP1",12,7.98289481914997,2.30446323637435,0.214803435011837,3.04987401227999,8,4,0.666666666666667,1.42940702529593e-15
"MYL9",13,7.46930455120409,2.07161235010945,0.782748393515337,1.97860433867578,11,2,0.846153846153846,8.06197557073721e-14
"EEF1A1",10,6.71277082290906,2.12276452111154,2.03651718665027,1.91876506565673,8,2,0.8,1.90962921231498e-11
"IGFBP4",13,5.49769467777215,1.5247861582733,0.539974459509209,2.21705691821693,11,2,0.846153846153846,3.84788411592206e-08
"RPS4X",10,5.06100473963737,1.60043022261615,3.07899168371205,1.54314299882608,9,1,0.9,4.17052846796108e-07
"VIM",13,4.92823537110387,1.36684656369772,0.727370143436165,2.10735212980681,10,3,0.769230769230769,8.29756217265829e-07
"RPL23",10,4.84437574239767,1.53192611876458,2.13411001610021,1.24274051671852,9,1,0.9,1.27010374022033e-06
"ACTA2",13,4.74461594967213,1.31591969914824,0.362039307327169,2.06844040687452,10,3,0.769230769230769,2.08902292860544e-06
"TAGLN",13,4.57631472500191,1.26924133797348,0.47645396977018,3.76749554782952,9,4,0.692307692307692,4.7323843769756e-06
"RPL13A",10,4.32470842371368,1.36759288350518,1.02759187632446,1.83043689805483,7,3,0.7,1.52733741397717e-05
"RPS15A",10,4.31141084928921,1.36338782125149,2.08738316749754,1.59056784360605,8,2,0.8,1.62216176544952e-05
"RPL34",10,4.24810248908554,1.34336795993409,1.53257869312153,1.69804529555222,8,2,0.8,2.15588768809268e-05
"ADIRF",10,4.1327528620983,1.30689120508104,1.27159476558101,2.05119208592909,7,3,0.7,3.58444080063446e-05
"RPL18A",10,4.11050376832515,1.29985542386126,0.770065149624443,2.52105927892753,8,2,0.8,3.94796837055839e-05
"RPL7",10,4.02773450388234,1.27368148427165,0.336913146230897,1.6762844467305,7,3,0.7,5.63168860530956e-05
"RPS8",10,3.93103502372818,1.24310242368751,0.612479681797013,1.67803491152308,7,3,0.7,8.45809481111782e-05
"H3F3B",12,3.81340203620314,1.10083434606507,0.925760700963601,1.89931745356818,9,3,0.75,0.000137066870846724
"RPL32",10,3.74895095732352,1.1855223861411,1.27827777106333,1.38808949407554,9,1,0.9,0.00017757580311797
"RPS25",10,3.72450224482838,1.17779102440678,0.76591965592873,1.72822661494852,7,3,0.7,0.000195700970995905
