"gene","n_samples","z_combined","mean_z","mean_logfc","sd_z","n_positive","n_negative","consistency","p_combined"
"NDUFB10",11,4.00215174737933,1.20669415455659,2.70662860485151,1.514597544763,7,4,0.636363636363636,6.27690178817887e-05
"EGFL7",3,3.93136107357283,2.26977237410889,0.823255613275222,2.49691661476986,3,0,1,8.44663014130987e-05
"TOMM40",5,3.49095347975892,1.56120185740608,3.92941123492539,1.16279671484627,5,0,1,0.000481300049913354
"ADAM15",11,3.43049413183696,1.03433289825629,1.05141406949126,0.87114467953906,9,2,0.818181818181818,0.00060248300400079
"SIN3B",5,3.34055398234715,1.49394115740717,3.45739800803714,1.2205466117512,5,0,1,0.000836114244915912
"MT-CO3",11,3.23035772129678,0.973989500015352,1.0322715804069,2.14561081666741,8,3,0.727272727272727,0.00123635422509353
"STK25",12,3.1844225325357,0.919263603186498,1.70753705721206,1.00572981924927,8,4,0.666666666666667,0.00145043127173669
"CCDC85B",13,3.14383172849167,0.871942038346716,0.954307516289538,1.15340968464615,9,4,0.692307692307692,0.00166751296402289
"APCDD1",8,3.13580115895196,1.10867313197378,1.18726004090407,0.916177376968252,7,1,0.875,0.00171385361335938
"IFI27",13,3.10055400259038,0.859938956821901,0.851433949025892,1.03427743814773,11,2,0.846153846153846,0.00193158988061425
"RHOT2",12,3.06026297252076,0.883421825487953,2.35575141715052,1.21527630103878,7,5,0.583333333333333,0.00221142725930636
"BCL2L1",13,3.03680365542705,0.842257791781439,2.46150903676318,0.975113521772198,10,3,0.769230769230769,0.00239101145266583
"HNRNPUL1",13,2.95254438026771,0.818888473549098,1.74544921953645,0.843860782505576,11,2,0.846153846153846,0.00315166762310417
"SRSF6",11,2.94767935923085,0.888758766985816,1.91815139323804,0.976502876188579,9,2,0.818181818181818,0.00320168960470259
"DYNLL2",13,2.8849367659718,0.800137495090968,-2.88634638659561,1.32229965542874,10,3,0.769230769230769,0.00391492287648936
"IFI6",12,2.87077598849136,0.828721644869301,-0.754693158934671,1.51824784959739,6,6,0.5,0.00409465581935216
"EFNB2",4,2.86571569673875,1.43285784836938,1.52323099531201,0.861630681734539,4,0,1,0.00416067720208308
"RRAS",10,2.86010649144676,0.904445086360467,3.65015613425148,1.65077871839277,9,1,0.9,0.00423498771572782
"TST",3,2.84445857334514,1.64224892301956,4.44805837399311,1.25446663522342,3,0,1,0.00444869703720192
"ACBD3",6,2.78561994018948,1.1372245784644,4.22895002722783,0.846050681787484,5,1,0.833333333333333,0.00534254709953908
"ECE1",9,2.76415560188722,0.921385200629073,0.864066654772756,1.54223414471138,6,3,0.666666666666667,0.00570703171393444
"LAMA5",13,2.72873277304143,0.756814302326146,0.873770784906511,0.889863930473145,9,4,0.692307692307692,0.00635782015792299
"ARGLU1",13,2.72640086664409,0.756167547858055,0.877112988533017,1.07668815830124,9,4,0.692307692307692,0.00640291830389328
"SMPD4",10,2.63741792579279,0.834024778726216,2.11138908081076,0.964369529071262,8,2,0.8,0.00835398384804641
"VCL",11,2.62331524126022,0.790959305643709,1.87649428723117,1.10707012825817,7,4,0.636363636363636,0.00870786600362613
"SH2B1",7,2.61680482511838,0.98905925669387,2.3198439443658,0.916598744153381,6,1,0.857142857142857,0.00887570755246061
"COASY",3,2.60687591434632,1.5050805108918,3.91934399516798,1.17336997593662,3,0,1,0.00913724659182968
"ATP2C1",12,2.59627276475579,0.749479389810725,1.8441612522262,0.93789057056901,9,3,0.75,0.00942412185921451
"BRD9",4,2.58231786216239,1.2911589310812,2.34730930247366,1.04904171078111,3,1,0.75,0.00981391492153918
"TMX4",6,2.56421021789044,1.04683443784374,1.79959578017833,0.740934136321878,5,1,0.833333333333333,0.0103410890991488
"VAMP5",8,2.55388506412014,0.902934723605196,0.714948009131114,1.06541849044601,7,1,0.875,0.010652841470456
"RAMP2",3,2.54215093497777,1.46771152663007,0.731781589380631,1.84091064228438,2,1,0.666666666666667,0.0110172586064251
"SOX13",3,2.52593908084772,1.45835160828403,1.36652759646311,1.58076663436599,3,0,1,0.0115389488217133
"COQ4",11,2.51840252186715,0.759326930556195,1.94018910434338,0.823232348849556,10,1,0.909090909090909,0.0117888509984762
"ITM2A",4,2.5076161211085,1.25380806055425,1.75166017773896,1.30514709006446,3,1,0.75,0.0121548636572823
"ATP6V1E1",11,2.50082069134662,0.754025809195813,2.1073546502097,1.22165391935041,9,2,0.818181818181818,0.0123905895003081
"MPC2",6,2.4983224501132,1.01993586928621,5.59250829020394,1.11897557509492,5,1,0.833333333333333,0.0124782633126778
"NUDT5",8,2.49415632303361,0.881817424678186,2.13872830390404,1.43882222746887,7,1,0.875,0.012625692653882
"TAGLN2",13,2.47857102387344,0.687431916650382,0.671289499393728,1.37689538172087,8,5,0.615384615384615,0.013190984602957
"SMCHD1",6,2.47571299256458,1.01070559689366,1.574472703278,1.40025207849065,5,1,0.833333333333333,0.013297042213723
"MOB2",3,2.41764854320731,1.39583003722665,1.98539310497563,0.881320244380695,3,0,1,0.0156211566493134
"PRKAA1",3,2.40866828021857,1.3906452799727,2.26890558310748,1.42710782045471,3,0,1,0.0160108431383465
"IFRD2",7,2.39539081898297,0.905372628548041,1.73331449277479,0.691822726425511,7,0,1,0.0166026580500754
"FSTL1",12,2.38895904442504,0.689633073690893,0.82018386890544,1.02137085471297,10,2,0.833333333333333,0.0168961857742955
"MED15",9,2.37229213280427,0.79076404426809,1.83889666616947,0.981402604841803,6,3,0.666666666666667,0.0176781072059021
"MON2",3,2.36913094600138,1.36781838941937,3.14549931668648,0.5706541497158,3,0,1,0.0178299395292717
"SRSF2",13,2.36532200008646,0.656022288791906,1.39760887949052,0.640113481895439,11,2,0.846153846153846,0.018014400630922
"CCDC115",3,2.36426157331919,1.36500705579052,4.77504035340334,1.04649802427154,3,0,1,0.0180660519369834
"IGFBP3",13,2.3446037687636,0.650276085301789,0.39925920594366,1.70229365189262,8,5,0.615384615384615,0.0190473094384328
"HMG20B",11,2.33789591864753,0.704902141914283,1.55376183499279,0.867112604631627,8,3,0.727272727272727,0.0193926480479173
"PSMD9",3,2.32685278114699,1.34340907955984,2.61240140967195,1.91755616159397,2,1,0.666666666666667,0.0199731020892532
"SLC38A10",12,2.326555760113,0.671618797192957,1.59670929442345,1.24206391991687,8,4,0.666666666666667,0.0199889214608568
"SRSF5",13,2.31709215027459,0.642645735214627,0.826870691385705,1.02814524331561,10,3,0.769230769230769,0.0204987125292384
"PSMB6",12,2.31491944613546,0.668259682689304,0.840213861826112,1.36714868539041,8,4,0.666666666666667,0.0206173409264595
"PSMA2",11,2.30797954982024,0.695882017324284,1.89950167433317,0.838735414806317,8,3,0.727272727272727,0.0210002739438727
"PHB2",13,2.30049959433447,0.638043788196695,0.272407345411147,1.54713490879934,8,5,0.615384615384615,0.0214199322447926
"PPP2CA",11,2.29783673840777,0.692823844617509,2.49019825587536,0.752634655944916,9,2,0.818181818181818,0.0215710829319713
"HES4",7,2.29247256225645,0.866473183881372,0.674012757668597,1.56059402353414,5,2,0.714285714285714,0.0218783890607834
"NPDC1",11,2.29049790850564,0.690611104146091,0.498026173670019,1.11673493212995,8,3,0.727272727272727,0.02199246968084
"SGSM3",5,2.27771207054713,1.01862380458304,2.07940245804333,1.00447307989708,4,1,0.8,0.022743738096225
"EXOSC10",5,2.27549724789897,1.01763330578316,2.82806057623294,1.0508183669187,5,0,1,0.022876117586716
"XPO6",6,2.27265391166238,0.927807074252179,3.22919972711854,0.814541776575913,5,1,0.833333333333333,0.0230470440721183
"HSD17B10",12,2.26058556716326,0.652574842863945,1.90226146993675,0.849332342797767,9,3,0.75,0.023784932315071
"CAV1",3,2.24521174482965,1.29627360526511,0.499212989294379,1.62458694141213,2,1,0.666666666666667,0.0247545424805007
"BNIP2",8,2.23707562851142,0.790925673473792,1.5622474882012,0.621958084848914,7,1,0.875,0.0252813975313639
"MT-ND2",10,2.21408266121554,0.700154413732807,-0.0562191050965984,1.84288937770866,6,4,0.6,0.0268230931465557
"KIAA2013",7,2.20366910665606,0.832908632583974,2.35606252697514,1.27242162747009,5,2,0.714285714285714,0.0275476233133601
"GTPBP4",6,2.19496754155924,0.896091746465229,3.85039014741615,0.77227567619265,6,0,1,0.0281659261669928
"FNDC3B",10,2.18354555877774,0.690497734048274,2.99951793351207,1.51212364833768,5,5,0.5,0.0289956577339401
"PAIP2",13,2.16820723755408,0.601352490064104,1.49961473306343,0.557603599144289,11,2,0.846153846153846,0.0301429223980049
"NIPA2",3,2.15880443230821,1.2463863201209,2.42817370262928,0.924217496350525,3,0,1,0.0308653424880956
"BCAP31",13,2.15092369343689,0.596558897407467,1.00622825113698,1.07758981378548,9,4,0.692307692307692,0.0314822230674815
"NDUFB1",11,2.15003971554137,0.64826136552847,0.975841539202006,1.21548059173228,9,2,0.818181818181818,0.0315520734136764
"PLEKHJ1",7,2.14525770061664,0.810831196282553,2.23358058316266,0.666713067378904,7,0,1,0.0319322484892026
"NECTIN2",12,2.14250889064255,0.618489042376822,0.567277649062779,1.16691940724435,9,3,0.75,0.0321525540173524
"PPP1R2",4,2.13040038905716,1.06520019452858,2.82264557083205,1.43300546770532,3,1,0.75,0.0331385717149953
"MT-CO2",11,2.12746660822663,0.641455317590706,0.659126691635895,2.36205869899093,8,3,0.727272727272727,0.0333813329162706
"RBBP4",11,2.12550629059038,0.640864259584399,1.33581040617181,0.944685234879897,8,3,0.727272727272727,0.0335443897315274
"ARRDC3",8,2.11889115649758,0.749141152677824,1.34918096015781,1.01797017794416,5,3,0.625,0.0340996665003734
"CHMP1A",10,2.11539827088238,0.668947669437017,0.345107641180697,0.734955711582,7,3,0.7,0.0343960170508085
"RBM42",12,2.10568075626824,0.607857675729443,1.00896916894391,0.900715338902759,7,5,0.583333333333333,0.0352320925225685
"DHX30",11,2.10452363863364,0.634537751980116,1.38328519837197,1.43427816166306,7,4,0.636363636363636,0.0353327948187884
"INTS8",5,2.1033307939205,0.940638126874968,3.81539913656317,1.15727804552267,3,2,0.6,0.0354368634121638
"DDX56",10,2.09809455235741,0.663475753184082,1.39943649604731,1.237351052018,6,4,0.6,0.0358967937046401
"SOX18",6,2.09356938017333,0.854696120423252,0.654744961005689,0.874956716255,5,1,0.833333333333333,0.0362983575884678
"FAM129B",6,2.09335260423625,0.854607622017526,2.12188595818631,1.08239145391455,5,1,0.833333333333333,0.0363176900081532
"CRIP2",13,2.09267287845854,0.580403028158084,0.289744396458783,1.13475406110372,10,3,0.769230769230769,0.0363783659329607
"TSC2",9,2.07597661509436,0.691992205031454,0.825117502579439,1.14277227756055,5,4,0.555555555555556,0.037896113863014
"GLUD1",9,2.06997613424606,0.689992044748688,1.26194962332585,1.03518141354738,6,3,0.666666666666667,0.0384545794252244
"MSN",13,2.06972092741179,0.574037302283392,0.716103889512324,0.957444564752719,10,3,0.769230769230769,0.0384784858326746
"SRRM2",11,2.06508834092846,0.622647562345202,0.947576125593829,1.52103487664587,8,3,0.727272727272727,0.03891464238385
"DAD1",13,2.05848782159083,0.570921799281839,1.09644043989888,1.09124937096592,8,5,0.615384615384615,0.039543329130874
"RYK",5,2.05838418585004,0.920537392674248,8.29257492860187,0.929470594474283,4,1,0.8,0.0395532685791806
"TSNAX",4,2.05668439206619,1.0283421960331,2.51823310888498,0.853864174239713,4,0,1,0.0397165944774447
"EIF4A3",3,2.04443532431486,1.18035528483396,2.66694867376124,1.09892784800417,2,1,0.666666666666667,0.0409105606083858
"BAG6",13,2.04415168723754,0.566945671012399,1.16462194142322,1.46869798681551,9,4,0.692307692307692,0.0409385642963166
"BUB3",8,2.04340971229629,0.722454432153579,1.61631712865508,0.990606854970578,6,2,0.75,0.0410118968346388
"TMED7",8,2.04121748156627,0.72167936154602,1.63432129379044,1.51005547250909,6,2,0.75,0.0412292148459793
"GSK3B",3,2.03850366768769,1.17693064128353,1.5488826171984,0.979221230320768,3,0,1,0.0414995883348339
"ACTL6A",6,2.02702008652504,0.827527485059759,2.6208988699618,1.23122054035157,4,2,0.666666666666667,0.0426603585030323
"MAP3K11",11,2.02211197808907,0.609689701400437,0.672821258532641,1.22171345871837,8,3,0.727272727272727,0.0431647848552942
"BAP1",7,2.0220516554921,0.764263688365506,1.96384787466908,1.5221264745752,5,2,0.714285714285714,0.0431710156755535
"CAVIN1",11,2.02123603089325,0.609425593383647,0.346290010161599,1.37140334733833,6,5,0.545454545454545,0.0432553375249175
"UFC1",13,2.00917636247347,0.557245261257564,1.56520901415745,1.03155420540488,10,3,0.769230769230769,0.0445184335700336
"PTOV1",11,2.00759313743841,0.605312106234146,0.863232693771877,1.03424009542791,9,2,0.818181818181818,0.0446865444092969
"UBE2A",4,2.00689056609961,1.00344528304981,3.21486831317086,1.06538475199279,3,1,0.75,0.0447613165772722
"EIF5B",11,2.00545354580463,0.604666995083796,-0.583194057809078,1.36234480733607,7,4,0.636363636363636,0.044914582237601
"HUWE1",12,2.00204005343471,0.577939181889471,0.765611123478198,0.994934382117432,9,3,0.75,0.0452804239259106
"GRHPR",11,1.99956691790043,0.602892109989373,0.0310503174513448,1.0244664861373,7,4,0.636363636363636,0.0455470491961177
"SPAG9",5,1.99845166280339,0.893734753555173,2.62419759323209,0.398710241451659,5,0,1,0.0456677154105652
"MRPL28",9,1.99793538832809,0.665978462776029,2.16183195024394,1.20188043104013,5,4,0.555555555555556,0.0457236654170536
"FEM1B",5,1.99486554227432,0.892130991699472,2.15454655555202,0.777178296650842,5,0,1,0.0460575465715328
"NOP10",11,1.99387468215916,0.601175836337369,0.942418346359617,0.837325881258066,9,2,0.818181818181818,0.0461657514081406
"MED10",3,1.99217798306116,1.15018449479401,3.30827115228526,1.06077573755984,3,0,1,0.0463515330393136
"RALY",13,1.98978535984423,0.551867164775841,1.28739526165749,1.37902758309504,10,3,0.769230769230769,0.0466145848389696
"CUL1",3,1.98743934597635,1.1474486413975,5.66090924132773,0.632492763378129,3,0,1,0.0468737311268498
"NPEPL1",6,1.98551936297609,0.810584885617886,5.66364435608278,1.12524457204132,5,1,0.833333333333333,0.0470867180133187
"NELFE",11,1.98369500188701,0.598106547251142,1.06161027459676,1.39201571755833,8,3,0.727272727272727,0.0472898510946182
"PSMB4",13,1.98062772144934,0.54932729286854,0.636618467400509,0.968959159148218,7,6,0.538461538461538,0.0476330377763605
"GOLGA2",6,1.97714777840704,0.8071672005291,0.913935292894137,0.547193660230959,5,1,0.833333333333333,0.0480249284710343
"ASAP2",7,1.96715990708397,0.743516557605873,1.53492495495651,0.629819832676819,6,1,0.857142857142857,0.0491647785643317
"KLHDC8B",5,1.96482447868168,0.878696219637564,1.0932791043339,0.672417276730836,4,1,0.8,0.0494345559902135
"RAB13",12,1.95113719456822,0.563244792254925,0.784177094540268,0.947333048825863,10,2,0.833333333333333,0.0510407276930353
"DGCR6L",5,1.94966939272814,0.871918659158172,2.65185891103154,1.23227721290486,3,2,0.6,0.0512155366335236
"CLUH",8,1.94363448530481,0.687178562353526,1.42532192432092,0.531907331000922,7,1,0.875,0.051939544159963
"TFG",12,1.94184561941245,0.560562545546238,1.21572643810107,1.21916108419878,7,5,0.583333333333333,0.0521557923292573
"RANBP3",3,1.93575259623158,1.11760728251882,3.19098718584139,1.21870861579784,3,0,1,0.0528980092745824
"ABHD16A",6,1.93290475839905,0.78910506324588,1.52253293247686,1.14074929712152,4,2,0.666666666666667,0.0532479315949204
"LRRFIP1",8,1.93049719026022,0.682533827147291,1.1064498226629,0.854348915701322,7,1,0.875,0.0535452630199829
"REX1BD",12,1.92266743749496,0.55502628129992,0.370397784693338,1.22199253745538,6,6,0.5,0.0545218287707732
"CLSTN1",13,1.92117218604418,0.532837294290579,-0.296412056597244,1.12809652728041,9,4,0.692307692307692,0.0547100034512759
"TMEM185B",3,1.91764240396956,1.10715135814127,4.76365010020148,0.600426813658264,3,0,1,0.0551563694638731
"FASTK",12,1.91499705227288,0.552812031813543,1.22858588052242,1.34114363943374,8,4,0.666666666666667,0.0554928795352396
"DNAJC11",3,1.90088976826991,1.09747921941044,1.96108671800872,1.02217250320062,2,1,0.666666666666667,0.0573164525515418
"GAS6",13,1.89730281316475,0.526217121380583,-0.0481984466189205,1.23528191625237,8,5,0.615384615384615,0.0577879839278009
"TMEM167A",8,1.8864516340183,0.666961371397392,1.6207269931631,0.945024960348326,5,3,0.625,0.0592341201677941
"PIM3",4,1.88161038401332,0.940805192006658,3.06853172937479,1.4062660144482,3,1,0.75,0.0598889352952137
"SH3BP4",3,1.87933593336371,1.08503510702527,4.19119704857909,0.0806266521882139,3,0,1,0.0601986381711921
"BROX",8,1.87854029025105,0.664164288984331,2.42813621737488,1.52555650166499,5,3,0.625,0.0603072907275146
"PTPA",13,1.87231270626089,0.519286112778954,1.49348243446162,1.301234975901,7,6,0.538461538461538,0.061163353900722
"HSPG2",13,1.87031421695914,0.518731831575037,0.227682869823944,1.40050066069521,10,3,0.769230769230769,0.0614401964285363
"SNRPA1",5,1.870083681452,0.836326847067945,3.38408872769014,0.843522275280371,4,1,0.8,0.061472198207462
"QRICH1",5,1.8665849489156,0.83476216631065,2.46069798134868,0.802166833790273,4,1,0.8,0.0619595710450811
"FAF2",4,1.86390710770839,0.931953553854197,3.05799555738295,0.645426144646732,4,0,1,0.0623347504198104
"UACA",11,1.86283696141918,0.561666476966651,0.666737408581385,1.05186319009617,7,4,0.636363636363636,0.0624852080823717
"CCDC3",8,1.861771142669,0.658235499999339,0.0773758220088354,1.4787172101382,5,3,0.625,0.0626353557311781
"ZMAT2",12,1.85747800423939,0.53620771288071,1.45079463875368,1.19242421702087,7,5,0.583333333333333,0.0632431777282863
"DGCR2",8,1.85704296313874,0.656563836095083,1.94586235414062,0.847961117978432,5,3,0.625,0.0633050418828283
"CHD8",3,1.85268345721997,1.06964729274911,3.22203435992497,0.623179713504728,3,0,1,0.063927742482109
"RAPGEF3",9,1.84780685912723,0.615935619709077,-0.239545692427012,0.780570558026513,6,3,0.666666666666667,0.064630288299524
"CHID1",3,1.84696581626769,1.06634621120619,3.45229734073869,0.739595075289974,3,0,1,0.064752094736106
"MICA",3,1.84118501950581,1.06300866663958,1.62536840404146,1.18815001996719,2,1,0.666666666666667,0.0655944498845194
"QSOX1",3,1.8398490692854,1.06223735542021,3.45083124663802,1.15655101631931,2,1,0.666666666666667,0.0657903990807591
"FXYD5",11,1.83906674865787,0.554499488156091,1.36118853545236,1.48431241487542,6,5,0.545454545454545,0.0659053690175347
"GRAMD1A",13,1.83586108958387,0.509176253317216,3.11650459786861,1.00743467105038,10,3,0.769230769230769,0.0663782037030474
"VWF",13,1.83445370667831,0.508785915530279,0.113296109656891,2.92520330540224,7,6,0.538461538461538,0.0665866736034321
"PDHB",8,1.83293470343509,0.648040279135553,1.4680014476254,1.26188254491647,5,3,0.625,0.0668122821253452
"ARFGAP2",12,1.83227862658634,0.528933279145009,1.31874812226499,0.994384223383723,8,4,0.666666666666667,0.0669099197604726
"FAM122B",4,1.83155737944349,0.915778689721743,-0.862313233262237,1.15601671405111,2,2,0.5,0.0670173915908214
"CHD9",3,1.83141477005527,1.05736781048927,1.42330560524708,1.59518323373933,2,1,0.666666666666667,0.067038658395052
"MTG1",6,1.82219940982056,0.743909793943502,-2.1833923891559,2.09411123686189,3,3,0.5,0.0684247341106026
"SRRT",12,1.82118277804304,0.525730183573331,0.641797383599128,1.2958164055151,7,5,0.583333333333333,0.068579077479644
"CYB5R3",12,1.8199251416128,0.525367135207558,0.740918849267117,1.66437252982068,7,5,0.583333333333333,0.0687704055937112
"FAM107A",7,1.81407283934268,0.685655084722507,0.0954411465039492,0.853454738971341,5,2,0.714285714285714,0.0696665124626741
"SUN1",10,1.81285313380436,0.573274496619577,1.48612989570737,0.594156924962223,8,2,0.8,0.0698544762895238
"CDC42BPA",7,1.80615428178928,0.682662151289846,2.74624745267151,0.53461542299012,6,1,0.857142857142857,0.0708942438994558
"DTX3L",8,1.80338936631029,0.637594425018857,0.897032951708573,1.64046344206744,3,5,0.625,0.0713270864525761
"ASMTL",4,1.79301538948883,0.896507694744413,3.2422160292905,0.900987128689468,3,1,0.75,0.0729704633496903
"DUSP3",3,1.79148500975488,1.03431435263116,2.86016655255166,0.454664381375707,3,0,1,0.0732154980047891
"PHPT1",12,1.78995165733436,0.516714535599205,-1.10043769838342,1.39781067828365,7,5,0.583333333333333,0.0734616833111821
"ADNP",12,1.78982051833247,0.516676679030185,1.1037475980755,0.960709691460667,9,3,0.75,0.073482769544728
"OTUD5",4,1.78964996196817,0.894824980984087,1.75720523801734,0.906775675650767,3,1,0.75,0.0735102012195084
"RPS19BP1",9,1.78192681447771,0.593975604825903,2.00982104785275,0.990260780188566,7,2,0.777777777777778,0.0747611671420552
"AGO2",5,1.78127752209974,0.796611525241483,2.09580664651417,1.85743159026379,3,2,0.6,0.0748671247048668
"AFF1",5,1.77983411714775,0.795966014923138,0.323350637731067,0.972266488177703,4,1,0.8,0.0751031123550168
"COL4A1",13,1.77853503676168,0.493276866942573,0.246235845440556,1.28450028196691,9,4,0.692307692307692,0.0753160228397674
"TWF2",7,1.770486510395,0.669181000871394,2.30558304787997,0.872228381838679,5,2,0.714285714285714,0.0766461296125292
"SNRPB",11,1.76612218115795,0.532505873529546,1.21532411058565,1.16100688907284,8,3,0.727272727272727,0.077375352911479
"FXYD6",7,1.76596998606307,0.667473915132439,0.181577554345137,2.08161944651188,3,4,0.571428571428571,0.0774008843986513
"MT-CYB",11,1.76508307887316,0.532192572402506,0.620027876335994,1.71030824226377,6,5,0.545454545454545,0.0775498040773483
"MED29",5,1.76224287894301,0.7880989740363,1.09883961048877,1.64448126655518,3,2,0.6,0.0780282702585779
"MARK3",12,1.76146513892031,0.50849118606189,0.856403456872303,1.01236826035106,9,3,0.75,0.078159708386826
"PGM5",3,1.75850871045623,1.01527547735421,1.22805136903798,1.99414100088494,2,1,0.666666666666667,0.0786609908006604
"LUC7L2",10,1.75799791354021,0.555927752861081,2.96840137933511,0.893033897251683,8,2,0.8,0.0787478643323319
"MLST8",4,1.75519925526703,0.877599627633513,1.53377387534792,1.01351721062088,3,1,0.75,0.0792252312562971
"ARHGEF17",4,1.74825713866327,0.874128569331634,1.16195152235333,0.941562385792071,3,1,0.75,0.0804195114758845
"DDX1",13,1.74629716560267,0.484335690213682,0.539354036566918,0.880524216110201,7,6,0.538461538461538,0.0807593281438485
"CCT5",11,1.73990508603366,0.524601121927699,0.492812668663243,1.45647820945931,5,6,0.545454545454545,0.0818756854804561
"MAN2C1",10,1.73240493775506,0.547834543302821,1.79891547152101,0.787679086017383,8,2,0.8,0.0832014894521898
"ATP8B1",5,1.72963752368382,0.773517415878283,1.60932663436104,0.222907420486898,5,0,1,0.083695057456153
"HNRNPDL",13,1.72327951570405,0.477951742755976,0.909637608578349,0.945842923574508,8,5,0.615384615384615,0.0848379902566953
"STMN1",12,1.72239096091313,0.497211442466486,0.268488256315668,1.18648143292065,6,6,0.5,0.0849987200086564
"PNN",13,1.71283864561759,0.475055966413117,-2.01953722638977,1.91827147273067,6,7,0.538461538461538,0.0867422282605946
"CCT3",13,1.71238906050993,0.474931273939398,1.34247784758107,1.57839085318818,9,4,0.692307692307692,0.0868249937130358
"MAPK1",8,1.71117007124932,0.604989980571932,1.39129671015181,1.50729815113506,5,3,0.625,0.0870497218620763
"RNF139",4,1.70556743950733,0.852783719753667,1.65892939802506,0.380132895628787,4,0,1,0.0880886460007617
"RANBP1",10,1.70403432322171,0.538862967248415,1.73400741356117,1.2066026573195,8,2,0.8,0.0883746750974851
"TTC14",5,1.70264016708572,0.761443830965055,2.59704811206461,0.886130289839973,4,1,0.8,0.0886354283341613
"SMYD2",3,1.69733283503842,0.979955569213824,3.11143025195595,0.637455826859914,3,0,1,0.0896337528226981
"ZBTB44",9,1.69561696678351,0.565205655594505,0.91909598194556,0.927957002122479,7,2,0.777777777777778,0.0899584424832769
"TOR1AIP2",11,1.69306150669348,0.510477251336004,1.070621279206,1.01785946355865,8,3,0.727272727272727,0.0904437603116881
"PPP6R2",3,1.69128620929132,0.976464548211046,2.03347009235087,1.51928529160113,2,1,0.666666666666667,0.0907821526368223
