gene;n_samples;z_combined;mean_z;mean_logfc;sd_z;n_positive;n_negative;consistency;p_combined
MSLN;19;14.54027907;3.335768793;0.379703145;3.871161305;16;3;0.842105263;6.73E-48
MUC16;21;13.99376547;3.053689978;0.422747964;3.961598452;19;2;0.904761905;1.70E-44
CLDN3;21;12.75083748;2.782460853;0.333498851;2.802481594;17;4;0.80952381;3.08E-37
BCAM;20;11.88704357;2.658023748;0.268551674;3.052425849;17;3;0.85;1.38E-32
CLDN4;23;11.75480917;2.451047146;0.354229222;2.75141422;21;2;0.913043478;6.67E-32
ITGB4;18;11.04385263;2.603061029;0.45266576;2.502205009;16;2;0.888888889;2.35E-28
PLXNB1;21;11.02456318;2.405756918;0.469622172;3.116998719;17;4;0.80952381;2.91E-28
PGGHG;14;10.87510429;2.906493877;0.588772245;4.14776103;11;3;0.785714286;1.51E-27
MUC1;22;10.58833338;2.257440262;0.303436842;3.391562383;17;5;0.772727273;3.38E-26
RASSF7;12;10.34417906;2.986107283;0.697816006;2.562762381;10;2;0.833333333;4.45E-25
EPS8L1;18;10.0007805;2.357206569;0.497103782;2.150061955;14;4;0.777777778;1.51E-23
AGR2;4;9.891293502;4.945646751;2.267565683;0.835066247;4;0;1;4.54E-23
FOXJ1;3;9.267996653;5.350880362;2.650132934;1.148780676;3;0;1;1.90E-20
SRRM2;22;9.242930918;1.970599493;0.49403113;2.824831325;19;3;0.863636364;2.40E-20
PPP1R16A;21;9.23271682;2.014743986;0.412248129;2.698210354;17;4;0.80952381;2.64E-20
TSPAN1;9;9.025645358;3.008548453;0.710271501;2.959542366;8;1;0.888888889;1.79E-19
FOLR1;19;9.025612148;2.070617435;0.280205779;3.139418008;15;4;0.789473684;1.79E-19
ELF3;21;8.802542111;1.920872168;0.305032798;3.084110617;16;5;0.761904762;1.34E-18
PLEC;23;8.33150799;1.737239507;0.282999818;2.248488287;16;7;0.695652174;7.98E-17
KIFC2;9;8.308251838;2.769417279;0.485665944;3.209462719;8;1;0.888888889;9.71E-17
SNCG;16;8.239735503;2.059933876;0.580940001;2.602694915;12;4;0.75;1.73E-16
MARCH6;23;8.19739454;1.709274919;0.37456283;1.6203278;21;2;0.913043478;2.46E-16
PAX8;21;8.081281879;1.763480282;0.245650061;2.818890421;14;7;0.666666667;6.41E-16
SLC34A2;19;7.994197959;1.833994791;0.306925227;3.364486546;14;5;0.736842105;1.30E-15
LAMA5;23;7.987326899;1.665472788;0.186672109;2.900843181;17;6;0.739130435;1.38E-15
KRT19;15;7.819889806;2.019086866;0.248543307;3.388355393;9;6;0.6;5.29E-15
DDR1;23;7.814696795;1.629476923;0.203151516;2.124285021;19;4;0.826086957;5.51E-15
AC007906.2;10;7.718253362;2.440726018;0.644400615;1.876360422;9;1;0.9;1.18E-14
WASHC1;15;7.639839716;1.972598132;0.452222093;2.796339444;12;3;0.8;2.17E-14
IGFBP2;21;7.594342774;1.657221458;0.315696307;3.437331873;14;7;0.666666667;3.09E-14
VMP1;23;7.56604301;1.577629025;0.292977674;2.06011436;18;5;0.782608696;3.85E-14
CYHR1;23;7.545104693;1.573263084;0.384658944;2.451898449;20;3;0.869565217;4.52E-14
SEMA3B;17;7.512999014;1.822169912;0.599725704;2.222210967;15;2;0.882352941;5.78E-14
CDK5RAP3;14;7.449497919;1.990962065;0.696865518;2.074159419;13;1;0.928571429;9.37E-14
EPS8L2;20;7.444980161;1.664748173;0.351012302;2.193957556;16;4;0.8;9.70E-14
SCNN1A;20;7.437171445;1.663002091;0.260159056;2.330421195;14;6;0.7;1.03E-13
CLU;23;7.428385504;1.548925451;0.207412021;2.50868175;15;8;0.652173913;1.10E-13
SCRIB;22;7.424476379;1.582903682;0.318153361;2.390034278;18;4;0.818181818;1.13E-13
NPR1;5;7.424200356;3.320203335;0.677898327;0.913520233;5;0;1;1.13E-13
CITED4;19;7.399191301;1.697490902;0.40483764;2.468394442;14;5;0.736842105;1.37E-13
RHPN1;12;7.34524767;2.12039036;0.554871634;2.528481218;11;1;0.916666667;2.05E-13
SLPI;22;7.316835747;1.559954623;0.17328809;3.257562685;14;8;0.636363636;2.54E-13
SLC4A11;7;7.294457099;2.757045633;0.536822423;2.047116676;6;1;0.857142857;3.00E-13
DDAH2;22;7.269965215;1.549961792;0.381394309;2.433751101;15;7;0.681818182;3.60E-13
CTCFL;4;7.236338595;3.618169298;0.670732415;1.767070591;4;0;1;4.61E-13
PILRB;20;7.216858827;1.613738692;0.472194548;2.558965004;14;6;0.7;5.32E-13
CAPS;17;7.193384091;1.744651907;0.483997125;2.192225019;13;4;0.764705882;6.32E-13
PARP10;23;7.044293554;1.468836743;0.212861501;1.865226273;18;5;0.782608696;1.86E-12
ABHD11;16;7.03101443;1.757753607;0.363049641;2.08404266;11;5;0.6875;2.05E-12
SPINT1;20;6.92500203;1.548477528;0.189671055;2.265112068;15;5;0.75;4.36E-12
ADGRG1;19;6.832264936;1.567429074;0.297865901;1.428069138;15;4;0.789473684;8.36E-12
NEAT1;15;6.769382367;1.747847011;-0.3516302;2.556148673;10;5;0.666666667;1.29E-11
C20orf85;4;6.7553771;3.37768855;1.810582511;3.594573947;3;1;0.75;1.42E-11
WFDC2;23;6.73535592;1.404418793;0.13354779;3.50724091;14;9;0.608695652;1.64E-11
ITGA3;21;6.698315522;1.461692281;0.379525831;2.072000084;16;5;0.761904762;2.11E-11
INPPL1;22;6.647429597;1.417236752;0.31301067;2.359459423;15;7;0.681818182;2.98E-11
KRT8;23;6.627090101;1.381843809;0.062685171;4.374963494;13;10;0.565217391;3.42E-11
OBSL1;19;6.617862916;1.518241878;0.251717268;2.552413123;13;6;0.684210526;3.64E-11
MAPK15;9;6.617074512;2.205691504;0.400301025;3.335499261;6;3;0.666666667;3.66E-11
ITGB8;19;6.616011551;1.517817145;0.273205611;2.55658525;15;4;0.789473684;3.69E-11
INF2;22;6.582399939;1.403372382;0.24776384;2.298797213;15;7;0.681818182;4.63E-11
GAS6;21;6.532257445;1.425455438;-0.15383176;2.584409469;14;7;0.666666667;6.48E-11
UBA1;23;6.490437912;1.353349858;0.26923244;1.782638175;17;6;0.739130435;8.56E-11
MFGE8;23;6.441429322;1.343130861;0.4438808;2.526928259;16;7;0.695652174;1.18E-10
