"gene","n_samples","z_combined","mean_z","mean_logfc","sd_z","n_positive","n_negative","consistency","p_combined"
"IGFBP2",20,8.71949176053726,1.94973763058106,0.401135207843379,2.71613941026475,14,6,0.7,2.79453323339182e-18
"NBL1",21,7.2255160769914,1.57673687418731,0.601184111987563,2.97440499621032,14,7,0.666666666666667,4.99202407491222e-13
"MDK",22,7.10551015366854,1.5148998548342,0.489110615239011,2.45622363708501,15,7,0.681818181818182,1.19878891229941e-12
"RPL18",15,7.0574931613593,1.82223689866115,0.466980313730339,2.86414686162023,11,4,0.733333333333333,1.69533106196771e-12
"HSPG2",9,6.58891994687469,2.19630664895823,0.863538430663088,3.09512671464936,8,1,0.888888888888889,4.43037569938381e-11
"APOE",21,6.28970615939794,1.37252640830814,0.350025245953129,2.79847495447272,15,6,0.714285714285714,3.18067446887528e-10
"LRP1",22,6.21923947375699,1.32594631099208,0.576012580894102,2.26096411285942,17,5,0.772727272727273,4.99570356488934e-10
"LTBP3",22,6.08421427809894,1.29715884255173,0.673038155098342,2.17337864713007,16,6,0.727272727272727,1.1706395846968e-09
"ENG",7,6.02052335567779,2.2755439373685,0.350001318081973,3.74805892713116,5,2,0.714285714285714,1.73854016671574e-09
"AEBP1",21,5.79244519222551,1.26401516915507,0.310734023424104,3.81983923100034,15,6,0.714285714285714,6.93689671120479e-09
"RPS9",15,5.67774592011075,1.46598769283907,0.264398906651355,2.56700539688733,10,5,0.666666666666667,1.36481233680262e-08
"FOSB",13,5.63857675373062,1.56385981586269,0.82443888388326,3.06847286906863,9,4,0.692307692307692,1.7146139276051e-08
"SERPINE1",5,5.60748683833789,2.50774435069178,1.48509039266401,2.80560624218716,4,1,0.8,2.05285618531935e-08
"TMSB10",4,5.55693058997766,2.77846529498883,0.733433971983054,2.1144902607738,4,0,1,2.74559875969377e-08
"EMILIN1",18,5.19530740092854,1.22454569784841,0.460278265719979,3.02396615212124,13,5,0.722222222222222,2.04381835157633e-07
"IFITM2",4,5.19372581999886,2.59686290999943,0.945146873773482,2.48618760716786,3,1,0.75,2.06126644761889e-07
"FOS",21,5.18364670493116,1.13116444767883,0.913453530649974,2.96621612713924,16,5,0.761904761904762,2.17588926902873e-07
"MXRA8",14,5.09006469215708,1.36037701104048,0.494996585223411,2.20413426066876,10,4,0.714285714285714,3.57941377355983e-07
"PLD3",22,4.9222300432858,1.04942297129564,0.426223323197684,1.75658032272933,18,4,0.818181818181818,8.55635495718791e-07
"MAZ",20,4.90159892077355,1.09603083852893,0.855502428057551,1.21773070048612,18,2,0.9,9.50597619908779e-07
"CD81",22,4.790564403675,1.0213517626112,0.177518012711198,1.89102399039081,13,9,0.590909090909091,1.66312828997774e-06
"COL6A2",22,4.71534840491718,1.00531565779463,0.150387092779885,3.20132957835344,13,9,0.590909090909091,2.41297493943456e-06
"MYL9",9,4.58931166216046,1.52977055405349,0.421554837602925,3.84435904754303,4,5,0.555555555555556,4.44710033418516e-06
"EGR1",22,4.50113074370422,0.959644298968001,0.524003102647873,2.89075747102945,14,8,0.636363636363636,6.75929103640462e-06
"ARAP1",5,4.50094021453074,2.01288165647065,1.7400759539339,1.70836692802122,4,1,0.8,6.76535345657125e-06
"LGALS3BP",22,4.47955751372884,0.955044870883146,0.394535994960783,1.55710061310763,17,5,0.772727272727273,7.4797934564999e-06
"NUMA1",22,4.45663762901613,0.950158335043608,0.524460158799022,2.2894950477228,13,9,0.590909090909091,8.32551584250982e-06
"CLEC11A",11,4.39354765396975,1.3247044606149,0.572770501741436,2.49635574168947,8,3,0.727272727272727,1.11515730591286e-05
"RPS11",15,4.38189479108583,1.13140037004723,0.0907668761146366,2.73755327051779,7,8,0.533333333333333,1.17651622281309e-05
"CPXM1",13,4.33910997226606,1.20345257652942,0.513504306813304,2.12936274899425,9,4,0.692307692307692,1.43060923930164e-05
"JUNB",22,4.29899532386545,0.916548882657532,0.510114465810233,3.22112499891723,16,6,0.727272727272727,1.71574092096954e-05
"FCGRT",3,4.28470264697388,2.47377422662787,0.88237925765447,3.57243892206765,2,1,0.666666666666667,1.82983756267855e-05
"EFEMP2",16,4.2456334232154,1.06140835580385,0.580010042952251,2.20624435787589,12,4,0.75,2.17976752861081e-05
"INTS11",21,4.2378307127874,0.924770477321758,0.145541021573922,1.52486908351575,14,7,0.666666666666667,2.25689834642609e-05
"BST2",22,4.21033637681666,0.897646731635397,0.103347875266312,2.34850013350955,12,10,0.545454545454545,2.54990744598741e-05
"ELK1",13,4.20721668659971,1.16687196080946,0.189104191061274,2.57284201687229,8,5,0.615384615384615,2.58535217842477e-05
"SNRNP70",22,4.19935522941146,0.895305543142201,0.363501658706528,1.93730048869954,15,7,0.681818181818182,2.67676105507431e-05
"MXD4",20,4.19757551242159,0.938606418646319,-0.256061213841968,1.55926096528071,14,6,0.7,2.69787713703696e-05
"NME3",22,4.12359699965171,0.879153834287591,0.594336753031866,2.11389170383821,15,7,0.681818181818182,3.73001273996618e-05
"VWF",4,4.1212895354964,2.0606447677482,2.38312228177485,1.83847613653876,4,0,1,3.76757566647221e-05
"CST3",3,4.06300950153094,2.34577962942889,0.769334218552436,3.00465376490225,3,0,1,4.84440568609996e-05
"ENC1",14,4.0523100162985,1.08302540757009,-0.130074846089176,3.10445519910226,6,8,0.571428571428571,5.07144022234026e-05
"BIN1",10,4.02894269080151,1.27406354652203,1.00281893275224,1.65148797816302,7,3,0.7,5.60282735334476e-05
"TSHZ2",8,4.02325628098904,1.42243589936936,-3.12451704810404,2.12980165787788,6,2,0.75,5.73989782063725e-05
"PCNA",5,4.01696263374259,1.796440302425,1.55066890528631,1.11592004369209,5,0,1,5.89530674444445e-05
"P2RX4",3,4.01266915595162,2.31671561735758,1.72704826394161,0.935832869361794,3,0,1,6.0036028797581e-05
"OAF",15,4.00700724420863,1.0346048216635,0.441752293482622,1.64781992288558,11,4,0.733333333333333,6.14929777213013e-05
"EIF6",20,3.97852517792097,0.889625274802573,0.704888403760061,1.16615164881126,15,5,0.75,6.93440690543396e-05
"P4HB",22,3.94178993010893,0.840392436822555,0.00868846602938901,1.49672137821757,15,7,0.681818181818182,8.08757962391834e-05
"NR4A1",13,3.91582100121341,1.08605333887797,0.654868314851305,3.79695576763885,6,7,0.538461538461538,9.00970784445747e-05
"STMN3",4,3.87907571354061,1.93953785677031,1.94019709223928,1.67509179786743,4,0,1,0.000104854117690037
"FTL",5,3.8771655115583,1.73392112877242,0.26984388480417,4.87507915395966,3,2,0.6,0.000105680469483981
"TAGLN",9,3.86573333530215,1.28857777843405,0.582393786056103,3.46973076869171,6,3,0.666666666666667,0.000110755901449816
"PELI2",3,3.83990850129423,2.21697220688576,4.07391809860905,1.16878805593327,3,0,1,0.000123080173629919
"FLNA",9,3.83503525644727,1.27834508548242,0.429598494734247,4.0612157692082,6,3,0.666666666666667,0.00012554628435968
"RAPGEF3",4,3.83497430795505,1.91748715397752,1.31425451726254,3.5672493507854,3,1,0.75,0.000125577420281852
"LZTS2",19,3.82678957018999,0.877925737613349,1.57966074788338,1.37272484122576,12,7,0.631578947368421,0.000129825406562477
"FUS",22,3.82303211617959,0.815073185819994,0.448696403760033,1.65450752775927,15,7,0.681818181818182,0.000131820602118075
"CD63",9,3.78644959917477,1.26214986639159,0.447231511166147,1.57663549179797,8,1,0.888888888888889,0.000152815074025723
"RPL18A",15,3.77029245024482,0.973485324675316,0.201815946279712,1.7148629621295,10,5,0.666666666666667,0.000163056359404245
"AFAP1L2",4,3.76030243153351,1.88015121576675,1.69227543502082,1.03736671115847,4,0,1,0.000169708061515418
"PDLIM7",8,3.75936313657376,1.32913558340702,0.795700445942817,1.92188099663924,5,3,0.625,0.00017034643446833
"NENF",22,3.75019239256444,0.7995437045661,-0.174441384040494,1.59634371412852,16,6,0.727272727272727,0.000176698945757941
"AP2M1",21,3.72822444601989,0.813565272936711,0.175057923597706,1.5112155923814,15,6,0.714285714285714,0.000192833602566938
"SLC25A3",21,3.71041954884262,0.809679925838818,0.541913217092705,1.2993679105994,18,3,0.857142857142857,0.000206916046552893
"TGM2",8,3.7084076943396,1.31112011403595,0.771149410359574,3.01497899567477,6,2,0.75,0.000208566662146291
"PRPSAP1",5,3.70710912884105,1.65786960241972,4.22648981100803,1.04830113286945,5,0,1,0.000209638622196316
"IGFBP4",7,3.68095680225588,1.39127089793437,0.328066734239067,4.27673852209911,4,3,0.571428571428571,0.000232360372928132
"FIS1",22,3.66296117750135,0.780945947026078,0.780695903238038,0.962974358707419,18,4,0.818181818181818,0.000249316336544333
"AMPD2",4,3.65851752322014,1.82925876161007,1.64985847131214,1.12841659122529,4,0,1,0.000253678398660078
"DMAP1",14,3.65035805170048,0.975599226322487,0.779080977196761,1.65414098226134,11,3,0.785714285714286,0.000261875001904332
"EVA1B",11,3.6502380854147,1.10058819316235,0.207483466497458,2.25338837921511,8,3,0.727272727272727,0.000261997345897172
"NPDC1",3,3.62138392624932,2.09080698465903,0.53876841615662,2.08133076896495,2,1,0.666666666666667,0.000293031274198311
"RARRES2",22,3.61142871160489,0.769959188381382,0.386672632845051,2.79222571399221,15,7,0.681818181818182,0.000304514794259404
"NKD2",3,3.60106643185586,2.07907667380171,0.67659295032769,1.03139400227078,3,0,1,0.00031691457918388
"SSNA1",18,3.60083275536167,0.848724419744959,0.50148481080371,1.88271075875165,11,7,0.611111111111111,0.000317199577314516
"MEG3",10,3.59002270811113,1.1352648609357,0.311703724345717,2.18849141814522,7,3,0.7,0.000330649155104746
"LAMB2",22,3.58869148051905,0.765111594425937,0.391982833785807,1.99910013955411,15,7,0.681818181818182,0.000332341853851207
"RPL28",15,3.58229781668976,0.924945319012974,0.200735958345393,2.07152554047601,10,5,0.666666666666667,0.000340585194297395
"SH3D19",4,3.57268362670789,1.78634181335395,0.736206475890424,0.659400124215509,4,0,1,0.000353341549109409
"CCDC85B",9,3.57072266944867,1.19024088981622,0.431705986531925,1.7915915245179,8,1,0.888888888888889,0.000355997670334816
"PTPA",22,3.56473465529551,0.760003982126672,0.439393615042824,1.55288222411352,15,7,0.681818181818182,0.000364224472451986
"TMEM8B",8,3.56381942616418,1.26000044158252,0.720781572405603,1.52949302494306,7,1,0.875,0.0003654974365226
"MRC2",19,3.55808030303319,0.81627960389075,0.29640066784097,1.96044519050093,11,8,0.578947368421053,0.000373575114250347
"GDI2",22,3.53818590428881,0.754343769393697,0.571522370500805,1.05374611691883,16,6,0.727272727272727,0.000402886293752182
"SSBP4",5,3.51066893761056,1.57001887819883,1.94119704681298,1.48262196696926,4,1,0.8,0.000446980689382106
"SERPING1",22,3.50076145915906,0.746364850882823,0.46528570725875,2.00109259084223,14,8,0.636363636363636,0.000463930903161025
"LMAN2",22,3.49467234054347,0.745066646432007,0.821432284033904,1.19551107327911,16,6,0.727272727272727,0.000474644062928253
"NFATC4",10,3.48911476178886,1.10335496649686,0.630603799046362,1.65035565692838,7,3,0.7,0.000484623039955105
"GGH",3,3.47410289034353,2.00577423893229,1.55965756890564,0.313379680898053,3,0,1,0.000512564445598912
"RNASE1",3,3.46992404776504,2.0033615830447,0.593871589502513,3.37899030956352,2,1,0.666666666666667,0.0005206055586954
"C4orf48",17,3.4659108667669,0.840606858391529,0.975915712056928,1.20781104399605,12,5,0.705882352941177,0.000528438434899274
"FAU",15,3.44388157563866,0.889206399250605,0.232402579925888,2.09415579423112,10,5,0.666666666666667,0.000573426807988459
"LAMB1",9,3.44124242436669,1.14708080812223,0.446733352720711,1.18532894767645,7,2,0.777777777777778,0.00057904948502299
"ABLIM1",20,3.43096935506452,0.767188070664288,0.107030152224827,2.06086023374784,13,7,0.65,0.000601428539298104
"HM13",20,3.41264810187499,0.763091313907811,0.74860155384445,1.51288200335216,13,7,0.65,0.00064334958435131
"RAB34",19,3.41138135342461,0.782624556708257,0.558596568164337,1.25453221969446,14,5,0.736842105263158,0.000646346236541909
"GAS6",21,3.41037061032236,0.74420387950738,0.197821412078243,2.68302993195377,13,8,0.619047619047619,0.000648746582082545
"SCARB1",5,3.39810724239897,1.51967975776769,1.74473850980382,1.85868997366164,4,1,0.8,0.000678538154374946
"ZNF358",21,3.39734564212162,0.741361598426222,0.704116369973448,1.44627630586674,16,5,0.761904761904762,0.000680429631859668
"MGAT1",4,3.39466145538211,1.69733072769106,0.739088920756636,2.37531233377468,3,1,0.75,0.000687135110022228
"RABAC1",22,3.39361776878719,0.723521739342557,0.592594316919916,1.35824826478692,17,5,0.772727272727273,0.000689758931406148
"EML3",5,3.38247129466631,1.51268714936312,1.50781957618159,1.42947745394282,5,0,1,0.000718367850443327
"PALM",4,3.37834244369807,1.68917122184904,1.07075630499737,0.970485065102673,4,0,1,0.000729242074078428
"NNMT",7,3.37142384410546,1.27427843652806,1.03253875329917,1.60057507122587,5,2,0.714285714285714,0.000747807107891231
"MAGED1",22,3.35762049398435,0.715847094567743,0.284496075505412,1.34907233047581,17,5,0.772727272727273,0.000786164699545874
"MBD3",10,3.34318639199845,1.05720836411956,1.19772851678549,1.37910036479404,7,3,0.7,0.000828222491584237
"RPS10",15,3.33771936541487,0.861795434437719,0.379024299599143,1.52938273440185,13,2,0.866666666666667,0.000844690156273447
"USP3",3,3.33675080196529,1.92647397373336,2.22900219027216,0.999868422193534,3,0,1,0.000847639120607881
"ADGRL2",8,3.3354078918793,1.17924476918549,1.73196898531591,1.32934605457635,6,2,0.75,0.000851743649402598
"COL1A1",22,3.33351074964066,0.710706879802516,0.0914205287019156,3.4324024185318,12,10,0.545454545454545,0.000857573577294602
"TSPO",4,3.31768747167464,1.65884373583732,1.02986705047648,1.56016143582673,3,1,0.75,0.000907659815828639
"IFITM3",22,3.28511307486168,0.700388460869692,0.119952346653975,2.31541565295951,14,8,0.636363636363636,0.00101941451173979
"LETM1",7,3.28495128556545,1.24159488150973,4.13323385101832,0.932341329463834,6,1,0.857142857142857,0.00102000005529649
"OAZ1",5,3.28413885078362,1.46871154358004,0.530920085405894,1.36407459062769,5,0,1,0.00102294510709797
"GPX4",21,3.27913662576621,0.715566276270274,0.360818882434836,1.72547019658432,14,7,0.666666666666667,0.00104125211269045
"DUSP1",3,3.26953984709005,1.88766971084365,1.32107728343664,0.86944443920438,3,0,1,0.00107722563854223
"ISLR",17,3.26862595844099,0.792758239840468,0.0829780073042319,3.39856333964755,9,8,0.529411764705882,0.00108071063214218
"FBXW5",18,3.26140291323141,0.768720038709164,0.31503705172372,1.79718470704444,10,8,0.555555555555556,0.00110862389455898
"MRPL54",11,3.23962732928764,0.976784391984387,1.74783881560983,1.06102366877948,9,2,0.818181818181818,0.00119686015308501
"COL15A1",3,3.22569885444959,1.86235810194114,1.06366324923744,2.56255459602819,3,0,1,0.00125665504723415
"CKAP5",11,3.21704008387656,0.969974081250182,0.983924046306762,1.05489577721334,9,2,0.818181818181818,0.00129520501784844
"ZBTB44",12,3.20361659488489,0.924804451718571,1.02512654532948,1.08588553621318,8,4,0.666666666666667,0.00135713075342849
"B4GALNT4",4,3.2007902929486,1.6003951464743,1.03965268771939,0.127615170501895,4,0,1,0.00137051238086221
"KIF1C",5,3.19935993895589,1.43079726159899,0.682236757344657,0.944403016251846,5,0,1,0.00137733092719313
"KRI1",7,3.19303464473416,1.20685365679715,1.8920215040608,1.28896993943094,6,1,0.857142857142857,0.00140786054462912
"BOC",11,3.19132177485692,0.962219719317405,1.14562199790213,1.64779708102909,9,2,0.818181818181818,0.00141623456786853
"PYGB",15,3.19008967824103,0.823677613115712,0.0903587095362156,1.21418803420635,9,6,0.6,0.00142228651629614
"LRP3",10,3.18691858612157,1.00779214496676,0.71799779108044,1.90386472735679,7,3,0.7,0.00143797245225865
"RPS5",15,3.18171924439985,0.821516376391219,0.348467788887105,1.68856104592928,11,4,0.733333333333333,0.00146403665342122
"SULF2",16,3.17565730014293,0.793914325035733,0.247326028124693,2.15836718457135,13,3,0.8125,0.00149497445792264
