"gene","n_samples","z_combined","mean_z","mean_logfc","sd_z","n_positive","n_negative","consistency","p_combined"
"ENO1",17,5.43444722049888,1.31804705335066,1.01066186113023,1.80271586154757,13,4,0.764705882352941,5.49665633985313e-08
"CD14",18,5.41185882607643,1.27558735824764,0.419398156657052,1.71051079513119,15,3,0.833333333333333,6.23738561125341e-08
"CEBPD",18,4.86220315912368,1.14603227510767,0.739241719966086,1.70563446223276,12,6,0.666666666666667,1.16086386570736e-06
"NUPR1",18,4.71601788319029,1.11157607513363,0.542340807657598,2.80080268837436,12,6,0.666666666666667,2.40505305368182e-06
"PLIN2",10,4.69830180116819,1.4857334826563,0.436610584491615,2.17471026225841,6,4,0.6,2.62333592498335e-06
"MICAL1",3,4.68524867681049,2.70502958477688,1.18291467563612,1.20666562487853,3,0,1,2.79620222251627e-06
"STAB1",13,4.61442549823354,1.27981136466842,0.870496244359553,1.85741209186492,10,3,0.769230769230769,3.94184137244854e-06
"BNIP3L",15,4.38119572694784,1.13121987246294,1.18489630654343,1.26770884513989,12,3,0.8,1.18029784198503e-05
"IL1RN",3,4.06832700258329,2.34884969009289,0.858947582030649,2.14173757202565,2,1,0.666666666666667,4.73518978067889e-05
"RGS1",5,4.02734908506812,1.80108526466678,0.600924394446127,1.13304080408037,5,0,1,5.64092510549965e-05
"S100A10",18,3.90634581983316,0.92073453962125,0.638394703178781,1.8596508591195,12,6,0.666666666666667,9.37023841871486e-05
"MARCO",3,3.87167817211492,2.23531443488615,0.538822584239893,0.8721311084068,3,0,1,0.000108088604799526
"IL4I1",10,3.831596328536,1.21165714725126,0.637568537000424,1.64817604151454,8,2,0.8,0.000127314508020055
"ANXA1",18,3.82378890494078,0.901275688169836,1.0208679713963,1.26393275828764,13,5,0.722222222222222,0.000131416440657752
"LGALS1",18,3.82336200616551,0.901175067163545,0.727425200039573,1.63115112088861,11,7,0.611111111111111,0.000131644281271609
"TAGLN2",18,3.74829526740463,0.883481667157086,0.65371396480006,1.36174203930283,13,5,0.722222222222222,0.000178040583284406
"EMP3",13,3.66093305448639,1.01536014184551,0.639839075969332,1.66739544752083,9,4,0.692307692307692,0.000251298419828329
"CST3",18,3.59062267862677,0.846317881579731,0.284471590403884,1.89242020467855,11,7,0.611111111111111,0.000329888913642105
"CXCL8",3,3.56878235421157,2.06043745288324,1.02569852370201,1.68494736756367,3,0,1,0.000358644201329499
"FCGR2B",7,3.55782789857249,1.34473254674148,0.224554457049911,1.84690274930094,6,1,0.857142857142857,0.000373934170144076
"ETFRF1",3,3.53339689117447,2.04000764627337,2.63561936098312,2.53331669891731,3,0,1,0.000410256081256078
"PSMC3",16,3.47986612314246,0.869966530785615,1.78798668874124,1.28573368195515,10,6,0.625,0.00050166439740694
"KIAA0232",5,3.47909148569471,1.55589701239082,1.71983160199552,1.48566549602535,4,1,0.8,0.000503116797842421
"WARS",18,3.40253260360948,0.801984625740193,0.846227813520377,1.45393475072486,12,6,0.666666666666667,0.000667643887673034
"MGAT1",18,3.3448428919756,0.788387030306522,0.853148390816169,1.11249205981802,14,4,0.777777777777778,0.000823291919333232
"VSIG4",4,3.33752498548778,1.66876249274389,0.351409789006728,1.42070211348961,4,0,1,0.000845281216359261
"GTPBP1",6,3.31842070427868,1.35473957956166,2.25114830673399,0.998028785433538,6,0,1,0.000905280220628274
"CANT1",4,3.24886601397617,1.62443300698808,2.59293348896026,1.23009830985043,4,0,1,0.00115866039840408
"CYBA",18,3.23829105597574,0.763272521712063,0.380790775864891,1.22336148930561,12,6,0.666666666666667,0.00120248065481473
"DNAJB1",17,3.20483029349219,0.777285518367504,1.10711715341785,1.21682267648697,12,5,0.705882352941177,0.00135142135906196
"ANXA5",17,3.15096475430526,0.764221206152882,0.509481377638204,1.81583003664321,13,4,0.764705882352941,0.00162732126491663
"DIP2A",3,3.14005507356685,1.81291164199407,1.759289547362,1.35569094545575,3,0,1,0.00168916076133509
"RNH1",18,3.13988971856872,0.740079104059287,1.14326404103613,1.09108746540673,15,3,0.833333333333333,0.001690114457637
"TMEM222",4,3.13317985277836,1.56658992638918,3.42937947083784,0.789212822950326,4,0,1,0.0017292344724531
"ACAT1",3,3.09761153387447,1.78840685292732,3.50375984605559,0.95223478550729,3,0,1,0.00195086970068087
"COX8A",16,3.04446327499341,0.761115818748353,0.0356429951882703,1.29800526134634,11,5,0.6875,0.0023309588754472
"INO80E",9,3.02959608867746,1.00986536289249,2.37930027104945,0.995652543822667,8,1,0.888888888888889,0.00244880992561899
"C4orf3",17,2.97467515253699,0.721464697400608,1.77751004533815,1.26987590002411,14,3,0.823529411764706,0.00293298961350008
"SPG7",11,2.96847762855923,0.895029681135904,2.22941125083011,1.49024152596434,8,3,0.727272727272727,0.00299278886769195
"RNASEH2C",9,2.96475290024379,0.988250966747931,2.29401177458358,1.11877625969047,7,2,0.777777777777778,0.00302926139446206
"SACM1L",3,2.95545313894059,1.70633166534467,2.36076910074767,1.9235149634895,2,1,0.666666666666667,0.00312210121866806
"TUBB4B",10,2.95029114890756,0.932963979118287,1.34199700196287,1.88542854320952,7,3,0.7,0.00317474603182335
"ACADVL",17,2.92750484814083,0.710024218140731,0.955698329174885,1.09523246842732,12,5,0.705882352941177,0.00341693733590203
"PPP1R10",8,2.91925615405387,1.03211291127602,1.4826103822642,0.765001776626072,7,1,0.875,0.00350867778991286
"NUDT3",9,2.90535511555823,0.968451705186077,2.31157648584624,1.0046690149414,8,1,0.888888888888889,0.00366836638808433
"AUP1",17,2.9041824723432,0.70436771114932,1.02693296401491,1.57975500582298,10,7,0.588235294117647,0.00368213489447127
"ADM",3,2.88878009591161,1.6678379660042,0.97442032865762,2.58145662501846,2,1,0.666666666666667,0.00386739426852755
"VPS29",18,2.88154513606599,0.679186702002458,2.33037335622362,1.18316179163145,12,6,0.666666666666667,0.00395730551649982
"DEGS1",13,2.83697587956203,0.786835538539649,0.605382297942284,1.62750662705467,8,5,0.615384615384615,0.00455430524542695
"RGL2",5,2.81638406654353,1.25952524470773,2.73561772804214,0.896641452351767,4,1,0.8,0.0048567568121699
"NEAT1",12,2.81565131491518,0.812808522305201,0.750991271647926,1.09847600918621,9,3,0.75,0.00486784674547059
"PKN2",3,2.80244267991629,1.61799103563817,2.12642428169986,1.4248042735317,2,1,0.666666666666667,0.00507172281014198
"RRP36",4,2.78459080266811,1.39229540133405,2.7492652032778,1.39066043569438,3,1,0.75,0.00535953122910545
"CSTB",18,2.77275718595189,0.653545136256771,0.277185514385172,2.96581424389487,11,7,0.611111111111111,0.00555835779438144
"FKBP1A",5,2.76500911017527,1.23654966575162,1.19395339416317,1.61995643680412,4,1,0.8,0.00569212060799756
