review_role,selected_k,analysis_tier,feature_method,sample,dataset,relationship,stratum,variant,variant_label,spearman_rho,spearman_pvalue,n_spots
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_score,all,snai1ac_em_smooth_corrected,Smoothed corrected,0.013904266115414994,0.4828769238370988,2549
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.003253524845976656,0.8695874006403269,2549
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.22326089421195588,3.697217222772655e-30,2549
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_smooth_corrected,Smoothed corrected,0.06061047979907645,0.03304496422351967,1237
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.003534191163805065,0.9011760846927249,1237
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.15556739666698066,3.8098942483595016e-08,1237
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_smooth_corrected,Smoothed corrected,-0.0025148573275074813,0.9488577174439243,653
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.026913248584212984,0.49236999096008716,653
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.19334685007527064,6.41308745997696e-07,653
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_smooth_corrected,Smoothed corrected,-0.15837333815250063,4.432752812206374e-05,659
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.08207588427457344,0.03515880066960063,659
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.4375404675759322,3.4073408579681766e-32,659
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_total_counts,all,,,-0.003868099765947185,0.8452394322217427,2549
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_n_genes_by_counts,all,,,-0.04281241372950872,0.030662312917184947,2549
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_n_genes,all,,,-0.04281241372950872,0.030662312917184947,2549
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_n_counts,all,,,-0.003868099765947185,0.8452394322217427,2549
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,isodepth_vs_Malignant,all,,,0.11613408689384652,4.0936408143017516e-09,2549
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_smooth_corrected__vs__snai1ac_em_unsmoothed_corrected,Smoothed corrected vs Unsmoothed corrected,0.1954160408165439,2.341097189152065e-23,2549
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_smooth_corrected__vs__snai1ac_em_unsmoothed_uncorrected,Smoothed corrected vs Unsmoothed uncorrected,0.17716547767926016,2.0297791467118944e-19,2549
best_reference_sample,4,primary_glmpca,glmpca,SP1,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_unsmoothed_corrected__vs__snai1ac_em_unsmoothed_uncorrected,Unsmoothed corrected vs Unsmoothed uncorrected,0.8918789772580562,0.0,2549
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,all,snai1ac_em_smooth_corrected,Smoothed corrected,-0.17041475690598584,5.107554505320242e-14,1926
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.08806330442130607,0.00010893528510206428,1926
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.02382456799721844,0.2960046295469148,1926
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_smooth_corrected,Smoothed corrected,-0.239827114608209,1.9754926566206332e-14,991
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.13571150619505165,1.813686936238042e-05,991
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.18600006362245547,3.646621893553824e-09,991
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_smooth_corrected,Smoothed corrected,-0.3875203298559187,8.894439000846141e-15,372
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.17725489775571446,0.0005936523727729597,372
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.2273491546253234,9.497113687790428e-06,372
