dataset,sample,layer,feature_method,analysis_tier,status,elapsed_sec,n_spots,n_domains,n_genes_total,n_genes_kept,n_continuous_events,n_continuous_genes,n_discontinuous_events,n_discontinuous_genes,n_identity_classes,n_ora_rows,warnings,error,n_snai1ac_signature_genes_passing_filter,n_snai1ac_signature_genes_classified
denisenko_2022,SP1,whole,glmpca,primary_glmpca,ok,115.29408311843872,2549,4,19935,3018,2416,1545,453,327,14,2688,"original_domain_labels_reordered_by_isodepth={3: 0, 2: 1, 1: 2, 0: 3}",,7,7
denisenko_2022,SP2,whole,glmpca,primary_glmpca,ok,104.50093126296996,1926,4,18828,2390,1750,1183,360,290,14,2478,"original_domain_labels_reordered_by_isodepth={3: 0, 2: 1, 1: 2, 0: 3}",,9,7
denisenko_2022,SP3,whole,pearson,supplementary_pearson,ok,76.24072098731995,1492,5,19178,1937,1940,1090,388,324,18,2970,"original_domain_labels_reordered_by_isodepth={4: 0, 3: 1, 2: 2, 1: 3, 0: 4}",,11,11
denisenko_2022,SP4,whole,glmpca,primary_glmpca,ok,239.2812910079956,2844,4,19215,3249,2600,1678,489,416,14,2744,,,14,12
denisenko_2022,SP5,whole,glmpca,primary_glmpca,ok,126.1674575805664,1988,5,18226,2873,2875,1629,576,454,18,3510,"original_domain_labels_reordered_by_isodepth={4: 0, 3: 1, 2: 2, 1: 3, 0: 4}",,5,5
denisenko_2022,SP6,whole,glmpca,primary_glmpca,ok,102.78482699394226,1758,4,19527,2126,1700,1023,321,271,14,2338,"original_domain_labels_reordered_by_isodepth={3: 0, 2: 1, 1: 2, 0: 3}",,10,10
denisenko_2022,SP7,whole,pearson,supplementary_pearson,ok,125.27016758918762,3422,4,19028,3706,2964,2016,558,474,14,2912,"original_domain_labels_reordered_by_isodepth={3: 0, 2: 1, 1: 2, 0: 3}",,16,16
denisenko_2022,SP8,whole,glmpca,primary_glmpca,ok,113.38311624526978,3033,4,20285,3584,2868,1873,540,420,14,2574,"original_domain_labels_reordered_by_isodepth={3: 0, 2: 1, 1: 2, 0: 3}",,13,12
ju_2024,CPS_OV19_LtOV1,whole,glmpca,primary_glmpca,ok,216.5675699710846,4202,4,21509,6826,5460,3467,1026,872,14,3178,,,16,14
ju_2024,CPS_OV1RtOV3,whole,glmpca,primary_glmpca,ok,85.8759880065918,3164,3,19533,2448,1470,1042,246,216,10,1770,,,10,7
ju_2024,CPS_OV20RtOV4,whole,pearson,supplementary_pearson,ok,142.06646490097046,3035,4,20307,4590,3672,2359,690,575,14,3080,"original_domain_labels_reordered_by_isodepth={3: 0, 2: 1, 1: 2, 0: 3}",,15,10
ju_2024,CPS_OV24RTOV4,whole,glmpca,primary_glmpca,ok,196.9211962223053,4479,5,21578,5851,5850,3588,1172,934,18,4032,,,19,17
ju_2024,CPS_OV34RtOV1,whole,glmpca,primary_glmpca,ok,137.58302330970764,3515,4,20876,4031,3224,2040,606,455,14,2828,"original_domain_labels_reordered_by_isodepth={3: 0, 2: 1, 1: 2, 0: 3}",,11,10
ju_2024,CPS_OV5LtOV4,whole,glmpca,primary_glmpca,ok,126.12234330177309,3585,4,20335,4529,3624,2239,681,568,14,2968,"original_domain_labels_reordered_by_isodepth={3: 0, 2: 1, 1: 2, 0: 3}; package_pwlinear_plot_failed=KIAA1324:IndexError:list index out of range; package_pwlinear_plot_failed=MMP11:IndexError:list index out of range; package_pwlinear_plot_failed=MMP11:IndexError:list index out of range; package_pwlinear_plot_failed=ORM1:IndexError:list index out of range; package_pwlinear_plot_failed=IGHA1:IndexError:list index out of range; package_pwlinear_plot_failed=KIAA1324:IndexError:list index out of range; package_pwlinear_plot_failed=IGKC:IndexError:list index out of range; package_pwlinear_plot_failed=IGLC3:IndexError:list index out of range",,14,12
ju_2024,CPS_OV71_1,whole,glmpca,primary_glmpca,ok,133.36818861961365,2160,4,18438,2222,1780,1148,336,289,14,2576,,,6,5
yamamoto_2025,Pt1-1,whole,glmpca,primary_glmpca,ok,170.42700695991516,1525,3,16686,7066,4239,2335,708,622,10,2230,,,18,14
yamamoto_2025,Pt1-2,whole,glmpca,primary_glmpca,ok,206.8098132610321,1131,4,16684,7381,5904,4004,1107,890,14,2938,,,17,15
yamamoto_2025,Pt1-3,whole,glmpca,primary_glmpca,ok,227.90547800064087,2002,4,16569,8381,6704,4140,1257,1070,14,3206,"original_domain_labels_reordered_by_isodepth={3: 0, 2: 1, 1: 2, 0: 3}; package_pwlinear_plot_failed=IL1RN:IndexError:list index out of range; package_pwlinear_plot_failed=MMP11:IndexError:list index out of range; package_pwlinear_plot_failed=IGLC1:IndexError:list index out of range; package_pwlinear_plot_failed=TTYH1:IndexError:list index out of range; package_pwlinear_plot_failed=TRDC:IndexError:list index out of range; package_pwlinear_plot_failed=MMP9:IndexError:list index out of range; package_pwlinear_plot_failed=SFRP4:IndexError:list index out of range; package_pwlinear_plot_failed=CRABP1:IndexError:list index out of range",,18,15
yamamoto_2025,Pt1-4,whole,glmpca,primary_glmpca,ok,361.6408839225769,1387,8,16070,7697,11705,5524,2695,1777,30,6750,package_pwlinear_plot_failed=ENKUR:IndexError:list index out of range; package_pwlinear_plot_failed=AURKA:IndexError:list index out of range; package_pwlinear_plot_failed=IGKC:IndexError:list index out of range; package_pwlinear_plot_failed=IGLC1:IndexError:list index out of range; package_pwlinear_plot_failed=EPS8L1:IndexError:list index out of range; package_pwlinear_plot_failed=ENKUR:IndexError:list index out of range; package_pwlinear_plot_failed=IGLC1:IndexError:list index out of range; package_pwlinear_plot_failed=TEX10:IndexError:list index out of range,,17,17
yamamoto_2025,Pt2-1,whole,pearson,supplementary_pearson,ok,266.0060098171234,1833,5,17706,8723,8725,5284,1748,1350,18,4140,,,22,17
