source_stem,dataset,sample,layer,feature_method,analysis_tier,class_type,class_id,direction,n_genes,top_genes,top_effect_values,n_robust_core_genes,robust_core_genes,n_snai1ac_signature_genes,snai1ac_signature_genes,gradient_segment,original_domain_label,domain,top_hallmark_terms,top_hallmark_q_values,top_kegg_legacy_terms,top_kegg_legacy_q_values,boundary,gradient_segment_left,gradient_segment_right,original_domain_left,original_domain_right,domain_left,domain_right
denisenko_2022__SP1__whole__glmpca,denisenko_2022,SP1,whole,glmpca,primary_glmpca,boundary_discontinuity,discontinuous_boundary_0_negative,negative,108,IGLC2;IGHG1;HBA2;ADIRF;HBB;IGHG3;IGKC;TAGLN;KLHDC8A;RARRES2;TNXB;HTRA3,-3.161;-3.101;-2.861;-2.795;-2.74;-2.714;-2.523;-2.517;-2.406;-2.372;-2.342;-2.317,1,,1,TNXB,,,,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_WNT_BETA_CATENIN_SIGNALING;HALLMARK_KRAS_SIGNALING_UP;HALLMARK_ESTROGEN_RESPONSE_LATE;HALLMARK_NOTCH_SIGNALING,0.000264;0.0195;0.0239;0.0658;0.106,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES;KEGG_FOCAL_ADHESION;KEGG_MAPK_SIGNALING_PATHWAY;KEGG_NOTCH_SIGNALING_PATHWAY;KEGG_PRION_DISEASES,0.0442;0.132;0.141;0.279;0.279,0.0,0.0,1.0,3.0,2.0,0.0,1.0
denisenko_2022__SP1__whole__glmpca,denisenko_2022,SP1,whole,glmpca,primary_glmpca,boundary_discontinuity,discontinuous_boundary_0_positive,positive,43,LTF;IGHA1;LCN2;GPX3;SLURP1;PCP4;CLU;SPP1;CRYAB;LMO3;CHI3L1;S100A2,2.944;2.478;2.467;2.179;2.124;2.074;1.948;1.906;1.894;1.838;1.662;1.55,0,,0,,,,,HALLMARK_COMPLEMENT;HALLMARK_KRAS_SIGNALING_UP;HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_MYOGENESIS;HALLMARK_HYPOXIA,0.0287;0.0287;0.124;0.186;0.235,KEGG_LYSOSOME;KEGG_ECM_RECEPTOR_INTERACTION;KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION;KEGG_CELL_ADHESION_MOLECULES_CAMS;KEGG_ARACHIDONIC_ACID_METABOLISM,0.0136;0.21;0.655;0.682;0.757,0.0,0.0,1.0,3.0,2.0,0.0,1.0
denisenko_2022__SP1__whole__glmpca,denisenko_2022,SP1,whole,glmpca,primary_glmpca,boundary_discontinuity,discontinuous_boundary_1_negative,negative,90,HBB;LYZ;HBA2;MALAT1;HLA-DPB1;KLHDC8A;HLA-DPA1;HLA-DRA;PLAU;SCGB1D2;THBS2;TYROBP,-2.207;-1.357;-1.151;-0.9121;-0.9106;-0.7084;-0.684;-0.6788;-0.6048;-0.5745;-0.5736;-0.5482,2,HLA-DRA,0,,,,,HALLMARK_KRAS_SIGNALING_UP;HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_MYOGENESIS;HALLMARK_COAGULATION;HALLMARK_ALLOGRAFT_REJECTION,0.000195;0.000222;0.0535;0.156;0.239,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS;KEGG_ASTHMA;KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION;KEGG_CELL_ADHESION_MOLECULES_CAMS;KEGG_LEISHMANIA_INFECTION,1.15e-07;3.55e-06;4.95e-05;8.09e-05;0.000119,1.0,1.0,2.0,2.0,1.0,1.0,2.0
denisenko_2022__SP1__whole__glmpca,denisenko_2022,SP1,whole,glmpca,primary_glmpca,boundary_discontinuity,discontinuous_boundary_1_positive,positive,61,IGLC2;FGFR3;DLK1;AC100803.3;LRRC75A;EFHD1;IFIT3;MT2A;COMMD3;COL4A5;RFLNA;MT1H,0.6154;0.5787;0.5041;0.4815;0.4567;0.4476;0.4296;0.4259;0.4213;0.42;0.4157;0.4111,1,,0,,,,,HALLMARK_KRAS_SIGNALING_DN;HALLMARK_INTERFERON_ALPHA_RESPONSE;HALLMARK_INTERFERON_GAMMA_RESPONSE;HALLMARK_UV_RESPONSE_DN;HALLMARK_XENOBIOTIC_METABOLISM,0.12;0.123;0.138;1;1,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM;KEGG_HOMOLOGOUS_RECOMBINATION;KEGG_SPHINGOLIPID_METABOLISM;KEGG_SMALL_CELL_LUNG_CANCER;KEGG_MISMATCH_REPAIR,0.875;0.875;0.875;0.939;0.966,1.0,1.0,2.0,2.0,1.0,1.0,2.0
denisenko_2022__SP1__whole__glmpca,denisenko_2022,SP1,whole,glmpca,primary_glmpca,boundary_discontinuity,discontinuous_boundary_2_negative,negative,143,IGHG1;IGLC2;IGHG3;IGKC;IGHG4;IGHA1;AEBP1;EGFL7;GYPC;RARRES2;TNXB;ENG,-4.09;-3.776;-3.651;-3.464;-3.198;-2.752;-2.06;-2.013;-1.855;-1.767;-1.754;-1.745,0,,3,TNXB,,,,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_COAGULATION;HALLMARK_MYOGENESIS;HALLMARK_ESTROGEN_RESPONSE_EARLY;HALLMARK_KRAS_SIGNALING_UP,6.2e-13;0.000203;0.000218;0.00881;0.0184,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES;KEGG_ECM_RECEPTOR_INTERACTION;KEGG_FOCAL_ADHESION;KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS;KEGG_PRION_DISEASES,0.000182;0.000894;0.00233;0.0342;0.124,2.0,2.0,3.0,1.0,0.0,2.0,3.0
denisenko_2022__SP1__whole__glmpca,denisenko_2022,SP1,whole,glmpca,primary_glmpca,boundary_discontinuity,discontinuous_boundary_2_positive,positive,8,H2AFX;CDK2;DHFR;GPM6B;SIX3;HMGB2;DOK5;PTTG1,0.9625;0.9582;0.8077;0.7718;0.7508;0.717;0.7119;0.7024,0,,0,,,,,HALLMARK_APOPTOSIS;HALLMARK_E2F_TARGETS;HALLMARK_PI3K_AKT_MTOR_SIGNALING;HALLMARK_UV_RESPONSE_UP;HALLMARK_G2M_CHECKPOINT,0.213;0.239;0.894;1;1,KEGG_OOCYTE_MEIOSIS;KEGG_CELL_CYCLE;KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION;KEGG_P53_SIGNALING_PATHWAY;KEGG_SMALL_CELL_LUNG_CANCER,0.0679;0.104;0.627;0.647;0.766,2.0,2.0,3.0,1.0,0.0,2.0,3.0
denisenko_2022__SP1__whole__glmpca,denisenko_2022,SP1,whole,glmpca,primary_glmpca,continuous_slope,continuous_segment_0_negative,negative,63,WISP2;TNXB;ISLR;RARRES2;COL16A1;PTGDS;C3;IGFBP4;DCN;VAT1;WFS1;LRP3,-0.311;-0.269;-0.2318;-0.2104;-0.1999;-0.1999;-0.1958;-0.1908;-0.1893;-0.1858;-0.1815;-0.1801,0,,1,TNXB,0.0,3.0,0.0,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_COAGULATION;HALLMARK_COMPLEMENT;HALLMARK_KRAS_SIGNALING_UP;HALLMARK_XENOBIOTIC_METABOLISM,0.000281;0.00104;0.00456;0.0156;0.0494,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES;KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS;KEGG_ECM_RECEPTOR_INTERACTION;KEGG_PRION_DISEASES;KEGG_LEISHMANIA_INFECTION,3.43e-05;0.0152;0.442;0.541;0.757,,,,,,,
denisenko_2022__SP1__whole__glmpca,denisenko_2022,SP1,whole,glmpca,primary_glmpca,continuous_slope,continuous_segment_0_positive,positive,541,SLC34A2;EGFL6;HBA2;SCGB2A1;CTSV;CLDN7;FAM107A;AHNAK2;TBC1D24;PSAT1;GPM6B;TAF8,0.3564;0.3488;0.3255;0.3239;0.3158;0.308;0.3001;0.3;0.2946;0.2939;0.2918;0.2885,9,AHNAK2,3,,0.0,3.0,0.0,HALLMARK_ESTROGEN_RESPONSE_LATE;HALLMARK_KRAS_SIGNALING_UP;HALLMARK_KRAS_SIGNALING_DN;HALLMARK_CHOLESTEROL_HOMEOSTASIS;HALLMARK_ESTROGEN_RESPONSE_EARLY,0.016;0.138;0.156;0.282;0.372,KEGG_P53_SIGNALING_PATHWAY;KEGG_CELL_CYCLE;KEGG_CELL_ADHESION_MOLECULES_CAMS;KEGG_SMALL_CELL_LUNG_CANCER;KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.0129;0.0525;0.134;0.134;0.335,,,,,,,
denisenko_2022__SP1__whole__glmpca,denisenko_2022,SP1,whole,glmpca,primary_glmpca,continuous_slope,continuous_segment_1_negative,negative,197,LTF;GPX3;LCN2;CLU;SPP1;SOD3;MFAP4;IGHA1;SLURP1;CRYAB;LMO3;RARRES3,-6.553;-5.25;-5.191;-4.593;-4.457;-4.403;-4.352;-4.27;-4.239;-4.122;-3.792;-3.791,2,,0,,1.0,2.0,1.0,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_KRAS_SIGNALING_UP;HALLMARK_COAGULATION;HALLMARK_COMPLEMENT;HALLMARK_HYPOXIA,3.85e-06;0.000195;0.000575;0.0203;0.0785,KEGG_LYSOSOME;KEGG_HEMATOPOIETIC_CELL_LINEAGE;KEGG_CELL_ADHESION_MOLECULES_CAMS;KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION;KEGG_ALLOGRAFT_REJECTION,4.98e-05;5.12e-05;5.79e-05;0.000222;0.000281,,,,,,,
denisenko_2022__SP1__whole__glmpca,denisenko_2022,SP1,whole,glmpca,primary_glmpca,continuous_slope,continuous_segment_1_positive,positive,407,HEY1;SOX17;KLHDC8A;FOXM1;SCGB1D2;GSTA1;TOX;C2orf88;C7;STAR;EPB41L2;TOP2A,4.707;4.537;4.196;4.036;3.884;3.868;3.863;3.738;3.715;3.681;3.591;3.556,8,,1,,1.0,2.0,1.0,HALLMARK_E2F_TARGETS;HALLMARK_G2M_CHECKPOINT;HALLMARK_MYC_TARGETS_V1;HALLMARK_MYC_TARGETS_V2;HALLMARK_CHOLESTEROL_HOMEOSTASIS,1.06e-20;1.39e-12;2.51e-06;0.135;0.186,KEGG_CELL_CYCLE;KEGG_PYRIMIDINE_METABOLISM;KEGG_SPLICEOSOME;KEGG_DNA_REPLICATION;KEGG_PURINE_METABOLISM,0.0343;0.0364;0.0998;0.133;0.141,,,,,,,
