cell_type,raw_mean,raw_median,raw_sd,raw_ci_lower,raw_ci_upper,n_samples,raw_direction_consistency,raw_positive_fraction,partial_mean,partial_median,partial_sd,partial_ci_lower,partial_ci_upper,partial_direction_consistency,partial_positive_fraction,raw_abs_mean
Malignant,0.3026321967307734,0.2718540504289223,0.14899680583828265,0.24173895266591272,0.3635254407956341,23,100.0,100.0,,,,,,,,0.3026321967307734
T CD8,-0.03612705518331681,-0.0316156641705608,0.04700587865878103,-0.05533780554503323,-0.016916304821600392,23,73.91304347826086,26.08695652173913,0.004399734837221143,0.0069891464615773,0.029092153855215623,-0.007489886655744825,0.01628935633018711,56.52173913043478,56.52173913043478,0.03612705518331681
NK,-0.040541843577760805,-0.022484259753121,0.04365224085857029,-0.05838200157057085,-0.02270168558495076,23,82.6086956521739,17.391304347826086,0.005735456995482678,0.0084259802380383,0.028877476283372387,-0.006066428295999277,0.017537342286964634,60.86956521739131,60.86956521739131,0.040541843577760805
Mast,-0.04856576123598245,-0.0528441113872841,0.08348962978412468,-0.08268699205516901,-0.014444530416795887,23,78.26086956521739,21.73913043478261,0.016969004793647092,0.0176478200126875,0.08167645245108561,-0.016411201751546253,0.05034921133884043,56.52173913043478,56.52173913043478,0.04856576123598245
Neutrophil,-0.048781048370773294,-0.0602131551518523,0.082642187227328,-0.08255593937313196,-0.015006157368414617,23,69.56521739130434,30.434782608695656,0.0035113989925548476,-0.0002383043492451,0.07023353441673306,-0.025192221388527634,0.03221501937363733,52.17391304347826,47.82608695652174,0.048781048370773294
T CD4,-0.0679891404028535,-0.0666363608005011,0.058211058827573645,-0.09177931625607742,-0.044198964549629585,23,91.30434782608697,8.695652173913043,0.016309277598722065,0.0105524839830393,0.05835063115996591,-0.007537939826992267,0.0401564950244364,52.17391304347826,52.17391304347826,0.0679891404028535
cDC,-0.07853723434065461,-0.082793982385534,0.07566636143663641,-0.10946118729748514,-0.0476132813838241,23,86.95652173913044,13.043478260869565,0.003009888550377078,-0.0020789405481712,0.07124563675472004,-0.026107366165608853,0.03212714326636301,56.52173913043479,43.47826086956522,0.07853723434065461
pDC,-0.12129078136600042,-0.1082154265922017,0.09889570367067461,-0.16170829358515995,-0.0808732691468409,23,91.30434782608697,8.695652173913043,0.0328851031712758,0.0226776958995739,0.05695540278242722,0.009608099191693302,0.056162107150858294,82.6086956521739,82.6086956521739,0.12129078136600042
B cell,-0.12246307031471072,-0.0911891523027134,0.08982163831242589,-0.1591721186281402,-0.08575402200128124,23,95.65217391304348,4.3478260869565215,-0.008620780773502952,-0.0020507448328148,0.08039336235710583,-0.04147660347160418,0.02423504192459828,52.17391304347826,47.82608695652174,0.12246307031471072
Endothelial,-0.13411029259562526,-0.0951624451607811,0.08793243104481337,-0.1700472440940351,-0.09817334109721543,23,95.65217391304348,4.3478260869565215,0.050836229202081834,0.0317778926667432,0.0746991759812834,0.02030755357792594,0.08136490482623773,78.26086956521739,78.26086956521739,0.13411029259562526
Plasma,-0.1385180915509774,-0.1231356724906954,0.12574279216242787,-0.1899076934250898,-0.08712848967686501,23,91.30434782608697,8.695652173913043,-0.03060233018458985,-0.0301705974573158,0.07545493959834158,-0.06143987751998777,0.00023521715080807026,65.21739130434783,34.78260869565217,0.1385180915509774
Unidentifiable,-0.1651463821181836,-0.1422064202649993,0.18321021386498634,-0.2400222440891084,-0.09027052014725881,23,78.26086956521739,21.73913043478261,-0.013105733499965742,0.0099883081028458,0.13815291373382219,-0.06956720626063738,0.0433557392607059,52.17391304347826,52.17391304347826,0.1651463821181836
Macrophage,-0.1789861129144665,-0.1684330581983583,0.11536290225661416,-0.22613357573167103,-0.13183865009726198,23,95.65217391304348,4.3478260869565215,-0.0038994129737537782,-0.0042258675428611,0.07349685201618292,-0.03393671291881385,0.0261378869713063,52.17391304347826,47.82608695652174,0.1789861129144665
CAF,-0.20007650813867253,-0.2013823007473318,0.1391062438947859,-0.2569275957359801,-0.14322542054136497,23,91.30434782608697,8.695652173913043,0.036662947839156114,0.0386579396962258,0.11326854295696823,-0.009628574937754722,0.08295447061606695,73.91304347826086,73.91304347826086,0.20007650813867253
