cell_type,partial_r,p_value,dataset,sample,dataset_short,sample_label,site_group,brca_group
Malignant,,,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
CAF,0.1649812917383516,5.162513991153229e-17,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Endothelial,-0.0453914442908875,0.0219193089974131,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Plasma,-0.0825849221609184,2.985053117793673e-05,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
B cell,-0.2242972920739417,1.976183637106216e-30,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
T CD4,-0.002271141759043,0.9087554800203596,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
T CD8,0.0138210421937404,0.4855008232330361,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
NK,0.0090799018803631,0.6468035552777942,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
cDC,-0.0008526459910682,0.965680041589946,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
pDC,-0.0051769852846663,0.7939018624116462,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Macrophage,0.0477151911526211,0.0159867819646585,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Mast,-0.084298253167371,2.0304337563977348e-05,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Neutrophil,-0.0983454546945477,6.529608652536892e-07,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Unidentifiable,-0.1259560402224654,1.7532579583874807e-10,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Malignant,,,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
CAF,-0.0589712431896402,0.0096367662070606,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
Endothelial,0.0828184004355313,0.0002742535938178,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
Plasma,0.0573539443799366,0.011819569475513,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
B cell,0.0584829233451537,0.0102545542024395,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
T CD4,0.0105524839830393,0.643492800207623,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
T CD8,-0.0125822101567464,0.5810518404747206,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
NK,0.0213734757669569,0.3485018786198277,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
cDC,-0.0149608559610709,0.5117045634081818,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
pDC,0.0300807122203056,0.1869785554507844,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
Macrophage,-0.1467453355900224,9.737170374943664e-11,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
Mast,-0.1513528797662862,2.447342949436713e-11,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
Neutrophil,0.0363491395047857,0.1107754096929276,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
