cell_type,spearman_r,p_value,dataset,sample,dataset_short,sample_label,site_group,brca_group
Malignant,0.1897473079147244,4.3255739655824655e-22,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
CAF,6.280931581646574e-05,0.997471079121956,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Endothelial,-0.1663801587799272,2.7905499923362745e-17,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Plasma,-0.133067015919622,1.5307281717926462e-11,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
B cell,-0.2894277214535686,2.234609664336235e-50,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
T CD4,-0.0405260911244217,0.0407659302961161,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
T CD8,-0.0073618035455371,0.7102631590590232,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
NK,-0.0126081531319549,0.5246012821011143,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
cDC,-0.0398338843198323,0.0443328771404373,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
pDC,-0.0824753678099834,3.058761942956875e-05,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Macrophage,-0.0326995857421423,0.0988292844608885,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Mast,-0.1243077083579951,3.027557279797845e-10,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Neutrophil,-0.1158049307433914,4.5297960927339274e-09,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Unidentifiable,-0.2267761130593974,4.360867235270304e-31,visium/denisenko_2022,SP1,denisenko_2022,denisenko_2022__SP1,primary tumor,unknown
Malignant,0.2682989559056942,4.135329107809561e-33,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
CAF,-0.2588868134838555,7.239449527323546e-31,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
Endothelial,-0.057803065735577,0.0111732726598595,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
Plasma,-0.0901912824335508,7.380792582021388e-05,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
B cell,-0.066752378389648,0.0033800682784888,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
T CD4,-0.0900040649681398,7.640564071848414e-05,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
T CD8,-0.0902126672450651,7.351657261080407e-05,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
NK,-0.022484259753121,0.324018712455135,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
cDC,-0.0550102086799011,0.015758945972313,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
pDC,-0.0616838337133694,0.0067712171709057,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
Macrophage,-0.2928586047859894,2.1274829628198668e-39,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
Mast,-0.1874433564454735,1.0907966813171811e-16,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
Neutrophil,0.0406009526914901,0.0748471372063971,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
Unidentifiable,0.1700003008920101,5.887611073355537e-14,visium/denisenko_2022,SP2,denisenko_2022,denisenko_2022__SP2,primary tumor,unknown
Malignant,0.34355684844114,1.3795508284952938e-42,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
CAF,-0.2347247289872957,4.0159588149306733e-20,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
Endothelial,-0.1140165482469862,1.0112081588401626e-05,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
Plasma,-0.0672530616243038,0.0093629375521159,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
B cell,-0.1819414771386361,1.430799678637451e-12,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
T CD4,-0.1259606946306217,1.056651717245972e-06,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
T CD8,-0.0601043765558699,0.0202453213681934,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
NK,-0.0630899542618373,0.0147963883595387,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
cDC,-0.1946753767249515,3.29934287698237e-14,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
