scheme,held_out_dataset,held_out_sample,model,n_train_spots,n_test_spots,n_train_samples,n_test_samples,n_features,r2,selected_alpha,selected_l1_ratio,n_nonzero_coefficients
LOSO,ju_2024,CPS_OV19_LtOV1,composition_only,54235,4202,22,1,5,-0.026821595702928525,0.05736152510448681,0.1,4
LOSO,ju_2024,CPS_OV19_LtOV1,hallmarks_only,54235,4202,22,1,50,0.0,1.0,0.3,0
LOSO,ju_2024,CPS_OV19_LtOV1,combined,54235,4202,22,1,55,-0.015935209440744558,0.05736152510448681,0.9,4
LOSO,ju_2024,CPS_OV1RtOV3,composition_only,55273,3164,22,1,5,-0.013846984121738348,0.05736152510448681,0.1,4
LOSO,ju_2024,CPS_OV1RtOV3,hallmarks_only,55273,3164,22,1,50,0.0,1.0,0.3,0
LOSO,ju_2024,CPS_OV1RtOV3,combined,55273,3164,22,1,55,-0.001058887408336373,0.07880462815669913,0.7,4
LOSO,ju_2024,CPS_OV20RtOV4,composition_only,55402,3035,22,1,5,-0.011757177633991533,0.03039195382313198,0.1,5
LOSO,ju_2024,CPS_OV20RtOV4,hallmarks_only,55402,3035,22,1,50,0.0,1.0,0.1,0
LOSO,ju_2024,CPS_OV20RtOV4,combined,55402,3035,22,1,55,0.005566546052040988,0.05736152510448681,0.7,6
LOSO,ju_2024,CPS_OV24RTOV4,composition_only,53958,4479,22,1,5,0.07375522564630965,0.041753189365604,0.1,4
LOSO,ju_2024,CPS_OV24RTOV4,hallmarks_only,53958,4479,22,1,50,0.0,1.0,0.1,0
LOSO,ju_2024,CPS_OV24RTOV4,combined,53958,4479,22,1,55,0.06014902342353823,0.05736152510448681,0.7,7
LOSO,ju_2024,CPS_OV34RtOV1,composition_only,54922,3515,22,1,5,0.03665146493815907,0.011721022975334805,0.7,4
LOSO,ju_2024,CPS_OV34RtOV1,hallmarks_only,54922,3515,22,1,50,0.0,1.0,0.1,0
LOSO,ju_2024,CPS_OV34RtOV1,combined,54922,3515,22,1,55,0.03129380566583906,0.05736152510448681,0.9,4
LOSO,ju_2024,CPS_OV5LtOV4,composition_only,54852,3585,22,1,5,0.058255115642400046,0.05736152510448681,0.1,4
LOSO,ju_2024,CPS_OV5LtOV4,hallmarks_only,54852,3585,22,1,50,-0.0008947924053366307,0.20433597178569418,0.3,1
LOSO,ju_2024,CPS_OV5LtOV4,combined,54852,3585,22,1,55,0.048343447123589844,0.05736152510448681,0.7,6
LOSO,ju_2024,CPS_OV71_1,composition_only,56277,2160,22,1,5,0.046933505017752064,0.01610262027560939,0.1,5
LOSO,ju_2024,CPS_OV71_1,hallmarks_only,56277,2160,22,1,50,0.0,0.14873521072935117,0.5,0
LOSO,ju_2024,CPS_OV71_1,combined,56277,2160,22,1,55,0.04126736884957516,0.05736152510448681,0.9,4
LOSO,yamamoto_2025,Pt1-1,composition_only,56912,1525,22,1,5,0.09300332484771523,0.041753189365604,0.1,5
LOSO,yamamoto_2025,Pt1-1,hallmarks_only,56912,1525,22,1,50,0.0,1.0,0.1,0
LOSO,yamamoto_2025,Pt1-1,combined,56912,1525,22,1,55,0.08152935594358379,0.05736152510448681,0.7,5
LOSO,yamamoto_2025,Pt1-2,composition_only,57306,1131,22,1,5,0.11029295573292841,0.02212216291070448,0.1,5
LOSO,yamamoto_2025,Pt1-2,hallmarks_only,57306,1131,22,1,50,0.0,0.07880462815669913,0.9,0
LOSO,yamamoto_2025,Pt1-2,combined,57306,1131,22,1,55,0.09935857359347067,0.05736152510448681,0.7,6
LOSO,yamamoto_2025,Pt1-3,composition_only,56435,2002,22,1,5,0.03928229298565655,0.02212216291070448,0.1,5
LOSO,yamamoto_2025,Pt1-3,hallmarks_only,56435,2002,22,1,50,0.0,1.0,0.1,0
LOSO,yamamoto_2025,Pt1-3,combined,56435,2002,22,1,55,0.03642967151979648,0.05736152510448681,0.7,7
LOSO,yamamoto_2025,Pt1-4,composition_only,57050,1387,22,1,5,0.07435476101113936,0.03039195382313198,0.1,5
LOSO,yamamoto_2025,Pt1-4,hallmarks_only,57050,1387,22,1,50,0.0,1.0,0.1,0
LOSO,yamamoto_2025,Pt1-4,combined,57050,1387,22,1,55,0.07029726638520284,0.05736152510448681,0.7,6
LOSO,yamamoto_2025,Pt2-1,composition_only,56604,1833,22,1,5,0.05031772840074933,0.041753189365604,0.1,4
LOSO,yamamoto_2025,Pt2-1,hallmarks_only,56604,1833,22,1,50,-0.007437604853487212,0.20433597178569418,0.3,1
LOSO,yamamoto_2025,Pt2-1,combined,56604,1833,22,1,55,0.017539660683662306,0.05736152510448681,0.7,6
LOSO,yamamoto_2025,Pt2-2,composition_only,56411,2026,22,1,5,-0.009319367285781421,0.006210169418915616,0.1,5
LOSO,yamamoto_2025,Pt2-2,hallmarks_only,56411,2026,22,1,50,0.0,1.0,0.1,0
