summary_type,scheme,held_out_dataset,model,median_r2,iqr_low,iqr_high,n_heldout_samples
overall,LOSO,all,composition_only,0.04391241619555686,0.03316587912125263,0.0740549933287245,23
overall,LOSO,all,hallmarks_only,0.0,0.0,0.0,23
overall,LOSO,all,combined,0.03642967151979648,0.02325626832006633,0.06711871273726316,23
overall,LODO,all,composition_only,0.04191504062537499,0.032033066893048745,0.07212223165667936,23
overall,LODO,all,hallmarks_only,0.0,-0.003086825609917354,0.0,23
overall,LODO,all,combined,0.032986035674439695,0.013953853234834113,0.05282048266795447,23
by_dataset,LOSO,ju_2024,composition_only,0.03665146493815907,-0.01280208087786494,0.052594310330076055,7
by_dataset,LOSO,ju_2024,hallmarks_only,0.0,0.0,0.0,7
by_dataset,LOSO,ju_2024,combined,0.03129380566583906,0.0022538293218523076,0.0448054079865825,7
by_dataset,LOSO,yamamoto_2025,composition_only,0.04711507229815309,0.03980285231036068,0.07901690197028333,8
by_dataset,LOSO,yamamoto_2025,hallmarks_only,0.0,0.0,0.0,8
by_dataset,LOSO,yamamoto_2025,combined,0.03740222841631269,0.02550737152258753,0.07310528877479808,8
by_dataset,LOSO,denisenko_2022,composition_only,0.05419293149514748,0.0353853870221954,0.09401614861851576,8
by_dataset,LOSO,denisenko_2022,hallmarks_only,0.0,0.0,0.0,8
by_dataset,LOSO,denisenko_2022,combined,0.049007323328986885,0.031528105243628174,0.07196349314742734,8
by_dataset,LODO,denisenko_2022,composition_only,0.05551376715908635,0.03503751787556231,0.08909602422474677,8
by_dataset,LODO,denisenko_2022,hallmarks_only,0.0,0.0,0.0,8
by_dataset,LODO,denisenko_2022,combined,0.037857627504092106,0.01941626438166766,0.048097743457883924,8
by_dataset,LODO,ju_2024,composition_only,0.038585931399186646,-0.02439809583067798,0.0500849632381693,7
by_dataset,LODO,ju_2024,hallmarks_only,-0.0033414381814105276,-0.0070556581580517586,-0.001778496192444523,7
by_dataset,LODO,ju_2024,combined,0.033542673613320195,-0.00408299717405014,0.04170644149056868,7
by_dataset,LODO,yamamoto_2025,composition_only,0.04413880292059835,0.03920295680329819,0.06997478621447625,8
by_dataset,LODO,yamamoto_2025,hallmarks_only,0.00015135281925232613,-0.0029359204798986016,0.007320897368985391,8
by_dataset,LODO,yamamoto_2025,combined,0.026502250270305894,0.018974878559416708,0.06897435641842226,8
