dataset,sample,balance,spearman_r
denisenko_2022,SP1,b1,0.1235759955531634
denisenko_2022,SP1,b2,0.003118979117935244
denisenko_2022,SP1,b3,0.0954033710675998
denisenko_2022,SP1,b4,0.03206723104602898
denisenko_2022,SP1,b5,0.04278368741009725
denisenko_2022,SP1,b6,-0.03608719754588999
denisenko_2022,SP1,b7,0.03992524615729345
denisenko_2022,SP1,b8,-0.020408937839266107
denisenko_2022,SP1,b9,0.2214486644597095
denisenko_2022,SP1,b10,-0.01191956367091933
denisenko_2022,SP1,b11,-0.05016296826115799
denisenko_2022,SP1,b12,-0.17193510066960024
denisenko_2022,SP2,b1,0.06842734110591664
denisenko_2022,SP2,b2,-0.14451870823097818
denisenko_2022,SP2,b3,-0.24228106809007177
denisenko_2022,SP2,b4,-0.05633722769638949
denisenko_2022,SP2,b5,-0.10004655285972165
denisenko_2022,SP2,b6,-0.22672642540422522
denisenko_2022,SP2,b7,0.024207894710253672
denisenko_2022,SP2,b8,-0.18937503600476738
denisenko_2022,SP2,b9,0.056442470330952545
denisenko_2022,SP2,b10,-0.07296240771975629
denisenko_2022,SP2,b11,-0.015992010037985907
denisenko_2022,SP2,b12,0.06258315146034032
denisenko_2022,SP3,b1,0.2576329954382568
denisenko_2022,SP3,b2,-0.0600316768265504
denisenko_2022,SP3,b3,-0.1691918018555907
denisenko_2022,SP3,b4,-0.04058623723405456
denisenko_2022,SP3,b5,-0.16979152403618436
denisenko_2022,SP3,b6,-0.011847907768299451
denisenko_2022,SP3,b7,-0.02661463920930014
denisenko_2022,SP3,b8,-0.005042656654767934
denisenko_2022,SP3,b9,0.07434274862214488
denisenko_2022,SP3,b10,-0.04242140314975248
denisenko_2022,SP3,b11,-0.05840631033349074
denisenko_2022,SP3,b12,-0.08830291775804054
denisenko_2022,SP4,b1,0.2587504658265063
denisenko_2022,SP4,b2,-0.10986339389978207
denisenko_2022,SP4,b3,-0.07107805968748458
denisenko_2022,SP4,b4,-0.09510986703726662
denisenko_2022,SP4,b5,-0.060677517805326396
denisenko_2022,SP4,b6,0.03327763296974947
denisenko_2022,SP4,b7,0.07716945474976393
denisenko_2022,SP4,b8,-0.09096641248945804
denisenko_2022,SP4,b9,0.26762203050087663
denisenko_2022,SP4,b10,-0.031147129359640986
denisenko_2022,SP4,b11,-0.04421532104792232
denisenko_2022,SP4,b12,0.04881571103715802
denisenko_2022,SP5,b1,0.1841968362388766
denisenko_2022,SP5,b2,-0.14178143856451444
denisenko_2022,SP5,b3,-0.169643651638179
denisenko_2022,SP5,b4,-0.04110178029329473
denisenko_2022,SP5,b5,-0.1942491980094882
denisenko_2022,SP5,b6,-0.1859815591759798
denisenko_2022,SP5,b7,0.04489536321524405
denisenko_2022,SP5,b8,-0.041081179663862356
denisenko_2022,SP5,b9,0.09720645278842427
denisenko_2022,SP5,b10,0.005425038367481517
denisenko_2022,SP5,b11,-0.015511805801173447
denisenko_2022,SP5,b12,0.03277856848576411
denisenko_2022,SP6,b1,0.3156614573806303
denisenko_2022,SP6,b2,-0.2306857542479267
denisenko_2022,SP6,b3,-0.06699766715003204
denisenko_2022,SP6,b4,0.05794582682855938
denisenko_2022,SP6,b5,-0.2945897032591053
denisenko_2022,SP6,b6,-0.25683784741065846
denisenko_2022,SP6,b7,0.17989902251013937
denisenko_2022,SP6,b8,-0.02281552768862657
denisenko_2022,SP6,b9,0.23667512856292433
denisenko_2022,SP6,b10,-0.03645383765877744
denisenko_2022,SP6,b11,-0.07713346986918
denisenko_2022,SP6,b12,0.09496930853909037
denisenko_2022,SP7,b1,0.2345387865766263
denisenko_2022,SP7,b2,0.011201531712041286
denisenko_2022,SP7,b3,0.08995446250714187
denisenko_2022,SP7,b4,-0.06737070191057182
denisenko_2022,SP7,b5,-0.05488647818935778
denisenko_2022,SP7,b6,-0.07373555602766052
denisenko_2022,SP7,b7,0.04157651311479352
denisenko_2022,SP7,b8,-0.00025460439505173895
denisenko_2022,SP7,b9,0.17254021332314495
denisenko_2022,SP7,b10,-0.0532036997202
denisenko_2022,SP7,b11,-0.10195341368467009
denisenko_2022,SP7,b12,-0.03839932702355988
denisenko_2022,SP8,b1,0.228845785360466
denisenko_2022,SP8,b2,-0.26401455156649506
denisenko_2022,SP8,b3,-0.25259219598316873
denisenko_2022,SP8,b4,-0.14679754804223366
denisenko_2022,SP8,b5,-0.1761902568589153
denisenko_2022,SP8,b6,-0.03288467196598013
