balance,balance_type,median_r,iqr_low,iqr_high,sign_consistency,n_samples,wilcoxon_p,holm_p
b1,primary,0.20563504240331743,0.11631768308563364,0.2371265331633366,0.9565217391304348,23,4.76837158203125e-07,2.384185791015625e-06
b2,primary,-0.07515924906205511,-0.14315007339774632,-0.04108630422856037,0.8695652173913043,23,1.0251998901367188e-05,4.100799560546875e-05
b3,primary,-0.07107805968748458,-0.16941772674688485,-0.011484193024336453,0.782608695652174,23,0.0021359920501708984,0.004271984100341797
b4,primary,-0.04110178029329473,-0.07759250833007991,0.014084044835242868,0.6521739130434783,23,0.032669782638549805,0.032669782638549805
b5,exploratory,-0.08803028311520225,-0.17299089044754984,-0.04375018807676362,0.8260869565217391,23,,
b6,exploratory,-0.07229606776405574,-0.1462953398093322,-0.019838672226603384,0.8695652173913043,23,,
b7,exploratory,0.03832463929148292,-0.004273591443202909,0.0729350479029407,0.6956521739130435,23,,
b8,exploratory,-0.020332150313022986,-0.03899825525829991,0.012418585258223128,0.6956521739130435,23,,
b9,primary,0.08965408600278643,0.03911711465826759,0.18040898906170177,0.8260869565217391,23,3.266334533691406e-05,9.799003601074219e-05
b10,exploratory,-0.024414553782596663,-0.03943762040426496,-0.004114532962295322,0.782608695652174,23,,
b11,exploratory,-0.04250203453978318,-0.06265416759083349,-0.01334149868418662,0.782608695652174,23,,
b12,exploratory,0.025001840394175356,-0.06138416700725035,0.05024533172187423,0.5652173913043478,23,,
