,Malignant,CAF,Endothelial,Plasma,B cell,T CD4,T CD8,NK,cDC,pDC,Macrophage,Mast,Neutrophil
b1,0.9607689228305228,-0.08006407690254357,-0.08006407690254357,-0.08006407690254357,-0.08006407690254357,-0.08006407690254357,-0.08006407690254357,-0.08006407690254357,-0.08006407690254357,-0.08006407690254357,-0.08006407690254357,-0.08006407690254357,-0.08006407690254357
b2,0.0,0.6454972243679028,0.6454972243679028,-0.12909944487358055,-0.12909944487358055,-0.12909944487358055,-0.12909944487358055,-0.12909944487358055,-0.12909944487358055,-0.12909944487358055,-0.12909944487358055,-0.12909944487358055,-0.12909944487358055
b3,0.0,0.7071067811865476,-0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4,0.0,0.0,0.0,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,0.31622776601683794,0.31622776601683794,0.31622776601683794,0.31622776601683794,0.31622776601683794
b5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3651483716701107,0.3651483716701107,0.3651483716701107,-0.5477225575051661,-0.5477225575051661
b6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.408248290463863,-0.408248290463863,0.816496580927726,0.0,0.0
b7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865476,0.0,0.0,0.0
b8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865476
b9,0.0,0.0,0.0,-0.5477225575051661,-0.5477225575051661,0.3651483716701107,0.3651483716701107,0.3651483716701107,0.0,0.0,0.0,0.0,0.0
b10,0.0,0.0,0.0,0.0,0.0,0.408248290463863,0.408248290463863,-0.816496580927726,0.0,0.0,0.0,0.0,0.0
b11,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0
b12,0.0,0.0,0.0,-0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
