sample,model,outer_fold,n_train,n_test,selected_alpha,selected_l1_ratio,n_nonzero_coefficients,n_features,dataset
SP1,composition_only,1,2039,510,0.016894330590291214,0.9,2,5,denisenko_2022
SP1,composition_only,2,2039,510,0.019731116367510508,0.9,4,5,denisenko_2022
SP1,composition_only,3,2039,510,0.0377281989485838,0.1,5,5,denisenko_2022
SP1,composition_only,4,2039,510,0.017334080362826517,0.9,4,5,denisenko_2022
SP1,composition_only,5,2040,509,0.015635945534904962,0.9,5,5,denisenko_2022
SP1,hallmarks_only,1,2039,510,0.05976560428274664,0.1,46,50,denisenko_2022
SP1,hallmarks_only,2,2039,510,0.04501457000598559,0.1,46,50,denisenko_2022
SP1,hallmarks_only,3,2039,510,0.043271979487259846,0.1,46,50,denisenko_2022
SP1,hallmarks_only,4,2039,510,0.05006564132773066,0.1,49,50,denisenko_2022
SP1,hallmarks_only,5,2040,509,0.054271773517898136,0.1,48,50,denisenko_2022
SP1,combined,1,2039,510,0.064084698476029,0.1,51,55,denisenko_2022
SP1,combined,2,2039,510,0.04501457000598559,0.1,53,55,denisenko_2022
SP1,combined,3,2039,510,0.05720301025978671,0.1,49,55,denisenko_2022
SP1,combined,4,2039,510,0.05477695172115965,0.1,53,55,denisenko_2022
SP1,combined,5,2040,509,0.062399351254845026,0.1,52,55,denisenko_2022
SP2,composition_only,1,1540,386,0.003893913396762037,0.9,5,5,denisenko_2022
SP2,composition_only,2,1541,385,0.00949488862334247,0.9,4,5,denisenko_2022
SP2,composition_only,3,1541,385,0.016334287665876145,0.7,4,5,denisenko_2022
SP2,composition_only,4,1541,385,0.013986999596596104,0.1,5,5,denisenko_2022
SP2,composition_only,5,1541,385,0.008000472002245828,0.9,4,5,denisenko_2022
SP2,hallmarks_only,1,1540,386,0.0708202914197849,0.1,42,50,denisenko_2022
SP2,hallmarks_only,2,1541,385,0.07627404999060802,0.1,44,50,denisenko_2022
SP2,hallmarks_only,3,1541,385,0.008286220407995275,0.9,44,50,denisenko_2022
SP2,hallmarks_only,4,1541,385,0.0616864593071233,0.1,43,50,denisenko_2022
SP2,hallmarks_only,5,1541,385,0.0637298611942906,0.1,43,50,denisenko_2022
SP2,combined,1,1540,386,0.06159587782745868,0.1,47,55,denisenko_2022
SP2,combined,2,1541,385,0.07113343430157908,0.1,48,55,denisenko_2022
SP2,combined,3,1541,385,0.037116642806857926,0.1,53,55,denisenko_2022
SP2,combined,4,1541,385,0.05752899840719874,0.1,49,55,denisenko_2022
SP2,combined,5,1541,385,0.0637298611942906,0.1,47,55,denisenko_2022
SP3,composition_only,1,1193,299,0.05234274750252978,0.1,5,5,denisenko_2022
SP3,composition_only,2,1193,299,0.023079485795824112,0.9,4,5,denisenko_2022
SP3,composition_only,3,1194,298,0.021930978179433357,0.5,4,5,denisenko_2022
SP3,composition_only,4,1194,298,0.04826686433108915,0.9,2,5,denisenko_2022
SP3,composition_only,5,1194,298,0.03894199082754872,0.1,5,5,denisenko_2022
SP3,hallmarks_only,1,1193,299,0.07586402222431714,0.1,43,50,denisenko_2022
SP3,hallmarks_only,2,1193,299,0.009259450177673786,0.9,45,50,denisenko_2022
SP3,hallmarks_only,3,1194,298,0.0380831547029273,0.3,42,50,denisenko_2022
SP3,hallmarks_only,4,1194,298,0.02678485013468387,0.5,38,50,denisenko_2022
SP3,hallmarks_only,5,1194,298,0.06619052411684802,0.1,47,50,denisenko_2022
SP3,combined,1,1193,299,0.08722519025141791,0.1,44,55,denisenko_2022
SP3,combined,2,1193,299,0.012240448202038066,0.9,45,55,denisenko_2022
SP3,combined,3,1194,298,0.043786373526504836,0.3,45,55,denisenko_2022
SP3,combined,4,1194,298,0.023586867967849555,0.7,39,55,denisenko_2022
SP3,combined,5,1194,298,0.08160277183941751,0.1,48,55,denisenko_2022
SP4,composition_only,1,2275,569,0.020725189761893338,0.3,5,5,denisenko_2022
SP4,composition_only,2,2275,569,0.028216834291642595,0.3,4,5,denisenko_2022
SP4,composition_only,3,2275,569,0.014376885228936842,0.1,5,5,denisenko_2022
SP4,composition_only,4,2275,569,0.009505185836765042,0.9,4,5,denisenko_2022
SP4,composition_only,5,2276,568,0.004235322558044182,0.9,5,5,denisenko_2022
SP4,hallmarks_only,1,2275,569,0.005199721061124962,0.9,48,50,denisenko_2022
SP4,hallmarks_only,2,2275,569,0.00955110273045044,0.9,46,50,denisenko_2022
SP4,hallmarks_only,3,2275,569,0.005263988555066855,0.3,50,50,denisenko_2022
SP4,hallmarks_only,4,2275,569,0.01941668245787137,0.1,49,50,denisenko_2022
SP4,hallmarks_only,5,2276,568,0.005104036446759818,0.9,45,50,denisenko_2022
SP4,combined,1,2275,569,0.007370470258570983,0.9,49,55,denisenko_2022
SP4,combined,2,2275,569,0.010241334391915305,0.9,44,55,denisenko_2022
SP4,combined,3,2275,569,0.0026669315151278384,0.9,53,55,denisenko_2022
SP4,combined,4,2275,569,0.0316443544412799,0.1,54,55,denisenko_2022
SP4,combined,5,2276,568,0.0067472358022421484,0.9,48,55,denisenko_2022
SP5,composition_only,1,1590,398,0.00890917294565974,0.1,5,5,denisenko_2022
SP5,composition_only,2,1590,398,0.008652674902136837,0.1,5,5,denisenko_2022
SP5,composition_only,3,1590,398,0.028621728319593392,0.1,5,5,denisenko_2022
SP5,composition_only,4,1591,397,0.006782022161310442,0.1,5,5,denisenko_2022
SP5,composition_only,5,1591,397,0.008589171613859024,0.1,5,5,denisenko_2022
SP5,hallmarks_only,1,1590,398,0.005068944692352536,0.9,45,50,denisenko_2022
SP5,hallmarks_only,2,1590,398,0.004489283581940189,0.9,49,50,denisenko_2022
SP5,hallmarks_only,3,1590,398,0.0069518629307798695,0.9,44,50,denisenko_2022
SP5,hallmarks_only,4,1591,397,0.005990898488242428,0.9,46,50,denisenko_2022
SP5,hallmarks_only,5,1591,397,0.015922655816916962,0.3,48,50,denisenko_2022
SP5,combined,1,1590,398,0.005828054619316551,0.9,47,55,denisenko_2022
SP5,combined,2,1590,398,0.00553459862642576,0.9,54,55,denisenko_2022
SP5,combined,3,1590,398,0.0069518629307798695,0.9,47,55,denisenko_2022
SP5,combined,4,1591,397,0.005587131980972511,0.9,52,55,denisenko_2022
SP5,combined,5,1591,397,0.029309981891722573,0.1,53,55,denisenko_2022
SP6,composition_only,1,1406,352,0.004323970629844382,0.1,5,5,denisenko_2022
SP6,composition_only,2,1406,352,0.023655439179718737,0.1,5,5,denisenko_2022
SP6,composition_only,3,1406,352,0.053284966514068374,0.1,5,5,denisenko_2022
SP6,composition_only,4,1407,351,0.012678566666534717,0.1,5,5,denisenko_2022
SP6,composition_only,5,1407,351,0.02118483672959293,0.1,5,5,denisenko_2022
SP6,hallmarks_only,1,1406,352,0.05479768547218129,0.1,48,50,denisenko_2022
SP6,hallmarks_only,2,1406,352,0.05961566761657686,0.1,45,50,denisenko_2022
SP6,hallmarks_only,3,1406,352,0.0742326422808489,0.1,42,50,denisenko_2022
SP6,hallmarks_only,4,1407,351,0.04428673822682688,0.1,46,50,denisenko_2022
SP6,hallmarks_only,5,1407,351,0.027195222429091007,0.1,49,50,denisenko_2022
SP6,combined,1,1406,352,0.05479768547218129,0.1,51,55,denisenko_2022
SP6,combined,2,1406,352,0.06854353087746551,0.1,51,55,denisenko_2022
SP6,combined,3,1406,352,0.08534949974926374,0.1,46,55,denisenko_2022
SP6,combined,4,1407,351,0.05459876082346782,0.1,51,55,denisenko_2022
SP6,combined,5,1407,351,0.03352754130010662,0.1,51,55,denisenko_2022
SP7,composition_only,1,2737,685,0.028128018614670326,0.1,5,5,denisenko_2022
SP7,composition_only,2,2737,685,0.020237484493458337,0.1,5,5,denisenko_2022
SP7,composition_only,3,2738,684,0.00952149748058156,0.1,5,5,denisenko_2022
SP7,composition_only,4,2738,684,0.019242234020382366,0.1,5,5,denisenko_2022
SP7,composition_only,5,2738,684,0.014804030040530018,0.3,5,5,denisenko_2022
SP7,hallmarks_only,1,2737,685,0.005592997532153753,0.1,50,50,denisenko_2022
SP7,hallmarks_only,2,2737,685,0.008392996493140707,0.1,50,50,denisenko_2022
SP7,hallmarks_only,3,2738,684,0.008852871732137077,0.1,49,50,denisenko_2022
SP7,hallmarks_only,4,2738,684,0.0019131936659018422,0.9,48,50,denisenko_2022
SP7,hallmarks_only,5,2738,684,0.0022052504245165788,0.9,49,50,denisenko_2022
SP7,combined,1,2737,685,0.0064305880378360564,0.1,55,55,denisenko_2022
SP7,combined,2,2737,685,0.002847888730688585,0.9,53,55,denisenko_2022
SP7,combined,3,2738,684,0.006245525995237643,0.1,55,55,denisenko_2022
SP7,combined,4,2738,684,0.0019131936659018422,0.9,53,55,denisenko_2022
SP7,combined,5,2738,684,0.0023646177465334777,0.9,54,55,denisenko_2022
SP8,composition_only,1,2426,607,0.011225225847083247,0.1,5,5,denisenko_2022
SP8,composition_only,2,2426,607,0.005602181100182441,0.9,5,5,denisenko_2022
SP8,composition_only,3,2426,607,0.006505544590014959,0.1,5,5,denisenko_2022
SP8,composition_only,4,2427,606,0.01339982764879918,0.1,5,5,denisenko_2022
SP8,composition_only,5,2427,606,0.014849841201584854,0.1,5,5,denisenko_2022
SP8,hallmarks_only,1,2426,607,0.06553689581289754,0.1,45,50,denisenko_2022
SP8,hallmarks_only,2,2426,607,0.02558940664366395,0.1,49,50,denisenko_2022
SP8,hallmarks_only,3,2426,607,0.03153116043341133,0.1,48,50,denisenko_2022
SP8,hallmarks_only,4,2427,606,0.019522518304651106,0.1,48,50,denisenko_2022
SP8,hallmarks_only,5,2427,606,0.04606169462391534,0.1,45,50,denisenko_2022
SP8,combined,1,2426,607,0.07027306521247563,0.1,47,55,denisenko_2022
SP8,combined,2,2426,607,0.03627232276202121,0.1,53,55,denisenko_2022
SP8,combined,3,2426,607,0.04168233843581038,0.1,52,55,denisenko_2022
SP8,combined,4,2427,606,0.02244615198855295,0.1,53,55,denisenko_2022
SP8,combined,5,2427,606,0.04939044533547354,0.1,49,55,denisenko_2022
Pt1-1,composition_only,1,1220,305,0.04104895237497398,0.1,5,5,yamamoto_2025
Pt1-1,composition_only,2,1220,305,0.0077899635139956035,0.1,5,5,yamamoto_2025
Pt1-1,composition_only,3,1220,305,0.007941633935819602,0.1,5,5,yamamoto_2025
Pt1-1,composition_only,4,1220,305,0.006437715634720378,0.1,5,5,yamamoto_2025
Pt1-1,composition_only,5,1220,305,0.04965800022139371,0.1,5,5,yamamoto_2025
Pt1-1,hallmarks_only,1,1220,305,0.011070392882763496,0.5,46,50,yamamoto_2025
Pt1-1,hallmarks_only,2,1220,305,0.013928664026788341,0.3,48,50,yamamoto_2025
Pt1-1,hallmarks_only,3,1220,305,0.00576146344632239,0.9,45,50,yamamoto_2025
Pt1-1,hallmarks_only,4,1220,305,0.013627788361851936,0.1,46,50,yamamoto_2025
Pt1-1,hallmarks_only,5,1220,305,0.0066925382899013135,0.5,46,50,yamamoto_2025
Pt1-1,combined,1,1220,305,0.011070392882763496,0.5,50,55,yamamoto_2025
Pt1-1,combined,2,1220,305,0.012989918688994713,0.3,53,55,yamamoto_2025
Pt1-1,combined,3,1220,305,0.017284390338967167,0.3,49,55,yamamoto_2025
Pt1-1,combined,4,1220,305,0.014612630768907587,0.1,54,55,yamamoto_2025
Pt1-1,combined,5,1220,305,0.011960315733850329,0.3,50,55,yamamoto_2025
Pt1-2,composition_only,1,904,227,0.018583978404301885,0.9,3,5,yamamoto_2025
Pt1-2,composition_only,2,905,226,0.02705913302659542,0.9,5,5,yamamoto_2025
Pt1-2,composition_only,3,905,226,0.046326195752023624,0.1,5,5,yamamoto_2025
Pt1-2,composition_only,4,905,226,0.026620541590666853,0.9,4,5,yamamoto_2025
Pt1-2,composition_only,5,905,226,0.011398981523128267,0.7,4,5,yamamoto_2025
Pt1-2,hallmarks_only,1,904,227,0.055812814205923704,0.1,46,50,yamamoto_2025
Pt1-2,hallmarks_only,2,905,226,0.08307152730666029,0.1,44,50,yamamoto_2025
