dataset,sample,model,n_spots,n_predictors,cv_r2,combined_minus_composition_only,combined_minus_hallmarks_only,prior_ols_full_primary_cv_r2,composition_elastic_net_minus_prior_ols_cv_r2
denisenko_2022,SP1,composition_only,2549,5,0.05831572284682107,0.19346963256686955,0.006274165543065147,0.0582646356571709,5.108718965016884e-05
denisenko_2022,SP1,hallmarks_only,2549,50,0.24551118987062548,0.19346963256686955,0.006274165543065147,0.0582646356571709,5.108718965016884e-05
denisenko_2022,SP1,combined,2549,55,0.2517853554136906,0.19346963256686955,0.006274165543065147,0.0582646356571709,5.108718965016884e-05
denisenko_2022,SP2,composition_only,1926,5,0.08945259843873699,0.2991666446243554,0.012276338998650771,0.0891618194998555,0.00029077893888149187
denisenko_2022,SP2,hallmarks_only,1926,50,0.3763429040644416,0.2991666446243554,0.012276338998650771,0.0891618194998555,0.00029077893888149187
denisenko_2022,SP2,combined,1926,55,0.38861924306309237,0.2991666446243554,0.012276338998650771,0.0891618194998555,0.00029077893888149187
denisenko_2022,SP3,composition_only,1492,5,0.07267693211133985,0.2743909835329059,0.009191100148840836,0.073508809713727,-0.0008318776023871488
denisenko_2022,SP3,hallmarks_only,1492,50,0.33787681549540494,0.2743909835329059,0.009191100148840836,0.073508809713727,-0.0008318776023871488
denisenko_2022,SP3,combined,1492,55,0.3470679156442458,0.2743909835329059,0.009191100148840836,0.073508809713727,-0.0008318776023871488
denisenko_2022,SP4,composition_only,2844,5,0.12633127765442054,0.2312987230607475,0.011709207500352647,0.1268995827000518,-0.0005683050456312677
denisenko_2022,SP4,hallmarks_only,2844,50,0.3459207932148154,0.2312987230607475,0.011709207500352647,0.1268995827000518,-0.0005683050456312677
denisenko_2022,SP4,combined,2844,55,0.35763000071516804,0.2312987230607475,0.011709207500352647,0.1268995827000518,-0.0005683050456312677
denisenko_2022,SP5,composition_only,1988,5,0.08793159241881887,0.37841504612763677,0.005010376302020614,0.0880345180246888,-0.00010292560586992738
denisenko_2022,SP5,hallmarks_only,1988,50,0.461336262244435,0.37841504612763677,0.005010376302020614,0.0880345180246888,-0.00010292560586992738
denisenko_2022,SP5,combined,1988,55,0.46634663854645564,0.37841504612763677,0.005010376302020614,0.0880345180246888,-0.00010292560586992738
denisenko_2022,SP6,composition_only,1758,5,0.19569830154449597,0.4094922746128735,0.006751262788376011,0.1956741750463927,2.412649810326628e-05
denisenko_2022,SP6,hallmarks_only,1758,50,0.5984393133689935,0.4094922746128735,0.006751262788376011,0.1956741750463927,2.412649810326628e-05
denisenko_2022,SP6,combined,1758,55,0.6051905761573695,0.4094922746128735,0.006751262788376011,0.1956741750463927,2.412649810326628e-05
denisenko_2022,SP7,composition_only,3422,5,0.05349200378648267,0.22314307698222124,0.008609434972017382,0.0533895593075134,0.00010244447896926717
denisenko_2022,SP7,hallmarks_only,3422,50,0.26802564579668653,0.22314307698222124,0.008609434972017382,0.0533895593075134,0.00010244447896926717
denisenko_2022,SP7,combined,3422,55,0.2766350807687039,0.22314307698222124,0.008609434972017382,0.0533895593075134,0.00010244447896926717
denisenko_2022,SP8,composition_only,3033,5,0.18467835037692915,0.35738807118050486,0.009434446893083592,0.1848280112145727,-0.00014966083764356153
denisenko_2022,SP8,hallmarks_only,3033,50,0.5326319746643504,0.35738807118050486,0.009434446893083592,0.1848280112145727,-0.00014966083764356153
denisenko_2022,SP8,combined,3033,55,0.542066421557434,0.35738807118050486,0.009434446893083592,0.1848280112145727,-0.00014966083764356153
yamamoto_2025,Pt1-1,composition_only,1525,5,0.16511218124753113,0.3663669838132605,0.00402223999688911,0.1644727552017388,0.0006394260457923406
yamamoto_2025,Pt1-1,hallmarks_only,1525,50,0.5274569250639025,0.3663669838132605,0.00402223999688911,0.1644727552017388,0.0006394260457923406
yamamoto_2025,Pt1-1,combined,1525,55,0.5314791650607916,0.3663669838132605,0.00402223999688911,0.1644727552017388,0.0006394260457923406
yamamoto_2025,Pt1-2,composition_only,1131,5,0.13132479583874912,0.5098791727759617,-0.00025179940493513797,0.13001803907168,0.0013067567670691227
yamamoto_2025,Pt1-2,hallmarks_only,1131,50,0.641455768019646,0.5098791727759617,-0.00025179940493513797,0.13001803907168,0.0013067567670691227
yamamoto_2025,Pt1-2,combined,1131,55,0.6412039686147109,0.5098791727759617,-0.00025179940493513797,0.13001803907168,0.0013067567670691227
yamamoto_2025,Pt1-3,composition_only,2002,5,0.06851382473548862,0.3650557066459317,0.007396373049222693,0.0681882587479315,0.0003255659875571193
yamamoto_2025,Pt1-3,hallmarks_only,2002,50,0.4261731583321976,0.3650557066459317,0.007396373049222693,0.0681882587479315,0.0003255659875571193
yamamoto_2025,Pt1-3,combined,2002,55,0.4335695313814203,0.3650557066459317,0.007396373049222693,0.0681882587479315,0.0003255659875571193
yamamoto_2025,Pt1-4,composition_only,1387,5,0.10868296391238974,0.3389499329172432,0.001075389622205103,0.108110248182475,0.0005727157299147412
yamamoto_2025,Pt1-4,hallmarks_only,1387,50,0.4465575072074278,0.3389499329172432,0.001075389622205103,0.108110248182475,0.0005727157299147412
yamamoto_2025,Pt1-4,combined,1387,55,0.4476328968296329,0.3389499329172432,0.001075389622205103,0.108110248182475,0.0005727157299147412
yamamoto_2025,Pt2-1,composition_only,1833,5,0.09588804999307288,0.34494856638048954,-0.0012995722735538173,0.0953927064033262,0.0004953435897466774
yamamoto_2025,Pt2-1,hallmarks_only,1833,50,0.44213618864711624,0.34494856638048954,-0.0012995722735538173,0.0953927064033262,0.0004953435897466774
yamamoto_2025,Pt2-1,combined,1833,55,0.4408366163735624,0.34494856638048954,-0.0012995722735538173,0.0953927064033262,0.0004953435897466774
yamamoto_2025,Pt2-2,composition_only,2026,5,0.025010678649188156,0.16826383470524986,0.0014958326776253195,0.0257872208938102,-0.000776542244622043
yamamoto_2025,Pt2-2,hallmarks_only,2026,50,0.1917786806768127,0.16826383470524986,0.0014958326776253195,0.0257872208938102,-0.000776542244622043
yamamoto_2025,Pt2-2,combined,2026,55,0.19327451335443802,0.16826383470524986,0.0014958326776253195,0.0257872208938102,-0.000776542244622043
yamamoto_2025,Pt2-3,composition_only,2111,5,0.0506507918951562,0.13824521574685644,0.0033816246863220822,0.0513891282048972,-0.0007383363097410028
yamamoto_2025,Pt2-3,hallmarks_only,2111,50,0.18551438295569056,0.13824521574685644,0.0033816246863220822,0.0513891282048972,-0.0007383363097410028
yamamoto_2025,Pt2-3,combined,2111,55,0.18889600764201264,0.13824521574685644,0.0033816246863220822,0.0513891282048972,-0.0007383363097410028
yamamoto_2025,Pt2-4,composition_only,3270,5,0.055381947638012186,0.2625571305214044,0.0060315388316471985,0.0552497154354058,0.00013223220260638602
yamamoto_2025,Pt2-4,hallmarks_only,3270,50,0.3119075393277694,0.2625571305214044,0.0060315388316471985,0.0552497154354058,0.00013223220260638602
yamamoto_2025,Pt2-4,combined,3270,55,0.3179390781594166,0.2625571305214044,0.0060315388316471985,0.0552497154354058,0.00013223220260638602
ju_2024,CPS_OV19_LtOV1,composition_only,4202,5,0.0023716783292211385,0.07091233014829912,0.0005325805620813862,0.0030008932474148,-0.0006292149181936616
ju_2024,CPS_OV19_LtOV1,hallmarks_only,4202,50,0.07275142791543887,0.07091233014829912,0.0005325805620813862,0.0030008932474148,-0.0006292149181936616
ju_2024,CPS_OV19_LtOV1,combined,4202,55,0.07328400847752026,0.07091233014829912,0.0005325805620813862,0.0030008932474148,-0.0006292149181936616
ju_2024,CPS_OV1RtOV3,composition_only,3164,5,0.0009125775631531052,0.05951472958605686,0.0010843799175189739,0.0006935697419016,0.00021900782125150518
ju_2024,CPS_OV1RtOV3,hallmarks_only,3164,50,0.05934292723169099,0.05951472958605686,0.0010843799175189739,0.0006935697419016,0.00021900782125150518
ju_2024,CPS_OV1RtOV3,combined,3164,55,0.06042730714920996,0.05951472958605686,0.0010843799175189739,0.0006935697419016,0.00021900782125150518
ju_2024,CPS_OV20RtOV4,composition_only,3035,5,0.016642521046829506,0.09701025604151325,0.0027693346864020585,0.0168502096024482,-0.00020768855561869443
ju_2024,CPS_OV20RtOV4,hallmarks_only,3035,50,0.1108834424019407,0.09701025604151325,0.0027693346864020585,0.0168502096024482,-0.00020768855561869443
ju_2024,CPS_OV20RtOV4,combined,3035,55,0.11365277708834276,0.09701025604151325,0.0027693346864020585,0.0168502096024482,-0.00020768855561869443
ju_2024,CPS_OV24RTOV4,composition_only,4479,5,0.10222154015703588,0.2586030743259522,0.012411545596406448,0.1021295182868446,9.202187019127783e-05
ju_2024,CPS_OV24RTOV4,hallmarks_only,4479,50,0.34841306888658163,0.2586030743259522,0.012411545596406448,0.1021295182868446,9.202187019127783e-05
ju_2024,CPS_OV24RTOV4,combined,4479,55,0.3608246144829881,0.2586030743259522,0.012411545596406448,0.1021295182868446,9.202187019127783e-05
ju_2024,CPS_OV34RtOV1,composition_only,3515,5,0.045168712295501345,0.23336529952092888,0.00044069454803385977,0.0452449241781327,-7.621188263135653e-05
ju_2024,CPS_OV34RtOV1,hallmarks_only,3515,50,0.27809331726839637,0.23336529952092888,0.00044069454803385977,0.0452449241781327,-7.621188263135653e-05
ju_2024,CPS_OV34RtOV1,combined,3515,55,0.2785340118164302,0.23336529952092888,0.00044069454803385977,0.0452449241781327,-7.621188263135653e-05
ju_2024,CPS_OV5LtOV4,composition_only,3585,5,0.06246803304839699,0.11162517471799838,0.010808420527329332,0.0620253240912938,0.00044270895710318836
ju_2024,CPS_OV5LtOV4,hallmarks_only,3585,50,0.16328478723906603,0.11162517471799838,0.010808420527329332,0.0620253240912938,0.00044270895710318836
ju_2024,CPS_OV5LtOV4,combined,3585,55,0.17409320776639536,0.11162517471799838,0.010808420527329332,0.0620253240912938,0.00044270895710318836
ju_2024,CPS_OV71_1,composition_only,2160,5,0.04599085524482727,0.14805101697714806,0.0067669779669053964,0.0452935712204448,0.0006972840243824677
