dataset,sample,specification,predictors,in_sample_r2,cv_r2,delta_r2_full_minus_without_b1,delta_cv_r2_full_minus_without_b1
denisenko_2022,SP1,full_primary,b1+b2+b3+b4+b9,0.06298457241152822,0.05826463565717099,0.01079466917625349,0.009998873049581802
denisenko_2022,SP1,without_b1,b2+b3+b4+b9,0.052189903235274726,0.04826576260758919,0.01079466917625349,0.009998873049581802
denisenko_2022,SP1,clean_floor_robust,b1+b3+b9,0.06232269226183662,0.06043853926873777,0.01079466917625349,0.009998873049581802
denisenko_2022,SP2,full_primary,b1+b2+b3+b4+b9,0.09404940962804109,0.08916181949985558,0.015075796877290215,0.015414734926149198
denisenko_2022,SP2,without_b1,b2+b3+b4+b9,0.07897361275075088,0.07374708457370638,0.015075796877290215,0.015414734926149198
denisenko_2022,SP2,clean_floor_robust,b1+b3+b9,0.06993861873327345,0.06763548409736198,0.015075796877290215,0.015414734926149198
denisenko_2022,SP3,full_primary,b1+b2+b3+b4+b9,0.08276549925171939,0.07350880971372709,0.06480845749754882,0.06287993890009225
denisenko_2022,SP3,without_b1,b2+b3+b4+b9,0.017957041754170566,0.010628870813634839,0.06480845749754882,0.06287993890009225
denisenko_2022,SP3,clean_floor_robust,b1+b3+b9,0.08234532763269775,0.07586600892639217,0.06480845749754882,0.06287993890009225
denisenko_2022,SP4,full_primary,b1+b2+b3+b4+b9,0.12996738356575743,0.12689958270005186,0.03919451847168476,0.038554026214475345
denisenko_2022,SP4,without_b1,b2+b3+b4+b9,0.09077286509407267,0.08834555648557652,0.03919451847168476,0.038554026214475345
denisenko_2022,SP4,clean_floor_robust,b1+b3+b9,0.124091437465629,0.12221292567737407,0.03919451847168476,0.038554026214475345
denisenko_2022,SP5,full_primary,b1+b2+b3+b4+b9,0.09279383213005876,0.08803451802468887,0.020584472234299156,0.01801780218296678
denisenko_2022,SP5,without_b1,b2+b3+b4+b9,0.0722093598957596,0.07001671584172209,0.020584472234299156,0.01801780218296678
denisenko_2022,SP5,clean_floor_robust,b1+b3+b9,0.05171289145506308,0.04685477326728249,0.020584472234299156,0.01801780218296678
denisenko_2022,SP6,full_primary,b1+b2+b3+b4+b9,0.20006158925917616,0.19567417504639273,0.07369572502702793,0.0742873412987547
denisenko_2022,SP6,without_b1,b2+b3+b4+b9,0.12636586423214824,0.12138683374763803,0.07369572502702793,0.0742873412987547
denisenko_2022,SP6,clean_floor_robust,b1+b3+b9,0.14305421438915755,0.13986978125530114,0.07369572502702793,0.0742873412987547
denisenko_2022,SP7,full_primary,b1+b2+b3+b4+b9,0.058659388199321816,0.053389559307513434,0.028624378252082527,0.028335991251839276
denisenko_2022,SP7,without_b1,b2+b3+b4+b9,0.03003500994723929,0.025053568055674158,0.028624378252082527,0.028335991251839276
denisenko_2022,SP7,clean_floor_robust,b1+b3+b9,0.057450263324785755,0.0540211215071853,0.028624378252082527,0.028335991251839276
denisenko_2022,SP8,full_primary,b1+b2+b3+b4+b9,0.18757252450799422,0.1848280112145727,0.06308266182182753,0.06314851235000674
denisenko_2022,SP8,without_b1,b2+b3+b4+b9,0.12448986268616669,0.12167949886456597,0.06308266182182753,0.06314851235000674
denisenko_2022,SP8,clean_floor_robust,b1+b3+b9,0.10485747719433236,0.10246901162340749,0.06308266182182753,0.06314851235000674
yamamoto_2025,Pt1-1,full_primary,b1+b2+b3+b4+b9,0.17202746220021203,0.16447275520173887,0.0933354944310767,0.09097482239216803
yamamoto_2025,Pt1-1,without_b1,b2+b3+b4+b9,0.07869196776913534,0.07349793280957084,0.0933354944310767,0.09097482239216803
yamamoto_2025,Pt1-1,clean_floor_robust,b1+b3+b9,0.16260439743843746,0.15849749883426478,0.0933354944310767,0.09097482239216803
yamamoto_2025,Pt1-2,full_primary,b1+b2+b3+b4+b9,0.1395426026651787,0.13001803907168008,0.06225013767336052,0.06142773094883691
yamamoto_2025,Pt1-2,without_b1,b2+b3+b4+b9,0.07729246499181819,0.06859030812284317,0.06225013767336052,0.06142773094883691
yamamoto_2025,Pt1-2,clean_floor_robust,b1+b3+b9,0.13817382079170404,0.13219638304637238,0.06225013767336052,0.06142773094883691
yamamoto_2025,Pt1-3,full_primary,b1+b2+b3+b4+b9,0.07395598605071296,0.06818825874793155,0.06379712468843857,0.06293289764692678
yamamoto_2025,Pt1-3,without_b1,b2+b3+b4+b9,0.010158861362274396,0.005255361101004774,0.06379712468843857,0.06293289764692678
yamamoto_2025,Pt1-3,clean_floor_robust,b1+b3+b9,0.07167972794744493,0.06924702510369274,0.06379712468843857,0.06293289764692678
yamamoto_2025,Pt1-4,full_primary,b1+b2+b3+b4+b9,0.1193126096722803,0.10811024818247505,0.029679715798433093,0.025453129336233893
yamamoto_2025,Pt1-4,without_b1,b2+b3+b4+b9,0.08963289387384721,0.08265711884624116,0.029679715798433093,0.025453129336233893
yamamoto_2025,Pt1-4,clean_floor_robust,b1+b3+b9,0.1160023899192465,0.10723795635407518,0.029679715798433093,0.025453129336233893
yamamoto_2025,Pt2-1,full_primary,b1+b2+b3+b4+b9,0.10295331220987258,0.0953927064033262,0.006301797454064673,0.0062350371753521205
yamamoto_2025,Pt2-1,without_b1,b2+b3+b4+b9,0.09665151475580791,0.08915766922797408,0.006301797454064673,0.0062350371753521205
yamamoto_2025,Pt2-1,clean_floor_robust,b1+b3+b9,0.07942055062953624,0.07297279128262635,0.006301797454064673,0.0062350371753521205
yamamoto_2025,Pt2-2,full_primary,b1+b2+b3+b4+b9,0.02867316439250489,0.025787220893810248,0.006625836011626474,0.005804353880646151
yamamoto_2025,Pt2-2,without_b1,b2+b3+b4+b9,0.022047328380878417,0.019982867013164096,0.006625836011626474,0.005804353880646151
yamamoto_2025,Pt2-2,clean_floor_robust,b1+b3+b9,0.020071755958127713,0.01807183215267638,0.006625836011626474,0.005804353880646151
yamamoto_2025,Pt2-3,full_primary,b1+b2+b3+b4+b9,0.053972134272166516,0.05138912820489727,0.04541208406845354,0.045390356230519235
yamamoto_2025,Pt2-3,without_b1,b2+b3+b4+b9,0.008560050203712977,0.0059987719743780366,0.04541208406845354,0.045390356230519235
yamamoto_2025,Pt2-3,clean_floor_robust,b1+b3+b9,0.05297945098076007,0.05110806172537741,0.04541208406845354,0.045390356230519235
yamamoto_2025,Pt2-4,full_primary,b1+b2+b3+b4+b9,0.06109846140263164,0.0552497154354058,0.04297034082377149,0.042414621628993565
yamamoto_2025,Pt2-4,without_b1,b2+b3+b4+b9,0.018128120578860152,0.012835093806412234,0.04297034082377149,0.042414621628993565
yamamoto_2025,Pt2-4,clean_floor_robust,b1+b3+b9,0.04619936839505012,0.04282669259683314,0.04297034082377149,0.042414621628993565
ju_2024,CPS_OV19_LtOV1,full_primary,b1+b2+b3+b4+b9,0.006479425671180872,0.0030008932474148153,0.0005850470447997802,0.00027634541920129596
ju_2024,CPS_OV19_LtOV1,without_b1,b2+b3+b4+b9,0.0058943786263810916,0.0027245478282135194,0.0005850470447997802,0.00027634541920129596
ju_2024,CPS_OV19_LtOV1,clean_floor_robust,b1+b3+b9,0.004301282547651941,0.0020122927606999186,0.0005850470447997802,0.00027634541920129596
ju_2024,CPS_OV1RtOV3,full_primary,b1+b2+b3+b4+b9,0.00699487170784896,0.0006935697419016007,0.004376168300085914,0.0039029081467442106
ju_2024,CPS_OV1RtOV3,without_b1,b2+b3+b4+b9,0.0026187034077630456,-0.00320933840484261,0.004376168300085914,0.0039029081467442106
ju_2024,CPS_OV1RtOV3,clean_floor_robust,b1+b3+b9,0.005989957998020601,0.0010033231107253737,0.004376168300085914,0.0039029081467442106
ju_2024,CPS_OV20RtOV4,full_primary,b1+b2+b3+b4+b9,0.020215392566553803,0.016850209602448207,0.006779328189206679,0.006148216796585282
ju_2024,CPS_OV20RtOV4,without_b1,b2+b3+b4+b9,0.013436064377347123,0.010701992805862925,0.006779328189206679,0.006148216796585282
ju_2024,CPS_OV20RtOV4,clean_floor_robust,b1+b3+b9,0.016875909179753346,0.014515670909617473,0.006779328189206679,0.006148216796585282
ju_2024,CPS_OV24RTOV4,full_primary,b1+b2+b3+b4+b9,0.10520333903770407,0.10212951828684469,0.042304572324356915,0.04177891832467773
ju_2024,CPS_OV24RTOV4,without_b1,b2+b3+b4+b9,0.06289876671334715,0.06035059996216696,0.042304572324356915,0.04177891832467773
ju_2024,CPS_OV24RTOV4,clean_floor_robust,b1+b3+b9,0.09769227526036461,0.09520670486128302,0.042304572324356915,0.04177891832467773
