pathway,n_samples,mean_n_spots,spearman_mean_r,spearman_median_r,spearman_sd_r,spearman_min_r,spearman_max_r,spearman_positive_fraction,spearman_direction_consistency,spearman_dominant_direction,spearman_stouffer_z,spearman_stouffer_p_nominal,pearson_mean_r,pearson_median_r,pearson_sd_r,pearson_min_r,pearson_max_r,pearson_positive_fraction,pearson_direction_consistency,pearson_dominant_direction,pearson_stouffer_z,pearson_stouffer_p_nominal
CHOLESTEROL_HOMEOSTASIS,23,2540.7391304347825,-0.027540885099730787,-0.02564880172169468,0.11719674710410737,-0.2541749625262383,0.29524513194661145,0.2608695652173913,0.7391304347826086,negative,-6.634854892699234,3.248219216759647e-11,-0.022798925632802603,-0.02150676158106482,0.12048606953736699,-0.27432468432277907,0.3005041914317559,0.34782608695652173,0.6521739130434783,negative,-5.6821423829483315,1.3301784668618074e-08
P53_PATHWAY,23,2540.7391304347825,-0.04406343298305248,-0.05284766588163815,0.11314789641685769,-0.29286261004539027,0.18657066948257794,0.30434782608695654,0.6956521739130435,negative,-10.983752653115745,4.5751483666143675e-28,-0.041296918614198444,-0.0397103511798487,0.11548019893226992,-0.28002583630574174,0.1836167191493959,0.34782608695652173,0.6521739130434783,negative,-10.350221501584,4.175187242876517e-25
IL2_STAT5_SIGNALING,23,2540.7391304347825,0.053904425092389116,0.06792321197249346,0.10723580884164668,-0.12807184029317564,0.26848472922976185,0.6521739130434783,0.6521739130434783,positive,12.275728779706535,1.2228569607728433e-34,0.05285837979139229,0.07711982632898894,0.1091151771713268,-0.13048277569816621,0.26357049495762747,0.6521739130434783,0.6521739130434783,positive,12.058122586700502,1.75743405527648e-33
MITOTIC_SPINDLE,23,2540.7391304347825,0.028282280704056955,0.042610125320296656,0.1353782775608019,-0.27326685796099826,0.2513439654796335,0.6521739130434783,0.6521739130434783,positive,5.516755945732917,3.4531444547415314e-08,0.027977513697856334,0.038668243395754136,0.14333849473508167,-0.28382627147320494,0.2615043720050538,0.6521739130434783,0.6521739130434783,positive,5.345866745472772,8.998539438169137e-08
E2F_TARGETS,23,2540.7391304347825,0.028155156110482183,0.03395790670717055,0.10102006477596796,-0.1775807590812271,0.2807470054743319,0.6521739130434783,0.6521739130434783,positive,6.72665855536711,1.7360346256531673e-11,0.026306548400320283,0.02643045448329746,0.10999273879536754,-0.182797714866955,0.2965359799046151,0.6956521739130435,0.6956521739130435,positive,6.2609797071850055,3.8256631263967706e-10
FATTY_ACID_METABOLISM,23,2540.7391304347825,-0.008456159481385473,-0.01637812761714963,0.13733777091162083,-0.19421616302082706,0.36627237462371726,0.34782608695652173,0.6521739130434783,negative,-3.0440772705086374,0.002333951847645397,-0.00560242640220154,-0.03417127850612493,0.14847137278170622,-0.20684836910193244,0.3868514467763978,0.34782608695652173,0.6521739130434783,negative,-2.356161893509,0.01846486836791352
PEROXISOME,23,2540.7391304347825,-0.01275063725231518,-0.031673748474034744,0.14771978277381745,-0.27371753960080963,0.3780896485136109,0.34782608695652173,0.6521739130434783,negative,-2.0846580894244253,0.03710034752200432,-0.013543647715798345,-0.03118166154742425,0.15618047877844693,-0.31821148457751847,0.38920427810851455,0.34782608695652173,0.6521739130434783,negative,-2.0934890467961065,0.03630552082247232
APOPTOSIS,23,2540.7391304347825,-0.03370995639420611,-0.046643997059409754,0.1370814606812242,-0.25617276001770006,0.2366269890004321,0.34782608695652173,0.6521739130434783,negative,-9.727769405663057,2.295717359217868e-22,-0.032409639243423924,-0.052208519315847204,0.14275117625445735,-0.27123809102775776,0.24874043967070014,0.391304347826087,0.6086956521739131,negative,-9.329037822628516,1.0683633038071198e-20
UNFOLDED_PROTEIN_RESPONSE,23,2540.7391304347825,-0.03670200651326969,-0.019549819301392064,0.14622712401840762,-0.4502475472340394,0.32879402181811046,0.34782608695652173,0.6521739130434783,negative,-7.469863283579101,8.027818348978044e-14,-0.03874591458170156,-0.013394620331115525,0.1561602582393887,-0.49575682820582107,0.34457729516193414,0.30434782608695654,0.6956521739130435,negative,-7.84416002104032,4.358610236979309e-15
INFLAMMATORY_RESPONSE,23,2540.7391304347825,0.01859006526219911,0.013216909696269536,0.1242948044045023,-0.2148896396168842,0.30564078731043903,0.6086956521739131,0.6086956521739131,positive,3.025220280125981,0.002484521026792853,0.02781139661535486,0.03239303148877425,0.13549904241695815,-0.22434237817087085,0.3290611204601005,0.5652173913043478,0.5652173913043478,positive,5.205191858281722,1.9379627657496773e-07
TNFA_SIGNALING_VIA_NFKB,23,2540.7391304347825,0.01468137240072529,0.06455144480102312,0.14870407923362772,-0.28992691784694097,0.21047832018949392,0.6086956521739131,0.6086956521739131,positive,1.7599082952732596,0.07842335661589613,0.021667374342537737,0.057414536499937836,0.1548978072254729,-0.27669996495914734,0.22157939626384493,0.6521739130434783,0.6521739130434783,positive,3.4083752328886385,0.0006535096265214285
ADIPOGENESIS,23,2540.7391304347825,0.012942572758095863,0.02220325443419281,0.13673787563253922,-0.33745147574050377,0.2452370272325229,0.6086956521739131,0.6086956521739131,positive,3.952211406188563,7.743228573648012e-05,0.0182605938743902,0.03790383916504923,0.14455009458930201,-0.3480839860777746,0.2527467817547271,0.6086956521739131,0.6086956521739131,positive,5.023129223509889,5.083631512912163e-07
INTERFERON_GAMMA_RESPONSE,23,2540.7391304347825,-0.002514557558651863,-0.02182324834968408,0.12281960316048944,-0.2951403105354876,0.23512113251675582,0.391304347826087,0.6086956521739131,negative,-1.9331263015339772,0.05322064074593522,-0.0034893956140222017,-0.012009702744608336,0.13707080392664472,-0.35558138650368004,0.25978705553961834,0.34782608695652173,0.6521739130434783,negative,-2.258230913830484,0.023931266886900057
