dataset,sample,sample_label,site_group,brca_group,pathway,n_spots,spearman_r,spearman_p,pearson_r,pearson_p
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,ADIPOGENESIS,2549,0.01835928480696078,0.3541653831891646,0.013995043243742967,0.4800236862192381
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,ALLOGRAFT_REJECTION,2549,-0.0291953812034516,0.1405902696470448,-0.01997791820606951,0.31333759455850974
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,ANDROGEN_RESPONSE,2549,-0.08938513583300962,6.193358919827961e-06,-0.09572321646362966,1.2880559153275087e-06
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,ANGIOGENESIS,2549,0.19929699109024668,3.0162678241251027e-24,0.2087942117568358,1.6705949454810116e-26
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,APICAL_JUNCTION,2549,-0.2342357909455239,4.139359659245001e-33,-0.23852542541819585,2.637261482123737e-34
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,APICAL_SURFACE,2549,0.14095140038693452,8.771520415131115e-13,0.15236080435777197,1.0442126880166314e-14
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,APOPTOSIS,2549,-0.23418823690263144,4.26633678952979e-33,-0.2294537650031414,8.352385840316147e-32
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,BILE_ACID_METABOLISM,2549,0.159650482276986,5.125750683391551e-16,0.16335287704011361,1.0494245247116676e-16
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,CHOLESTEROL_HOMEOSTASIS,2549,-0.0035440992342858626,0.8580586731071693,-0.007357904590165807,0.7104096882908301
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,COAGULATION,2549,-0.025663035712519613,0.19523626477879363,-0.010525635614106793,0.5953021098055636
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,COMPLEMENT,2549,-0.007135672810331848,0.7187790615910297,0.009596098421591176,0.6282029905957472
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,DNA_REPAIR,2549,0.13804882281246386,2.5618815591379124e-12,0.14575078762598698,1.4192028975011545e-13
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,E2F_TARGETS,2549,0.046030142750886766,0.02012311472380161,0.049314511718371624,0.012771928774820326
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,EPITHELIAL_MESENCHYMAL_TRANSITION,2549,0.029463056731881883,0.1369850019004119,0.053225812119359506,0.0071917593087708525
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,ESTROGEN_RESPONSE_EARLY,2549,0.02951716655518773,0.13626494516418466,0.0339754627212483,0.08634631675966199
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,ESTROGEN_RESPONSE_LATE,2549,-0.08931373666043053,6.300265348080484e-06,-0.09572881116705226,1.2862140981622711e-06
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,FATTY_ACID_METABOLISM,2549,-0.04407694767559075,0.02605907713434007,-0.048690574340288915,0.013950954826897125
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,G2M_CHECKPOINT,2549,0.05839663710491289,0.0031841398430717868,0.0570882311671202,0.0039367397832737756
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,GLYCOLYSIS,2549,0.13127908398474217,2.8614303589482458e-11,0.1430164035156085,4.036371905514597e-13
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,HEDGEHOG_SIGNALING,2549,-0.04902213412751406,0.013312980804362794,-0.05052572942373797,0.010732120677574335
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,HEME_METABOLISM,2549,0.08389322279897263,2.225563982547166e-05,0.10081785851336701,3.386550641089909e-07
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,HYPOXIA,2549,0.11225100379047719,1.327604910821615e-08,0.120063285232578,1.1962625186853544e-09
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,IL2_STAT5_SIGNALING,2549,0.08574520323263447,1.4580432026058104e-05,0.08755696444353585,9.560661070746851e-06
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,IL6_JAK_STAT3_SIGNALING,2549,-0.024772749429312728,0.21119158390787185,-0.02212079707966549,0.2642444321119862
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,INFLAMMATORY_RESPONSE,2549,0.056334069614809135,0.004440619068438406,0.057068520387488976,0.003949219620669116
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,INTERFERON_ALPHA_RESPONSE,2549,0.05223929859235846,0.008340998379629231,0.050408509095158184,0.010916023357022433
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,INTERFERON_GAMMA_RESPONSE,2549,0.01403650550964871,0.47872353873837425,-0.0012400813101955206,0.9501024917806389
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,KRAS_SIGNALING_DN,2549,-0.08006052866268276,5.197141178595707e-05,-0.09861084317974106,6.089819055903065e-07
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,KRAS_SIGNALING_UP,2549,0.12995503805529818,4.522971518596288e-11,0.15254281505805198,9.702041012904243e-15
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,MITOTIC_SPINDLE,2549,-0.20034851203963497,1.7184607548713115e-24,-0.20463581523135413,1.6778439004147309e-25
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,MTORC1_SIGNALING,2549,-0.020865477494374642,0.29231978891498317,-0.02041298474280348,0.30291383550161866
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,MYC_TARGETS_V1,2549,0.15037577453650985,2.3145308805555184e-14,0.15116863539387748,1.6863424164191583e-14
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,MYC_TARGETS_V2,2549,-0.10530921485291465,9.874015680576923e-08,-0.09487276342449909,1.5995649365022736e-06
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,MYOGENESIS,2549,-0.15272340254567593,9.018796727830429e-15,-0.1620655508860163,1.829306642431877e-16
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,NOTCH_SIGNALING,2549,0.10367537569392969,1.5552362703466954e-07,0.10168468692874737,2.6803530597913057e-07
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,OXIDATIVE_PHOSPHORYLATION,2549,0.11869938547891017,1.8418653135758174e-09,0.1266704823761949,1.3805639435160094e-10
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,P53_PATHWAY,2549,0.04409358637380172,0.02600272310691536,0.042595613862938184,0.031517865748636784
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,PANCREAS_BETA_CELLS,2549,0.0699402476988019,0.0004097664958687663,0.065728769059945,0.000898716485470551
denisenko_2022,SP1,denisenko_2022__SP1,primary tumor,unknown,PEROXISOME,2549,-0.07357286880711787,0.00020101588088770994,-0.06159874845637906,0.0018620015963027314
