dataset,sample,sample_label,balance,balance_label,malignant_threshold,low_mean,high_mean,high_minus_low
denisenko_2022,SP1,denisenko_2022__SP1,b1,b1 Malignant vs TME,0.1,7.033629597205342,7.428592872447124,0.394963275241782
denisenko_2022,SP2,denisenko_2022__SP2,b1,b1 Malignant vs TME,0.1,7.494451050683896,7.738800131635937,0.24434908095204122
denisenko_2022,SP3,denisenko_2022__SP3,b1,b1 Malignant vs TME,0.1,6.842483819815796,7.476049509236661,0.6335656894208643
denisenko_2022,SP4,denisenko_2022__SP4,b1,b1 Malignant vs TME,0.1,6.841499534149677,7.595133292908543,0.7536337587588662
denisenko_2022,SP5,denisenko_2022__SP5,b1,b1 Malignant vs TME,0.1,8.444923603660103,8.962648287191158,0.5177246835310552
denisenko_2022,SP6,denisenko_2022__SP6,b1,b1 Malignant vs TME,0.1,7.004954375889709,8.023033071655309,1.0180786957655998
denisenko_2022,SP7,denisenko_2022__SP7,b1,b1 Malignant vs TME,0.1,6.728059909145489,7.662246362669587,0.9341864535240987
denisenko_2022,SP8,denisenko_2022__SP8,b1,b1 Malignant vs TME,0.1,6.543016441638776,6.8784589433592975,0.3354425017205216
ju_2024,CPS_OV19_LtOV1,ju_2024__CPS_OV19_LtOV1,b1,b1 Malignant vs TME,0.1,7.4257995323850015,7.148448389638001,-0.27735114274700035
ju_2024,CPS_OV1RtOV3,ju_2024__CPS_OV1RtOV3,b1,b1 Malignant vs TME,0.1,7.233519041904652,7.638661654349823,0.4051426124451716
ju_2024,CPS_OV20RtOV4,ju_2024__CPS_OV20RtOV4,b1,b1 Malignant vs TME,0.1,7.393512668557628,7.613011805270901,0.2194991367132726
ju_2024,CPS_OV24RTOV4,ju_2024__CPS_OV24RTOV4,b1,b1 Malignant vs TME,0.1,7.172818098367819,7.724708193126356,0.5518900947585372
ju_2024,CPS_OV34RtOV1,ju_2024__CPS_OV34RtOV1,b1,b1 Malignant vs TME,0.1,8.102393128348197,8.497114347313065,0.3947212189648681
ju_2024,CPS_OV5LtOV4,ju_2024__CPS_OV5LtOV4,b1,b1 Malignant vs TME,0.1,6.6941274509158015,7.49418968570109,0.8000622347852886
ju_2024,CPS_OV71_1,ju_2024__CPS_OV71_1,b1,b1 Malignant vs TME,0.1,5.814135550121342,6.910830382007971,1.0966948318866292
yamamoto_2025,Pt1-1,yamamoto_2025__Pt1-1,b1,b1 Malignant vs TME,0.1,6.463459999728873,7.027739925865959,0.5642799261370861
yamamoto_2025,Pt1-2,yamamoto_2025__Pt1-2,b1,b1 Malignant vs TME,0.1,6.80524709722711,7.938155423047141,1.132908325820031
yamamoto_2025,Pt1-3,yamamoto_2025__Pt1-3,b1,b1 Malignant vs TME,0.1,6.848544855019093,6.891570330187273,0.04302547516817956
yamamoto_2025,Pt1-4,yamamoto_2025__Pt1-4,b1,b1 Malignant vs TME,0.1,7.8179896327700655,8.582979660894502,0.7649900281244362
yamamoto_2025,Pt2-1,yamamoto_2025__Pt2-1,b1,b1 Malignant vs TME,0.1,7.72539600789347,7.5736830594494675,-0.1517129484440023
yamamoto_2025,Pt2-2,yamamoto_2025__Pt2-2,b1,b1 Malignant vs TME,0.1,7.0455514811065285,7.493238860669253,0.44768737956272453
yamamoto_2025,Pt2-3,yamamoto_2025__Pt2-3,b1,b1 Malignant vs TME,0.1,6.271288548732523,6.793315106844392,0.522026558111869
yamamoto_2025,Pt2-4,yamamoto_2025__Pt2-4,b1,b1 Malignant vs TME,0.1,6.827208726414315,7.29359457109393,0.46638584467961497
denisenko_2022,SP1,denisenko_2022__SP1,b1,b1 Malignant vs TME,0.2,7.196698928416801,7.469615437546059,0.27291650912925824
denisenko_2022,SP2,denisenko_2022__SP2,b1,b1 Malignant vs TME,0.2,7.763583696688995,7.919529266065768,0.15594556937677329
denisenko_2022,SP3,denisenko_2022__SP3,b1,b1 Malignant vs TME,0.2,7.246413030000804,7.55774358467718,0.3113305546763758
denisenko_2022,SP4,denisenko_2022__SP4,b1,b1 Malignant vs TME,0.2,7.074192293434896,7.6856716451862095,0.6114793517513135
denisenko_2022,SP5,denisenko_2022__SP5,b1,b1 Malignant vs TME,0.2,8.872770488962697,8.820730400077915,-0.052040088884782065
denisenko_2022,SP6,denisenko_2022__SP6,b1,b1 Malignant vs TME,0.2,7.637107725590514,8.04250919242746,0.40540146683694545
denisenko_2022,SP7,denisenko_2022__SP7,b1,b1 Malignant vs TME,0.2,7.186487712787898,7.774280744517877,0.5877930317299791
denisenko_2022,SP8,denisenko_2022__SP8,b1,b1 Malignant vs TME,0.2,7.040973144386959,6.935903923516514,-0.10506922087044579
ju_2024,CPS_OV19_LtOV1,ju_2024__CPS_OV19_LtOV1,b1,b1 Malignant vs TME,0.2,7.644225219724103,7.281326960741854,-0.36289825898224937
