balance,balance_label,malignant_threshold,group,median,q25,q75,n_samples
b1,b1 Malignant vs TME,0.1,HIGH SNAI1-ac,7.5736830594494675,7.221021480365966,7.731754162381147,23
b1,b1 Malignant vs TME,0.1,LOW SNAI1-ac,7.004954375889709,6.7666535031862995,7.409656100471315,23
b1,b1 Malignant vs TME,0.2,HIGH SNAI1-ac,7.676536203219249,7.34398156545865,7.869205148655965,23
b1,b1 Malignant vs TME,0.2,LOW SNAI1-ac,7.297932894308287,7.057582718910927,7.640666472657308,23
b1,b1 Malignant vs TME,0.3,HIGH SNAI1-ac,7.80413448284906,7.525626924202564,7.940352615312061,23
b1,b1 Malignant vs TME,0.3,LOW SNAI1-ac,7.612118035684696,7.41414526549541,7.880968243791223,23
b1,b1 Malignant vs TME,0.4,HIGH SNAI1-ac,7.926687858300955,7.678030545462812,8.067229773878825,23
b1,b1 Malignant vs TME,0.4,LOW SNAI1-ac,7.827238956569354,7.702784316373422,8.178700617277046,23
b1,b1 Malignant vs TME,0.5,HIGH SNAI1-ac,8.078156978161996,7.838908874984894,8.302049656932162,23
b1,b1 Malignant vs TME,0.5,LOW SNAI1-ac,8.232865838459663,7.906505389209333,8.422373252005745,23
b1,b1 Malignant vs TME,0.6,HIGH SNAI1-ac,8.283097171513168,7.9401879041996555,8.51858811524157,23
b1,b1 Malignant vs TME,0.6,LOW SNAI1-ac,8.541875681640212,8.154353774527214,8.812630705098371,23
b1,b1 Malignant vs TME,0.7,HIGH SNAI1-ac,8.429084989284577,7.951375570971945,8.696200984348161,23
b1,b1 Malignant vs TME,0.7,LOW SNAI1-ac,8.871452911928733,8.406119733002143,9.068915720058877,23
b1,b1 Malignant vs TME,0.8,HIGH SNAI1-ac,8.473226153938672,7.791546368988783,8.820344209886585,23
b1,b1 Malignant vs TME,0.8,LOW SNAI1-ac,9.021716532878344,8.455615192229418,9.343715303342835,23
b1,b1 Malignant vs TME,0.9,HIGH SNAI1-ac,7.927533361447351,6.976706903173151,8.512803540365141,23
b1,b1 Malignant vs TME,0.9,LOW SNAI1-ac,8.457753533675495,7.931248540138057,8.970815950170879,23
b1,b1 Malignant vs TME,1.0,HIGH SNAI1-ac,4.857883835970847,4.857883835970846,4.857883835970847,23
b1,b1 Malignant vs TME,1.0,LOW SNAI1-ac,4.857883835970847,4.857883835970846,4.857883835970847,23
b2,b2 Stromal vs immune,0.1,HIGH SNAI1-ac,4.549229223795448,3.3432624526234433,6.061721747594096,23
b2,b2 Stromal vs immune,0.1,LOW SNAI1-ac,6.165861000537817,5.105058618637919,7.037329538526954,23
b2,b2 Stromal vs immune,0.2,HIGH SNAI1-ac,4.421444781505534,3.0078140380627927,5.88162469507772,23
b2,b2 Stromal vs immune,0.2,LOW SNAI1-ac,5.839368104427217,4.673345068027358,6.554441231133566,23
b2,b2 Stromal vs immune,0.3,HIGH SNAI1-ac,3.951981514124288,2.650279826077262,5.601328356170088,23
b2,b2 Stromal vs immune,0.3,LOW SNAI1-ac,5.458481848702861,4.145031341478214,5.9721324645991505,23
b2,b2 Stromal vs immune,0.4,HIGH SNAI1-ac,3.2127152227702918,2.353553498103195,5.126158310391004,23
b2,b2 Stromal vs immune,0.4,LOW SNAI1-ac,4.673006430408623,3.485232640313712,5.826376905564857,23
b2,b2 Stromal vs immune,0.5,HIGH SNAI1-ac,2.7909958614938675,1.8059076336970774,4.352214799844823,23
b2,b2 Stromal vs immune,0.5,LOW SNAI1-ac,3.987694187447444,2.8030690486942653,4.977625967539762,23
b2,b2 Stromal vs immune,0.6,HIGH SNAI1-ac,2.094516313017349,0.9616141211622988,3.7533388039035085,23
b2,b2 Stromal vs immune,0.6,LOW SNAI1-ac,3.130040660054464,2.021665573180317,3.664905309281858,23
b2,b2 Stromal vs immune,0.7,HIGH SNAI1-ac,1.736648621624196,0.4541656688262311,2.9031203011555444,23
b2,b2 Stromal vs immune,0.7,LOW SNAI1-ac,1.7621811883170702,1.0923961778255946,2.71582406608716,23
b2,b2 Stromal vs immune,0.8,HIGH SNAI1-ac,1.366447843830379,0.06412427937085668,1.915078199500556,23
b2,b2 Stromal vs immune,0.8,LOW SNAI1-ac,0.7212537296785253,0.15402821218290305,1.4606259032217401,23
b2,b2 Stromal vs immune,0.9,HIGH SNAI1-ac,0.324946832213806,-0.40484692826398416,0.8701239562023241,23
b2,b2 Stromal vs immune,0.9,LOW SNAI1-ac,-0.1082050176100186,-0.6163256665906787,0.4372574508193767,23
b2,b2 Stromal vs immune,1.0,HIGH SNAI1-ac,-3.3531151756495756e-16,-3.353115175649576e-16,-3.353115175649575e-16,23
b2,b2 Stromal vs immune,1.0,LOW SNAI1-ac,-3.3531151756495756e-16,-3.353115175649576e-16,-3.353115175649575e-16,23
b3,b3 CAF vs endothelial,0.1,HIGH SNAI1-ac,-0.2973464586864949,-1.0016592502178234,0.11380102615053796,23
b3,b3 CAF vs endothelial,0.1,LOW SNAI1-ac,-0.0366714999772405,-0.8241746603844997,1.7561148382324983,23
b3,b3 CAF vs endothelial,0.2,HIGH SNAI1-ac,-0.3409690821141473,-1.1333561372194914,0.059516921938636946,23
b3,b3 CAF vs endothelial,0.2,LOW SNAI1-ac,-0.1517094517099015,-0.9101454602923565,1.315715950804056,23
b3,b3 CAF vs endothelial,0.3,HIGH SNAI1-ac,-0.5690955859576229,-1.3575483141419435,-0.0009483993865701534,23
b3,b3 CAF vs endothelial,0.3,LOW SNAI1-ac,-0.4599608285357433,-1.0361749023782205,0.8755272895908288,23
b3,b3 CAF vs endothelial,0.4,HIGH SNAI1-ac,-0.8283561644968932,-1.4890539146502668,-0.1787812743799393,23
b3,b3 CAF vs endothelial,0.4,LOW SNAI1-ac,-0.7802211363866088,-1.1747930951945242,0.48939899669286147,23
b3,b3 CAF vs endothelial,0.5,HIGH SNAI1-ac,-0.9589630556634436,-1.681835093107114,-0.3759989138764066,23
b3,b3 CAF vs endothelial,0.5,LOW SNAI1-ac,-1.054147612850678,-1.5436145462757191,0.32589387822565874,23
b3,b3 CAF vs endothelial,0.6,HIGH SNAI1-ac,-1.2157103075984057,-1.8017856303836468,-0.684570941038931,23
b3,b3 CAF vs endothelial,0.6,LOW SNAI1-ac,-1.2949661907877466,-2.055963496264482,-0.21158891964247675,23
b3,b3 CAF vs endothelial,0.7,HIGH SNAI1-ac,-1.3117658089352164,-1.7566571434229052,-0.9031854848591161,23
b3,b3 CAF vs endothelial,0.7,LOW SNAI1-ac,-1.5834596170116322,-2.115529337601772,-0.2772114658981792,23
b3,b3 CAF vs endothelial,0.8,HIGH SNAI1-ac,-1.28525392440295,-1.739016631101669,-0.7874748549608359,23
b3,b3 CAF vs endothelial,0.8,LOW SNAI1-ac,-1.226870725890435,-1.7045576412923207,-0.42603495008404413,23
b3,b3 CAF vs endothelial,0.9,HIGH SNAI1-ac,-0.5864417328486985,-1.3406393477977736,-0.3763206143728546,23
b3,b3 CAF vs endothelial,0.9,LOW SNAI1-ac,-0.8342835804237551,-1.2297738111839225,-0.3724290346867365,23
b3,b3 CAF vs endothelial,1.0,HIGH SNAI1-ac,-4.5484826319976526e-18,-4.5484826319976526e-18,-4.5484826319976526e-18,23
b3,b3 CAF vs endothelial,1.0,LOW SNAI1-ac,-4.5484826319976526e-18,-4.5484826319976526e-18,-4.5484826319976526e-18,23
b4,b4 Myeloid vs lymphoid,0.1,HIGH SNAI1-ac,1.3395168675614078,0.792316409317151,1.73380908172278,23
b4,b4 Myeloid vs lymphoid,0.1,LOW SNAI1-ac,1.9333359248107684,0.7737866439890954,2.608232921982162,23
b4,b4 Myeloid vs lymphoid,0.2,HIGH SNAI1-ac,1.151669028244389,0.7559348654103514,1.669694963991942,23
b4,b4 Myeloid vs lymphoid,0.2,LOW SNAI1-ac,1.7164028349051357,0.7921100969987218,2.3990405902717367,23
b4,b4 Myeloid vs lymphoid,0.3,HIGH SNAI1-ac,0.9434960070786496,0.7073685036954623,1.556294795727551,23
