dataset,sample,sample_label,malignant_threshold,n_spots,n_exact_1_or_more,eligible_for_quartile_contrast
denisenko_2022,SP1,denisenko_2022__SP1,0.1,2386,149,True
denisenko_2022,SP1,denisenko_2022__SP1,0.2,2214,149,True
denisenko_2022,SP1,denisenko_2022__SP1,0.3,1907,149,True
denisenko_2022,SP1,denisenko_2022__SP1,0.4,1597,149,True
denisenko_2022,SP1,denisenko_2022__SP1,0.5,1237,149,True
denisenko_2022,SP1,denisenko_2022__SP1,0.6,907,149,True
denisenko_2022,SP1,denisenko_2022__SP1,0.7,628,149,True
denisenko_2022,SP1,denisenko_2022__SP1,0.8,437,149,True
denisenko_2022,SP1,denisenko_2022__SP1,0.9,276,149,True
denisenko_2022,SP1,denisenko_2022__SP1,1.0,149,149,True
denisenko_2022,SP2,denisenko_2022__SP2,0.1,1680,100,True
denisenko_2022,SP2,denisenko_2022__SP2,0.2,1515,100,True
denisenko_2022,SP2,denisenko_2022__SP2,0.3,1375,100,True
denisenko_2022,SP2,denisenko_2022__SP2,0.4,1193,100,True
denisenko_2022,SP2,denisenko_2022__SP2,0.5,991,100,True
denisenko_2022,SP2,denisenko_2022__SP2,0.6,767,100,True
denisenko_2022,SP2,denisenko_2022__SP2,0.7,511,100,True
denisenko_2022,SP2,denisenko_2022__SP2,0.8,316,100,True
denisenko_2022,SP2,denisenko_2022__SP2,0.9,194,100,True
denisenko_2022,SP2,denisenko_2022__SP2,1.0,100,100,True
denisenko_2022,SP3,denisenko_2022__SP3,0.1,1325,77,True
denisenko_2022,SP3,denisenko_2022__SP3,0.2,1044,77,True
denisenko_2022,SP3,denisenko_2022__SP3,0.3,705,77,True
denisenko_2022,SP3,denisenko_2022__SP3,0.4,559,77,True
denisenko_2022,SP3,denisenko_2022__SP3,0.5,446,77,True
denisenko_2022,SP3,denisenko_2022__SP3,0.6,352,77,True
denisenko_2022,SP3,denisenko_2022__SP3,0.7,265,77,True
denisenko_2022,SP3,denisenko_2022__SP3,0.8,206,77,True
denisenko_2022,SP3,denisenko_2022__SP3,0.9,143,77,True
denisenko_2022,SP3,denisenko_2022__SP3,1.0,77,77,True
denisenko_2022,SP4,denisenko_2022__SP4,0.1,2626,148,True
denisenko_2022,SP4,denisenko_2022__SP4,0.2,2400,148,True
