metric,pathway,pathway_label,thresholds_averaged,n_sections,n_unique_crs_values,spearman_rho,spearman_p,spearman_p_holm_all_100
high_group_mean_across_thresholds,HALLMARK_ADIPOGENESIS_score,Adipogenesis,0.50;0.60;0.70;0.80;0.90,8,3,0.37796447300922725,0.355917683749582,1.0
high_group_mean_across_thresholds,HALLMARK_ALLOGRAFT_REJECTION_score,Allograft rejection,0.50;0.60;0.70;0.80;0.90,8,3,0.1259881576697424,0.7662600657593479,1.0
high_group_mean_across_thresholds,HALLMARK_ANDROGEN_RESPONSE_score,Androgen response,0.50;0.60;0.70;0.80;0.90,8,3,-0.18898223650461363,0.6540046202515182,1.0
high_group_mean_across_thresholds,HALLMARK_ANGIOGENESIS_score,Angiogenesis,0.50;0.60;0.70;0.80;0.90,8,3,-0.0629940788348712,0.8821982008249135,1.0
high_group_mean_across_thresholds,HALLMARK_APICAL_JUNCTION_score,Apical junction,0.50;0.60;0.70;0.80;0.90,8,3,-0.5039526306789696,0.20288444914997822,1.0
high_group_mean_across_thresholds,HALLMARK_APICAL_SURFACE_score,Apical surface,0.50;0.60;0.70;0.80;0.90,8,3,0.2519763153394848,0.5471616124270275,1.0
high_group_mean_across_thresholds,HALLMARK_APOPTOSIS_score,Apoptosis,0.50;0.60;0.70;0.80;0.90,8,3,0.37796447300922725,0.355917683749582,1.0
high_group_mean_across_thresholds,HALLMARK_BILE_ACID_METABOLISM_score,Bile acid metabolism,0.50;0.60;0.70;0.80;0.90,8,3,-0.37796447300922725,0.355917683749582,1.0
high_group_mean_across_thresholds,HALLMARK_CHOLESTEROL_HOMEOSTASIS_score,Cholesterol homeostasis,0.50;0.60;0.70;0.80;0.90,8,3,0.5039526306789696,0.20288444914997822,1.0
high_group_mean_across_thresholds,HALLMARK_COAGULATION_score,Coagulation,0.50;0.60;0.70;0.80;0.90,8,3,0.944911182523068,0.00040087754455410873,0.04008775445541087
high_group_mean_across_thresholds,HALLMARK_COMPLEMENT_score,Complement,0.50;0.60;0.70;0.80;0.90,8,3,0.44095855184409843,0.274128124583022,1.0
