"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","comparison","direction","database"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","51/153","176/3549",4.46137321596191e-31,1.60609435774629e-29,1.2679692297997e-29,"FMOD/PDGFRB/COMP/TGFBR3/VCAN/MMP1/APLP1/HTRA1/FBN1/SFRP1/LUM/COL8A2/GAS1/DKK1/COL12A1/FBN2/MXRA5/OXTR/THBS1/CDH11/CCN2/COL11A1/FBLN2/WNT5A/TGFBI/DAB2/BGN/TPM1/ECM1/MMP3/SERPINE1/IL32/COL4A2/MFAP5/NNMT/COL4A1/TIMP3/RHOB/PMP22/MYL9/MATN3/EDIL3/TNFRSF11B/TGM2/TAGLN/CALD1/FSTL1/COL3A1/COL1A1/CCN1/VIM",51,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","16/153","101/3549",4.3639219519522e-06,7.85505951351395e-05,6.20136277382681e-05,"VWF/COMP/A2M/MMP1/HTRA1/FBN1/MAFF/OLR1/THBS1/F2RL2/SERPINB2/MMP3/SERPINE1/DPP4/TIMP3/GDA",16,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","17/153","159/3549",0.000386264760545459,0.00350810681462364,0.00276955801154498,"PTH1R/IL1RL1/SLC2A3/APLP1/MAFF/SPRY4/SYT11/ITIH5/MAP6/F2RL2/ECM1/GUCY1B1/BMP2/SHE/RHOB/PTGER2/TGM2",17,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","18/153","174/3549",0.000389789646069293,0.00350810681462364,0.00276955801154498,"VWF/CADM3/ADAMTS5/FLNC/NFASC/VCAN/ICAM5/FBN1/ICAM1/ATP1A3/FSCN1/CDH11/TGFBI/LAYN/NEXN/ACTC1/MYL9/TNFRSF11B",18,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","14/153","122/3549",0.000633545412809333,0.0045615269722272,0.00360120550438989,"PDGFRB/TGFBR3/AMPH/LTBP1/COL11A1/DAB2/SERPINE1/SCN8A/DLC1/PMP22/COL3A1/COL1A1/CCN1/SDC2",14,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","6/153","30/3549",0.0014620483540914,0.00877229012454839,0.00692549220359084,"VCAN/LUM/FGFR1/OLR1/FSTL1/COL3A1",6,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","14/153","178/3549",0.0197852551456751,0.101752740749186,0.0803311111177786,"SLC2A3/EDN2/MAFF/CCN2/TGFBI/HOXB9/BGN/GPC4/SERPINE1/CHST2/TMEM45A/TGM2/CCN1/SDC2",14,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","12/153","158/3549",0.0379649714708872,0.170842371618993,0.13487555654131,"FST/AEBP1/FABP3/DES/TNNC1/EFS/ACTC1/COL4A2/PTGIS/TAGLN/COL3A1/COL1A1",12,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","5/153","47/3549",0.0498308257947385,0.171348705978618,0.135275294193646,"NOG/SMAD6/THBS1/SERPINE1/BMP2",5,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","11/153","147/3549",0.0502744487116877,0.171348705978618,0.135275294193646,"TENT5C/EDN2/GPR3/TGFB2/SERPINB2/TCF7L1/CHST2/ACTC1/KRT5/SELENOP/THRB",11,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","11/153","148/3549",0.0523565490490222,0.171348705978618,0.135275294193646,"SCN1B/ICAM1/IL7R/OLR1/RNF144B/SERPINE1/CHST2/IL1R1/PDPN/PTGER2/AXL",11,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
