"comparison","gene","log2FC","padj","direction"
"PEO4_SNAI1_vs_GFP","RP5-876B10.7",-7.12838715070271,5.51145772663996e-09,"DOWN"
"PEO4_SNAI1_vs_GFP","CTC-463N11.4",-5.8393835994995,0.00152455711966455,"DOWN"
"PEO4_SNAI1_vs_GFP","CYP24A1",-6.68732114762014,0,"DOWN"
"PEO4_SNAI1_vs_GFP","BIVM-ERCC5",6.9095687918669,1.09073818270486e-07,"UP"
"PEO4_SNAI1_vs_GFP","TMEM132E",-2.74636216263899,5.47753410416512e-07,"DOWN"
"PEO4_SNAI1_vs_GFP","ITGB6",-5.77213726488358,0,"DOWN"
"PEO4_SNAI1_vs_GFP","APLN",1.9547112397615,0.00512053930491381,"UP"
"PEO4_SNAI1_vs_GFP","RP11-495L18.2",4.03557266323708,2.39990021140328e-10,"UP"
"PEO4_SNAI1_vs_GFP","SNAI1",4.11568999508519,0,"UP"
"PEO4_SNAI1_vs_GFP","CASS4",3.7880432216979,2.59906679511702e-12,"UP"
"PEO4_SNAI1_vs_GFP","GGT5",2.93529455334891,3.40097877833026e-06,"UP"
"PEO4_SNAI1_vs_GFP","EPPK1",-1.96606330970294,0.00238001553124344,"DOWN"
"PEO4_SNAI1_vs_GFP","IL24",-1.97775176391243,0.0343224888676304,"DOWN"
"PEO4_SNAI1_vs_GFP","ARC",3.69198587772069,1.15392073519471e-08,"UP"
"PEO4_SNAI1_vs_GFP","GFRA2",1.98564592823491,0.0229128820948456,"UP"
"PEO4_SNAI1_vs_GFP","SSTR1",4.01409141813591,0.00114759105228335,"UP"
"PEO4_SNAI1_vs_GFP","GNL3LP1",6.14893566209127,0.000170633924434553,"UP"
"PEO4_SNAI1_vs_GFP","RP11-553L6.5",1.83752655318538,0.0129482490682656,"UP"
"PEO4_SNAI1_vs_GFP","CSPG4",3.89018879397164,0,"UP"
"PEO4_SNAI1_vs_GFP","SMPDL3B",-2.1692803942375,0.00217007992353677,"DOWN"
"PEO4_SNAI1_vs_GFP","INSYN1",4.35488115257618,0,"UP"
"PEO4_SNAI1_vs_GFP","TSPAN1",-3.71093451621497,0,"DOWN"
"PEO4_SNAI1_vs_GFP","CLDN3",-5.29646118464035,0,"DOWN"
"PEO4_SNAI1_vs_GFP","SUSD2",2.33872857300723,2.23148176548677e-05,"UP"
