Hotspot_jaccard,Coldspot_jaccard,LISA_HH_count,LISA_LL_count,Threshold_hot_count,Threshold_cold_count,dataset,sample
0.3609022556390977,0.4385964912280701,116,100,65,64,visium/denisenko_2022,SP1
0.6277372262773723,0.5569620253164557,133,69,90,54,visium/denisenko_2022,SP2
0.4032258064516129,0.4555555555555555,55,77,32,54,visium/denisenko_2022,SP3
0.6055555555555555,0.6423841059602649,160,128,129,120,visium/denisenko_2022,SP4
0.6636363636363637,0.2717391304347826,89,42,94,75,visium/denisenko_2022,SP5
0.5869565217391305,0.5163934426229508,131,97,88,88,visium/denisenko_2022,SP6
0.4696132596685083,0.3869047619047619,152,135,114,98,visium/denisenko_2022,SP7
0.4423963133640553,0.7842323651452282,166,225,147,205,visium/denisenko_2022,SP8
0.5238095238095238,0.6428571428571429,85,86,75,75,visium/yamamoto_2025,Pt1-1
0.44,0.6372549019607843,34,90,38,77,visium/yamamoto_2025,Pt1-2
0.627906976744186,0.6,70,76,70,76,visium/yamamoto_2025,Pt1-3
0.4126984126984127,0.525,58,68,31,54,visium/yamamoto_2025,Pt1-4
0.4571428571428571,0.5045871559633027,60,93,42,71,visium/yamamoto_2025,Pt2-1
0.686046511627907,0.4,82,50,63,34,visium/yamamoto_2025,Pt2-2
0.2962962962962963,0.425,40,63,30,51,visium/yamamoto_2025,Pt2-3
0.5560344827586207,0.5240174672489083,212,206,149,143,visium/yamamoto_2025,Pt2-4
0.3103448275862069,0.4702380952380952,83,120,69,127,visium/ju_2024,CPS_OV19_LtOV1
0.425,0.4545454545454545,87,59,84,69,visium/ju_2024,CPS_OV1RtOV3
0.4622641509433962,0.2857142857142857,82,62,73,55,visium/ju_2024,CPS_OV20RtOV4
0.4962962962962963,0.593939393939394,250,308,154,218,visium/ju_2024,CPS_OV24RTOV4
0.485,0.4221105527638191,183,176,114,107,visium/ju_2024,CPS_OV34RtOV1
0.3971631205673759,0.4358974358974359,126,161,71,119,visium/ju_2024,CPS_OV5LtOV4
0.5058823529411764,0.3859649122807017,58,34,70,45,visium/ju_2024,CPS_OV71_1
