dataset,sample,n_clusters,domain,n_spots,pct_Tumor,pct_Stroma,pct_Interface,category
visium/denisenko_2022,SP1,5,0,790,33.291139240506325,32.65822784810127,34.050632911392405,Mixed
visium/denisenko_2022,SP1,5,1,671,85.24590163934425,2.682563338301043,12.071535022354695,Tumor-Interface
visium/denisenko_2022,SP1,5,2,377,44.03183023872679,21.485411140583555,34.48275862068966,Mixed
visium/denisenko_2022,SP1,5,3,413,51.3317191283293,19.37046004842615,29.297820823244553,Tumor-Interface
visium/denisenko_2022,SP1,5,4,298,8.053691275167784,74.49664429530202,17.449664429530202,Stroma-Interface
visium/denisenko_2022,SP2,5,0,504,1.1904761904761905,88.4920634920635,10.317460317460316,Stroma-Interface
visium/denisenko_2022,SP2,5,1,561,66.1319073083779,5.704099821746881,28.16399286987522,Tumor-Interface
visium/denisenko_2022,SP2,5,2,421,88.12351543942994,0.23752969121140144,11.63895486935867,Tumor-Interface
visium/denisenko_2022,SP2,5,3,268,79.1044776119403,4.477611940298507,16.417910447761194,Tumor-Interface
visium/denisenko_2022,SP2,5,4,172,18.023255813953487,41.86046511627907,40.116279069767444,Interface-dominant
visium/denisenko_2022,SP3,5,0,376,88.82978723404256,2.127659574468085,9.042553191489363,Tumor-pure
visium/denisenko_2022,SP3,5,1,249,0.8032128514056224,83.13253012048193,16.06425702811245,Stroma-Interface
visium/denisenko_2022,SP3,5,2,302,10.927152317880795,63.90728476821192,25.165562913907287,Stroma-Interface
visium/denisenko_2022,SP3,5,3,280,0.0,94.64285714285714,5.357142857142857,Stroma-pure
visium/denisenko_2022,SP3,5,4,285,27.017543859649123,29.47368421052631,43.50877192982456,Interface-dominant
visium/denisenko_2022,SP4,5,0,1181,50.6350550381033,12.193056731583404,37.17188823031329,Tumor-Interface
visium/denisenko_2022,SP4,5,1,522,72.41379310344827,6.130268199233716,21.455938697318008,Tumor-Interface
visium/denisenko_2022,SP4,5,2,411,8.27250608272506,65.93673965936739,25.790754257907544,Stroma-Interface
visium/denisenko_2022,SP4,5,3,253,6.719367588932807,70.7509881422925,22.529644268774703,Stroma-Interface
visium/denisenko_2022,SP4,5,4,477,68.9727463312369,10.69182389937107,20.335429769392032,Tumor-Interface
visium/denisenko_2022,SP5,5,0,621,8.373590982286634,51.85185185185185,39.77455716586151,Stroma-Interface
visium/denisenko_2022,SP5,5,1,655,70.68702290076337,2.2900763358778624,27.022900763358777,Tumor-Interface
visium/denisenko_2022,SP5,5,2,260,66.53846153846153,12.307692307692308,21.153846153846153,Tumor-Interface
visium/denisenko_2022,SP5,5,3,174,92.52873563218391,1.7241379310344827,5.747126436781609,Tumor-pure
visium/denisenko_2022,SP5,5,4,278,4.676258992805756,82.37410071942446,12.949640287769784,Stroma-Interface
visium/denisenko_2022,SP6,5,0,443,26.86230248306998,44.01805869074492,29.119638826185103,Mixed
visium/denisenko_2022,SP6,5,1,452,27.43362831858407,38.05309734513274,34.51327433628318,Mixed
visium/denisenko_2022,SP6,5,2,363,53.994490358126725,25.895316804407713,20.110192837465565,Tumor-Interface
visium/denisenko_2022,SP6,5,3,382,73.29842931937172,3.926701570680628,22.774869109947645,Tumor-Interface
visium/denisenko_2022,SP6,5,4,118,0.0,93.22033898305084,6.779661016949152,Stroma-pure
visium/denisenko_2022,SP7,5,0,939,66.45367412140575,3.8338658146964857,29.712460063897762,Tumor-Interface
visium/denisenko_2022,SP7,5,1,720,92.22222222222223,0.4166666666666667,7.361111111111112,Tumor-pure
visium/denisenko_2022,SP7,5,2,658,2.8875379939209727,57.446808510638306,39.66565349544073,Stroma-Interface
visium/denisenko_2022,SP7,5,3,648,35.80246913580247,30.246913580246915,33.95061728395062,Mixed
visium/denisenko_2022,SP7,5,4,457,20.568927789934357,49.01531728665208,30.41575492341357,Mixed
visium/denisenko_2022,SP8,5,0,814,0.0,100.0,0.0,Stroma-pure
visium/denisenko_2022,SP8,5,1,728,0.0,89.28571428571429,10.714285714285714,Stroma-Interface
visium/denisenko_2022,SP8,5,2,518,94.78764478764478,0.3861003861003861,4.826254826254826,Tumor-pure
visium/denisenko_2022,SP8,5,3,510,25.68627450980392,38.82352941176471,35.490196078431374,Mixed
visium/denisenko_2022,SP8,5,4,463,4.535637149028078,82.50539956803455,12.958963282937367,Stroma-Interface
visium/yamamoto_2025,Pt1-1,5,0,327,0.6116207951070336,82.87461773700305,16.51376146788991,Stroma-Interface
visium/yamamoto_2025,Pt1-1,5,1,380,40.26315789473684,21.578947368421055,38.15789473684211,Mixed
visium/yamamoto_2025,Pt1-1,5,2,362,22.375690607734807,43.0939226519337,34.530386740331494,Mixed
visium/yamamoto_2025,Pt1-1,5,3,295,92.54237288135593,1.0169491525423728,6.440677966101695,Tumor-pure
