source_group,source_label,target_class,target_variable,target_label,hallmark_group,n_samples,n_positive,n_negative,corr_mean,corr_median,fisher_z_mean,fisher_z_median,corr_from_mean_fisher_z,corr_from_median_fisher_z,p_cross_sample_fisher_t,p_cross_sample_wilcoxon,q_cross_sample_class_fisher_t,q_cross_sample_class_wilcoxon,sig_cross_sample_class,sig_marker_cross_sample_class,cross_sample_bh_scope
snai12r_hot,SNAI1-2R hot,core_comparators,SNAI1_2R_scoregenes,SNAI1-2R,,23,12,11,0.004285030224613484,0.0046340629275566,0.009187794860815425,0.004634096099439369,0.009187536338551182,0.0046340629275566005,0.8926025991777606,0.9168474674224854,0.8926025991777606,0.9168474674224854,False,,source_group__target_class
snai12r_hot,SNAI1-2R hot,core_comparators,SNAI1_scoregenes,SNAI1,,23,15,8,0.05364366704818043,0.0738630002603985,0.06089311362274044,0.07399776753371873,0.06081796177950033,0.0738630002603985,0.38458348329492864,0.3446848392486572,0.7691669665898573,0.6893696784973145,False,,source_group__target_class
snai12r_hot,SNAI1-2R hot,hallmark,ADIPOGENESIS,ADIPOGENESIS,Metabolism,23,20,3,0.19390310298759364,0.1974620157309733,0.2056508115347095,0.20009021141769787,0.202799885076141,0.1974620157309733,0.0006544081797640025,0.002726316452026367,0.00255219190107961,0.0075947386877877375,True,**,source_group__target_class
snai12r_hot,SNAI1-2R hot,hallmark,ANDROGEN_RESPONSE,ANDROGEN RESPONSE,Other Biological States,23,18,5,0.0983435039292287,0.1175345132713634,0.10134811879630265,0.11808026542503577,0.10100254147730414,0.1175345132713634,0.015563327188215072,0.01486515998840332,0.03372054224113266,0.028915253552523525,True,*,source_group__target_class
snai12r_hot,SNAI1-2R hot,hallmark,ANGIOGENESIS,ANGIOGENESIS,Signaling & Development,23,15,8,0.07820321602267577,0.0870299221905793,0.08418585524939956,0.08725065374116582,0.08398753515041003,0.0870299221905793,0.13168945588746175,0.14241743087768555,0.17119629265370026,0.17357124388217926,False,,source_group__target_class
snai12r_hot,SNAI1-2R hot,hallmark,APICAL_JUNCTION,APICAL JUNCTION,"Structure, Adhesion & Cellular Components",23,20,3,0.23031676096244097,0.2496001295252664,0.24821460800343934,0.25498632882754785,0.24323963500195464,0.24960012952526636,0.00035744745388721665,0.0008494853973388672,0.0019914929573716356,0.003312993049621582,True,**,source_group__target_class
snai12r_hot,SNAI1-2R hot,hallmark,APICAL_SURFACE,APICAL SURFACE,"Structure, Adhesion & Cellular Components",23,16,7,0.07689624164140478,0.075287070084136,0.07932293787659522,0.07542980177145904,0.07915698550287807,0.07528707008413599,0.07369850536746081,0.09175300598144531,0.1197600712221238,0.13253211975097656,False,,source_group__target_class
snai12r_hot,SNAI1-2R hot,hallmark,APOPTOSIS,APOPTOSIS,Cellular Stress & Apoptosis,23,18,5,0.18035811627725157,0.206923755297731,0.19236125914611876,0.20995534307817323,0.1900232201739389,0.206923755297731,0.0010155003893097467,0.0014584064483642578,0.0033003762652566767,0.004739820957183838,True,**,source_group__target_class
snai12r_hot,SNAI1-2R hot,hallmark,CHOLESTEROL_HOMEOSTASIS,CHOLESTEROL HOMEOSTASIS,Metabolism,23,18,5,0.08628915711573927,0.0887357060282927,0.08652787046640789,0.08896971498743293,0.08631256842687943,0.08873570602829269,0.09230628564176063,0.006710529327392578,0.13333130148254313,0.017447376251220705,False,,source_group__target_class
snai12r_hot,SNAI1-2R hot,hallmark,COMPLEMENT,COMPLEMENT,Immune Response & Inflammation,23,14,9,0.06888974871021616,0.1291146087165177,0.06530143768367867,0.12983934359643404,0.06520877458073929,0.12911460871651767,0.3288433879773235,0.14241743087768555,0.3763664261469769,0.17357124388217926,False,,source_group__target_class
