sample_label,source_group,source_label,target_class,target_variable,target_label,hallmark_group,mode,n_source_nodes,corr,fisher_z,pval,q_class_per_sample,sig_class_per_sample,sig_marker_class_per_sample,bh_scope,variable_class,variable_a,variable_b
denisenko_2022__SP1,snai12r_hot,SNAI1-2R hot,core_comparators,SNAI1_2R_scoregenes,SNAI1-2R,,all_in_one_ring1_neighbor_means,427,0.0578995484217954,0.0579643788718932,0.232505492974184,0.465010985948368,False,,per_sample__source_group__target_class,all_variables,SNAI1_ac,SNAI1_2R_scoregenes
denisenko_2022__SP1,snai12r_hot,SNAI1-2R hot,core_comparators,SNAI1_scoregenes,SNAI1,,all_in_one_ring1_neighbor_means,427,0.0144625341315913,0.01446354260962774,0.7657084807825958,0.7657084807825958,False,,per_sample__source_group__target_class,all_variables,SNAI1_ac,SNAI1_scoregenes
denisenko_2022__SP1,snai12r_hot,SNAI1-2R hot,hallmark,ADIPOGENESIS,ADIPOGENESIS,Metabolism,all_in_one_ring1_neighbor_means,427,0.2746126308064667,0.2818458889764789,7.963045944564426e-09,3.1055879183801263e-07,True,****,per_sample__source_group__target_class,hallmark,SNAI1_ac,ADIPOGENESIS
denisenko_2022__SP1,snai12r_hot,SNAI1-2R hot,hallmark,ANDROGEN_RESPONSE,ANDROGEN RESPONSE,Other Biological States,all_in_one_ring1_neighbor_means,427,0.0068607271206208,0.0068608347675012515,0.8875887099668118,0.9109463075975173,False,,per_sample__source_group__target_class,hallmark,SNAI1_ac,ANDROGEN_RESPONSE
denisenko_2022__SP1,snai12r_hot,SNAI1-2R hot,hallmark,ANGIOGENESIS,ANGIOGENESIS,Signaling & Development,all_in_one_ring1_neighbor_means,427,0.052147179536336,0.052194525243767886,0.2823115630324613,0.37125984571836884,False,,per_sample__source_group__target_class,hallmark,SNAI1_ac,ANGIOGENESIS
denisenko_2022__SP1,snai12r_hot,SNAI1-2R hot,hallmark,APICAL_JUNCTION,APICAL JUNCTION,"Structure, Adhesion & Cellular Components",all_in_one_ring1_neighbor_means,427,0.2406316828101674,0.2454445122136513,4.854943251419664e-07,6.311426226845564e-06,True,****,per_sample__source_group__target_class,hallmark,SNAI1_ac,APICAL_JUNCTION
denisenko_2022__SP1,snai12r_hot,SNAI1-2R hot,hallmark,APICAL_SURFACE,APICAL SURFACE,"Structure, Adhesion & Cellular Components",all_in_one_ring1_neighbor_means,427,0.0276426382298319,0.027649682181850675,0.5689209889115779,0.672361168713683,False,,per_sample__source_group__target_class,hallmark,SNAI1_ac,APICAL_SURFACE
denisenko_2022__SP1,snai12r_hot,SNAI1-2R hot,hallmark,APOPTOSIS,APOPTOSIS,Cellular Stress & Apoptosis,all_in_one_ring1_neighbor_means,427,0.0627261570378615,0.06280861863096532,0.1957875140729094,0.30542852195373865,False,,per_sample__source_group__target_class,hallmark,SNAI1_ac,APOPTOSIS
denisenko_2022__SP1,snai12r_hot,SNAI1-2R hot,hallmark,CHOLESTEROL_HOMEOSTASIS,CHOLESTEROL HOMEOSTASIS,Metabolism,all_in_one_ring1_neighbor_means,427,-0.039985391807582,-0.040006722242347754,0.4098458894481039,0.49949967776487664,False,,per_sample__source_group__target_class,hallmark,SNAI1_ac,CHOLESTEROL_HOMEOSTASIS
denisenko_2022__SP1,snai12r_hot,SNAI1-2R hot,hallmark,COMPLEMENT,COMPLEMENT,Immune Response & Inflammation,all_in_one_ring1_neighbor_means,427,0.0598209431177008,0.05989245404064714,0.2173444897429327,0.326016734614399,False,,per_sample__source_group__target_class,hallmark,SNAI1_ac,COMPLEMENT
