n_samples_available,sample_labels,n_positive,n_negative,n_zero,fraction_positive,fraction_negative,wilcoxon_pval,ttest_pval,sign_test_pval,median_corr,median_n_pairs,source_group,source_group_display,outer_variable,outer_variable_display,variable_family,median_fisher_z,mean_fisher_z,iqr_fisher_z,median_corr_from_fisher_z,mean_corr_from_fisher_z,wilcoxon_qval,ttest_qval,sign_test_qval,sig_marker
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,11,12,0,0.4782608695652174,0.5217391304347826,0.9405548572540283,0.9599300260308967,1.0,-0.0066415808501151,375.0,snai12r_hot,SNAI1-2R hot,SNAI1_2R_scoregenes,SNAI1-2R,core,-0.006641678507396723,-0.0030296485828218314,0.31974639525907905,-0.0066415808501151,-0.003029639313372816,0.9405548572540283,0.9599300260308968,1.0,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,23,0,0,1.0,0.0,2.384185791015625e-07,1.6204601222484785e-16,2.384185791015625e-07,0.7689013396344238,375.0,snai12r_hot,SNAI1-2R hot,SNAI1_ac,SNAI1-ac,core,1.0176346001428482,1.0270599501609274,0.30523233477607215,0.7689013396344238,0.7727265005072552,7.152557373046875e-07,4.861380366745435e-16,7.152557373046875e-07,****
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,16,7,0,0.6956521739130435,0.30434782608695654,0.2467491626739502,0.3069552949076805,0.0931396484375,0.0706318954570139,375.0,snai12r_hot,SNAI1-2R hot,SNAI1_scoregenes,SNAI1,core,0.07074970595858601,0.0628584932955166,0.29224476956576395,0.07063189545701389,0.06277583531155814,0.3701237440109253,0.4604329423615207,0.13970947265625,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,20,3,0,0.8695652173913043,0.13043478260869565,0.0014584064483642578,0.00026352963358034165,0.00048828125,0.1856215868572456,375.0,snai12r_hot,SNAI1-2R hot,ADIPOGENESIS,ADIPOGENESIS,hallmark,0.1877986614623172,0.19807968759368996,0.19355060879624666,0.1856215868572456,0.19552911998004657,0.004062703677586147,0.001459047373426406,0.00380859375,**
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,19,4,0,0.8260869565217391,0.17391304347826086,0.021372318267822266,0.016359105864065287,0.002599477767944336,0.0887362634550615,375.0,snai12r_hot,SNAI1-2R hot,ANDROGEN_RESPONSE,ANDROGEN RESPONSE,hallmark,0.08897027683825727,0.08068999223652885,0.1010970432892733,0.08873626345506151,0.08051532630002778,0.03969144821166992,0.03190025643492731,0.007798433303833008,*
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,16,7,0,0.6956521739130435,0.30434782608695654,0.13413381576538086,0.12661940079376796,0.0931396484375,0.0747510806863004,375.0,snai12r_hot,SNAI1-2R hot,ANGIOGENESIS,ANGIOGENESIS,hallmark,0.07489077881378325,0.0741492489641496,0.27730926517652205,0.0747510806863004,0.07401365356031188,0.17437396049499512,0.16460522103189837,0.1513519287109375,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,20,3,0,0.8695652173913043,0.13043478260869565,0.0005517005920410156,0.00033647428840463683,0.00048828125,0.2152435927097591,375.0,snai12r_hot,SNAI1-2R hot,APICAL_JUNCTION,APICAL JUNCTION,hallmark,0.21866323153223396,0.2198558134497229,0.2889895584518276,0.2152435927097591,0.21638063012894282,0.002390702565511068,0.001459047373426406,0.00380859375,**
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,16,7,0,0.6956521739130435,0.30434782608695654,0.06981706619262695,0.05828103140633222,0.0931396484375,0.0852942544208685,375.0,snai12r_hot,SNAI1-2R hot,APICAL_SURFACE,APICAL SURFACE,hallmark,0.08550200370679117,0.0751687789715443,0.27532881969038514,0.08529425442086849,0.07502752170409982,0.10472559928894043,0.09470667603528986,0.1513519287109375,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,19,4,0,0.8260869565217391,0.17391304347826086,0.0005517005920410156,0.00040197198402479176,0.002599477767944336,0.1789071054066087,375.0,snai12r_hot,SNAI1-2R hot,APOPTOSIS,APOPTOSIS,hallmark,0.1808534276368995,0.18319274348297762,0.19986645332055644,0.17890710540660873,0.18117059356590304,0.002390702565511068,0.001459047373426406,0.007798433303833008,**
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,18,5,0,0.782608695652174,0.21739130434782608,0.006710529327392578,0.048502343479760235,0.010622024536132812,0.1028197896654434,375.0,snai12r_hot,SNAI1-2R hot,CHOLESTEROL_HOMEOSTASIS,CHOLESTEROL HOMEOSTASIS,hallmark,0.10318443932608289,0.08951345935813845,0.13892024188631777,0.10281978966544339,0.08927514286120225,0.015394743751077092,0.08224310416133257,0.021803102995219984,*
