comparison_variable,coefficient,p_value,difference,color,contrast_id,target_family,plot_scope,spottedpy_helper,hallmark_group,contrast_label,bh_family,q_value_bh_within_contrast_family_scope,significant_raw_p05,significant_bh_q05,distance_effect_direction,distance_effect_note
MP5 IFN/TLS immune,,0.0275236249465909,-3.156982900408321,#FEE08B,snai1ac_hot_vs_snai12r_hot,mp,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-2R hot,snai1ac_hot_vs_snai12r_hot|mp|family_all,0.1100944997863636,True,False,SNAI1ac_hot_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
MP8 malignant acute-phase/secretory,,0.0051127288971467,-3.022731688928568,#FDAE61,snai1ac_hot_vs_snai12r_hot,mp,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-2R hot,snai1ac_hot_vs_snai12r_hot|mp|family_all,0.0409018311771736,True,True,SNAI1ac_hot_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
MP6 APC/TAM myeloid,,0.248001873797342,-1.576985273941016,#E6F598,snai1ac_hot_vs_snai12r_hot,mp,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-2R hot,snai1ac_hot_vs_snai12r_hot|mp|family_all,0.3171192933730051,False,False,SNAI1ac_hot_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
MP3 complement-CAF,,0.2774793817013795,1.6829883111966624,#E6F598,snai1ac_hot_vs_snai12r_hot,mp,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-2R hot,snai1ac_hot_vs_snai12r_hot|mp|family_all,0.3171192933730051,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
MP2 iCAF-stress,,0.0749580351579715,2.8210248324884217,#DED9A9,snai1ac_hot_vs_snai12r_hot,mp,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-2R hot,snai1ac_hot_vs_snai12r_hot|mp|family_all,0.1998880937545906,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
MP1 angiogenic/vascular,,0.1638233128773588,-2.183340421369141,#E6F598,snai1ac_hot_vs_snai12r_hot,mp,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-2R hot,snai1ac_hot_vs_snai12r_hot|mp|family_all,0.3171192933730051,False,False,SNAI1ac_hot_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
MP7 malignant hypoxia,,0.3605083295894268,-1.5744379305221126,#E6F598,snai1ac_hot_vs_snai12r_hot,mp,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-2R hot,snai1ac_hot_vs_snai12r_hot|mp|family_all,0.3605083295894268,False,False,SNAI1ac_hot_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
MP4 activated-myCAF,,0.2700112294537259,2.0653324617077407,#E6F598,snai1ac_hot_vs_snai12r_hot,mp,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-2R hot,snai1ac_hot_vs_snai12r_hot|mp|family_all,0.3171192933730051,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
Malignant,,4.130335922550427e-06,-4.918363762212052,#D53E4F,snai1ac_hot_vs_snai12r_hot,spacet,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-2R hot,snai1ac_hot_vs_snai12r_hot|spacet|family_all,2.065167961275213e-05,True,True,SNAI1ac_hot_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
Endothelial,,0.1562299207518715,2.139680930485925,#E6F598,snai1ac_hot_vs_snai12r_hot,spacet,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-2R hot,snai1ac_hot_vs_snai12r_hot|spacet|family_all,0.1774608948778903,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
