n_samples_available,sample_labels,n_positive,n_negative,n_zero,fraction_positive,fraction_negative,wilcoxon_pval,ttest_pval,sign_test_pval,median_r_hot,median_r_reference,median_delta_r,median_n_hot_pairs,median_n_reference_pairs,contrast,contrast_display,outer_variable,outer_variable_display,variable_family,median_delta_z,mean_delta_z,iqr_delta_z,median_sign_pattern,wilcoxon_qval,ttest_qval,sign_test_qval,sig_marker
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,15,8,0,0.6521739130434783,0.34782608695652173,0.21117830276489258,0.19879700307970805,0.21003961563110352,-0.0177903062434249,-0.0582305272568062,0.0635116189848777,216.0,1973.0,hot_vs_background,Hot vs background,SNAI1_2R_scoregenes,SNAI1-2R,core,0.0636211899234999,0.06191629456500962,0.25294156034692716,both_negative_hot_less_negative,0.21117830276489258,0.19879700307970805,0.3150594234466553,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,6,17,0,0.2608695652173913,0.7391304347826086,0.0009758472442626953,0.0006579229002622664,0.03468966484069824,0.5914315173557826,0.6886777315836917,-0.1050175658658096,216.0,1973.0,hot_vs_background,Hot vs background,SNAI1_ac,SNAI1-ac,core,-0.1764622069334446,-0.14610942877881603,0.23872222071184512,both_positive_hot_less_positive,0.002927541732788086,0.001973768700786799,0.10406899452209473,**
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,14,9,0,0.6086956521739131,0.391304347826087,0.11864614486694336,0.12367778314419131,0.4048728942871094,-0.0027519542483997,-0.0412444905255097,0.070563961759014,216.0,1973.0,hot_vs_background,Hot vs background,SNAI1_scoregenes,SNAI1,core,0.070609148646218,0.06866898188315602,0.24249313827479405,both_negative_hot_less_negative,0.17796921730041504,0.18551667471628697,0.4048728942871094,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,4,19,0,0.17391304347826086,0.8260869565217391,0.00040793418884277344,0.0001859232795629764,0.002599477767944336,-0.0363759530181462,0.0999407883233225,-0.1363167413414688,216.0,1973.0,hot_vs_background,Hot vs background,ADIPOGENESIS,ADIPOGENESIS,hallmark,-0.1366675484236066,-0.1374085966283001,0.183873004169127,hot_negative_reference_positive,0.015909433364868164,0.007251007902956079,0.05068981647491455,*
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,9,14,0,0.391304347826087,0.6086956521739131,0.09175300598144531,0.07512737333805143,0.4048728942871094,-0.0277277841506177,0.0383977232576058,-0.094117948922376,216.0,1973.0,hot_vs_background,Hot vs background,ANDROGEN_RESPONSE,ANDROGEN RESPONSE,hallmark,-0.0941946099763187,-0.07923693952758543,0.2701682920808459,hot_negative_reference_positive,0.27525901794433594,0.20612351079497787,0.6073093414306641,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,10,13,0,0.43478260869565216,0.5652173913043478,0.7997725009918213,0.5400580929230461,0.6776394844055176,-0.002138657337115,-0.0287967847510421,-0.0123405878450943,216.0,1973.0,hot_vs_background,Hot vs background,ANGIOGENESIS,ANGIOGENESIS,hallmark,-0.0124547925728097,0.029319513052565405,0.2506218664944114,both_negative_hot_more_negative,0.8664202094078064,0.8111777519218389,0.8258731216192245,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,10,13,0,0.43478260869565216,0.5652173913043478,0.6433901786804199,0.9050637250249237,0.6776394844055176,0.0736730195436026,0.0728324732452846,-0.0117355927451013,216.0,1973.0,hot_vs_background,Hot vs background,APICAL_JUNCTION,APICAL JUNCTION,hallmark,-0.0121260949337145,-0.004408909927805259,0.12023646690844596,both_positive_hot_less_positive,0.760370211167769,0.9306681065346393,0.8258731216192245,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,11,12,0,0.4782608695652174,0.5217391304347826,0.869666576385498,0.7852823428978253,1.0,-0.0101820195429251,0.0084614929916277,-0.0088641141495674,216.0,1973.0,hot_vs_background,Hot vs background,APICAL_SURFACE,APICAL SURFACE,hallmark,-0.0088734574279651,-0.010718085495602395,0.19988156043555377,hot_negative_reference_positive,0.8925525389219585,0.9306681065346393,1.0,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,8,15,0,0.34782608695652173,0.6521739130434783,0.39307284355163574,0.4534827275906492,0.21003961563110352,0.0085460957780678,0.0630569569885165,-0.0822074574267141,216.0,1973.0,hot_vs_background,Hot vs background,APOPTOSIS,APOPTOSIS,hallmark,-0.0823817270632315,-0.030988347846617057,0.2383392947870222,both_positive_hot_less_positive,0.7299924237387521,0.8039011989106963,0.3900735718863351,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,9,14,0,0.391304347826087,0.6086956521739131,0.3765220642089844,0.4171733516294268,0.4048728942871094,0.0622038589583127,0.0485291806843467,-0.0449682022040364,216.0,1973.0,hot_vs_background,Hot vs background,CHOLESTEROL_HOMEOSTASIS,CHOLESTEROL HOMEOSTASIS,hallmark,-0.0458940705446171,-0.028296690401576962,0.14174644509632503,both_positive_hot_less_positive,0.7299924237387521,0.8039011989106963,0.6073093414306641,
