sample_label,source_group,source_label,compartment,n_source_spots,n_source_spots_total,percentage_within_sample_source,summary_level
denisenko_2022__SP1,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,144,251,57.37051792828685,patient_sample
denisenko_2022__SP1,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,54,251,21.51394422310757,patient_sample
denisenko_2022__SP1,snai1ac_consensus_hot,SNAI1-ac hot,Interface,53,251,21.115537848605577,patient_sample
denisenko_2022__SP1,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,33,149,22.14765100671141,patient_sample
denisenko_2022__SP1,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,72,149,48.32214765100671,patient_sample
denisenko_2022__SP1,snai1ac_consensus_cold,SNAI1-ac cold,Interface,44,149,29.530201342281877,patient_sample
denisenko_2022__SP1,snai12r_hot,SNAI1-2R-like hot,Tumor,78,427,18.26697892271663,patient_sample
denisenko_2022__SP1,snai12r_hot,SNAI1-2R-like hot,Stroma,258,427,60.421545667447305,patient_sample
denisenko_2022__SP1,snai12r_hot,SNAI1-2R-like hot,Interface,91,427,21.311475409836067,patient_sample
denisenko_2022__SP2,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,207,240,86.25,patient_sample
denisenko_2022__SP2,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,2,240,0.8333333333333334,patient_sample
denisenko_2022__SP2,snai1ac_consensus_hot,SNAI1-ac hot,Interface,31,240,12.916666666666666,patient_sample
denisenko_2022__SP2,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,15,168,8.928571428571429,patient_sample
denisenko_2022__SP2,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,113,168,67.26190476190476,patient_sample
denisenko_2022__SP2,snai1ac_consensus_cold,SNAI1-ac cold,Interface,40,168,23.80952380952381,patient_sample
denisenko_2022__SP2,snai12r_hot,SNAI1-2R-like hot,Tumor,159,274,58.02919708029197,patient_sample
denisenko_2022__SP2,snai12r_hot,SNAI1-2R-like hot,Stroma,55,274,20.072992700729927,patient_sample
denisenko_2022__SP2,snai12r_hot,SNAI1-2R-like hot,Interface,60,274,21.8978102189781,patient_sample
denisenko_2022__SP3,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,115,128,89.84375,patient_sample
denisenko_2022__SP3,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,2,128,1.5625,patient_sample
denisenko_2022__SP3,snai1ac_consensus_hot,SNAI1-ac hot,Interface,11,128,8.59375,patient_sample
denisenko_2022__SP3,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,0,159,0.0,patient_sample
denisenko_2022__SP3,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,154,159,96.85534591194968,patient_sample
denisenko_2022__SP3,snai1ac_consensus_cold,SNAI1-ac cold,Interface,5,159,3.1446540880503147,patient_sample
denisenko_2022__SP3,snai12r_hot,SNAI1-2R-like hot,Tumor,4,354,1.1299435028248588,patient_sample
denisenko_2022__SP3,snai12r_hot,SNAI1-2R-like hot,Stroma,327,354,92.37288135593221,patient_sample
denisenko_2022__SP3,snai12r_hot,SNAI1-2R-like hot,Interface,23,354,6.497175141242938,patient_sample
denisenko_2022__SP4,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,191,266,71.80451127819549,patient_sample
denisenko_2022__SP4,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,24,266,9.022556390977444,patient_sample
denisenko_2022__SP4,snai1ac_consensus_hot,SNAI1-ac hot,Interface,51,266,19.172932330827066,patient_sample
denisenko_2022__SP4,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,49,311,15.755627009646302,patient_sample
denisenko_2022__SP4,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,166,311,53.37620578778135,patient_sample
denisenko_2022__SP4,snai1ac_consensus_cold,SNAI1-ac cold,Interface,96,311,30.868167202572348,patient_sample
denisenko_2022__SP4,snai12r_hot,SNAI1-2R-like hot,Tumor,68,567,11.99294532627866,patient_sample
denisenko_2022__SP4,snai12r_hot,SNAI1-2R-like hot,Stroma,370,567,65.2557319223986,patient_sample
denisenko_2022__SP4,snai12r_hot,SNAI1-2R-like hot,Interface,129,567,22.75132275132275,patient_sample
denisenko_2022__SP5,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,178,216,82.4074074074074,patient_sample
denisenko_2022__SP5,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,12,216,5.555555555555555,patient_sample
denisenko_2022__SP5,snai1ac_consensus_hot,SNAI1-ac hot,Interface,26,216,12.037037037037036,patient_sample
denisenko_2022__SP5,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,3,145,2.0689655172413794,patient_sample
denisenko_2022__SP5,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,131,145,90.34482758620689,patient_sample
denisenko_2022__SP5,snai1ac_consensus_cold,SNAI1-ac cold,Interface,11,145,7.586206896551724,patient_sample
denisenko_2022__SP5,snai12r_hot,SNAI1-2R-like hot,Tumor,150,345,43.47826086956522,patient_sample
denisenko_2022__SP5,snai12r_hot,SNAI1-2R-like hot,Stroma,121,345,35.072463768115945,patient_sample
denisenko_2022__SP5,snai12r_hot,SNAI1-2R-like hot,Interface,74,345,21.44927536231884,patient_sample
denisenko_2022__SP6,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,206,226,91.15044247787611,patient_sample
denisenko_2022__SP6,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,0,226,0.0,patient_sample
denisenko_2022__SP6,snai1ac_consensus_hot,SNAI1-ac hot,Interface,20,226,8.849557522123893,patient_sample
denisenko_2022__SP6,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,7,220,3.1818181818181817,patient_sample
denisenko_2022__SP6,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,172,220,78.18181818181819,patient_sample
denisenko_2022__SP6,snai1ac_consensus_cold,SNAI1-ac cold,Interface,41,220,18.636363636363637,patient_sample
denisenko_2022__SP6,snai12r_hot,SNAI1-2R-like hot,Tumor,177,345,51.30434782608695,patient_sample
denisenko_2022__SP6,snai12r_hot,SNAI1-2R-like hot,Stroma,84,345,24.347826086956523,patient_sample
denisenko_2022__SP6,snai12r_hot,SNAI1-2R-like hot,Interface,84,345,24.347826086956523,patient_sample
denisenko_2022__SP7,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,236,326,72.39263803680981,patient_sample
denisenko_2022__SP7,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,19,326,5.828220858895706,patient_sample
denisenko_2022__SP7,snai1ac_consensus_hot,SNAI1-ac hot,Interface,71,326,21.779141104294478,patient_sample
denisenko_2022__SP7,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,43,301,14.285714285714286,patient_sample
denisenko_2022__SP7,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,180,301,59.800664451827245,patient_sample
denisenko_2022__SP7,snai1ac_consensus_cold,SNAI1-ac cold,Interface,78,301,25.91362126245847,patient_sample
denisenko_2022__SP7,snai12r_hot,SNAI1-2R-like hot,Tumor,138,507,27.218934911242602,patient_sample
denisenko_2022__SP7,snai12r_hot,SNAI1-2R-like hot,Stroma,187,507,36.883629191321496,patient_sample
denisenko_2022__SP7,snai12r_hot,SNAI1-2R-like hot,Interface,182,507,35.8974358974359,patient_sample
denisenko_2022__SP8,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,330,347,95.10086455331412,patient_sample
denisenko_2022__SP8,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,6,347,1.7291066282420748,patient_sample
denisenko_2022__SP8,snai1ac_consensus_hot,SNAI1-ac hot,Interface,11,347,3.170028818443804,patient_sample
denisenko_2022__SP8,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,1,322,0.3105590062111801,patient_sample
denisenko_2022__SP8,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,310,322,96.27329192546584,patient_sample
denisenko_2022__SP8,snai1ac_consensus_cold,SNAI1-ac cold,Interface,11,322,3.4161490683229814,patient_sample
denisenko_2022__SP8,snai12r_hot,SNAI1-2R-like hot,Tumor,0,899,0.0,patient_sample
denisenko_2022__SP8,snai12r_hot,SNAI1-2R-like hot,Stroma,899,899,100.0,patient_sample
denisenko_2022__SP8,snai12r_hot,SNAI1-2R-like hot,Interface,0,899,0.0,patient_sample
ju_2024__CPS_OV19_LtOV1,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,178,264,67.42424242424242,patient_sample
ju_2024__CPS_OV19_LtOV1,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,23,264,8.712121212121213,patient_sample
ju_2024__CPS_OV19_LtOV1,snai1ac_consensus_hot,SNAI1-ac hot,Interface,63,264,23.863636363636363,patient_sample
ju_2024__CPS_OV19_LtOV1,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,53,194,27.31958762886598,patient_sample
ju_2024__CPS_OV19_LtOV1,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,97,194,50.0,patient_sample
ju_2024__CPS_OV19_LtOV1,snai1ac_consensus_cold,SNAI1-ac cold,Interface,44,194,22.68041237113402,patient_sample
ju_2024__CPS_OV19_LtOV1,snai12r_hot,SNAI1-2R-like hot,Tumor,152,593,25.632377740303543,patient_sample
ju_2024__CPS_OV19_LtOV1,snai12r_hot,SNAI1-2R-like hot,Stroma,268,593,45.193929173693085,patient_sample
ju_2024__CPS_OV19_LtOV1,snai12r_hot,SNAI1-2R-like hot,Interface,173,593,29.17369308600337,patient_sample
ju_2024__CPS_OV1RtOV3,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,119,138,86.23188405797102,patient_sample
ju_2024__CPS_OV1RtOV3,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,0,138,0.0,patient_sample
ju_2024__CPS_OV1RtOV3,snai1ac_consensus_hot,SNAI1-ac hot,Interface,19,138,13.768115942028986,patient_sample
ju_2024__CPS_OV1RtOV3,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,65,115,56.52173913043478,patient_sample
ju_2024__CPS_OV1RtOV3,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,4,115,3.4782608695652173,patient_sample
ju_2024__CPS_OV1RtOV3,snai1ac_consensus_cold,SNAI1-ac cold,Interface,46,115,40.0,patient_sample
ju_2024__CPS_OV1RtOV3,snai12r_hot,SNAI1-2R-like hot,Tumor,204,301,67.77408637873754,patient_sample
ju_2024__CPS_OV1RtOV3,snai12r_hot,SNAI1-2R-like hot,Stroma,4,301,1.3289036544850499,patient_sample
ju_2024__CPS_OV1RtOV3,snai12r_hot,SNAI1-2R-like hot,Interface,93,301,30.897009966777407,patient_sample
